rank,score,qualified,may_trades,may_win_rate,may_ratio,june_trades,june_win_rate,june_ratio,net_R,max_drawdown_R,config
1,442.5638007066077,False,24.0,0.75,1.2222532684804859,37.0,0.5135135135135135,1.0335272379073484,15.988121103121498,6.954630153601785,"{""direction"": 2, ""trigger"": 3, ""rr"": 1.5, ""sl_atr"": 1.166701032304632, ""min_stop_pct"": 0.004743955407043801, ""max_hold"": 72, ""cooldown"": 19, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 13.651463128317538, ""rsi_long_min"": 37.95087929813518, ""rsi_long_max"": 70.6909168925374, ""volz_min"": -0.3948107006190714, ""body_min"": 0.36378507325423326, ""close_loc_min"": 0.7133742398357374, ""ret3_min"": 0.002024143407740533, ""bb_min"": 0.2563633644999051, ""bb_max"": 0.7715907626913858, ""pull_idx"": 5, ""don_idx"": 1, ""score_need"": 2, ""weights"": [0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1]}"
2,340.96909670573444,False,27.0,0.7407407407407407,1.09165570271916,30.0,0.4,1.092011797632784,11.877445519685944,9.231190304032657,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.5, ""sl_atr"": 0.9682677809786085, ""min_stop_pct"": 0.005138157477776984, ""max_hold"": 192, ""cooldown"": 19, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 20.762561121106607, ""rsi_long_min"": 36.370245430214766, ""rsi_long_max"": 70.67890539045207, ""volz_min"": 0.0707074645502519, ""body_min"": 0.496378922636048, ""close_loc_min"": 0.4666586568695703, ""ret3_min"": -0.00153827692889134, ""bb_min"": 0.4716453415937804, ""bb_max"": 0.8307990202558768, ""pull_idx"": 5, ""don_idx"": 1, ""score_need"": 6, ""weights"": [1, 0, 0, 2, 0, 0, 2, 1, 1, 2, 1, 2, 0, 0, 1, 0]}"
3,332.4409759622618,False,20.0,0.7,1.1867319867197332,17.0,0.23529411764705882,1.210164337025347,3.283714694624395,14.305240959960011,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 1.217324357727905, ""min_stop_pct"": 0.003890850397888908, ""max_hold"": 288, ""cooldown"": 22, ""session_start"": 6, ""session_end"": 21, ""weekday_mask"": 62, ""adx_min"": 29.26077816311986, ""rsi_long_min"": 30.188262699004767, ""rsi_long_max"": 71.01890695043757, ""volz_min"": 0.6652439631944369, ""body_min"": 0.4056928417622091, ""close_loc_min"": 0.7765356154797174, ""ret3_min"": 0.0014530037888988226, ""bb_min"": 0.072696447840979, ""bb_max"": 0.9375762533555936, ""pull_idx"": 3, ""don_idx"": 0, ""score_need"": 4, ""weights"": [1, 1, 2, 0, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1]}"
4,305.9433965894761,False,25.0,0.6,1.752001320197627,36.0,0.5277777777777778,1.3790286629641495,23.94519633199414,5.3269199713365545,"{""direction"": 2, ""trigger"": 3, ""rr"": 2.0, ""sl_atr"": 1.1408390253012748, ""min_stop_pct"": 0.005298128137115412, ""max_hold"": 96, ""cooldown"": 11, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 12.141045157317254, ""rsi_long_min"": 30.076739938138676, ""rsi_long_max"": 68.97384448915808, ""volz_min"": -1.0514788464024845, ""body_min"": 0.4177056725050038, ""close_loc_min"": 0.4801449965388291, ""ret3_min"": -0.00011966855714762412, ""bb_min"": 0.14252416486058833, ""bb_max"": 0.7405140158371204, ""pull_idx"": 1, ""don_idx"": 1, ""score_need"": 3, ""weights"": [1, 2, 0, 2, 0, 0, 1, 1, 1, 0, 1, 2, 2, 1, 1, 1]}"
5,305.76692195838973,False,30.0,0.7,1.1285423814987026,34.0,0.4117647058823529,1.0783563215494367,10.92535964798857,9.301567914209524,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.5, ""sl_atr"": 1.5239736297364992, ""min_stop_pct"": 0.004762530798689275, ""max_hold"": 144, ""cooldown"": 23, ""session_start"": 6, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 18.573579965633954, ""rsi_long_min"": 43.40347245835237, ""rsi_long_max"": 59.537200612292054, ""volz_min"": -1.059874270617287, ""body_min"": 0.4831160051278547, ""close_loc_min"": 0.7017405582315159, ""ret3_min"": 0.0016476257568906758, ""bb_min"": 0.11617542148106243, ""bb_max"": 1.2418914238958374, ""pull_idx"": 2, ""don_idx"": 1, ""score_need"": 3, ""weights"": [1, 1, 1, 0, 2, 2, 1, 1, 0, 1, 1, 0, 1, 1, 1, 2]}"
6,293.46644833957964,False,29.0,0.6896551724137931,1.1572795930844644,39.0,0.5384615384615384,1.0590856362912844,19.804491971582134,6.107726330488685,"{""direction"": 2, ""trigger"": 3, ""rr"": 1.6, ""sl_atr"": 1.2541052991433257, ""min_stop_pct"": 0.004117095804584471, ""max_hold"": 72, ""cooldown"": 14, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 25.537537395254375, ""rsi_long_min"": 49.54506127019437, ""rsi_long_max"": 70.6062517208722, ""volz_min"": -1.0935169569337115, ""body_min"": 0.43247600487371696, ""close_loc_min"": 0.5634061327066747, ""ret3_min"": 0.0008278225905299064, ""bb_min"": 0.2822998151489308, ""bb_max"": 1.150564042787186, ""pull_idx"": 7, ""don_idx"": 0, ""score_need"": 2, ""weights"": [1, 2, 0, 1, 0, 1, 0, 2, 1, 0, 2, 0, 0, 0, 1, 1]}"
7,291.7037184918745,False,29.0,0.7241379310344828,1.0736581584334666,33.0,0.2727272727272727,1.0764397933097887,-0.01936036414920661,20.85202110492463,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.6, ""sl_atr"": 1.080608402704451, ""min_stop_pct"": 0.0038415697770736307, ""max_hold"": 96, ""cooldown"": 24, ""session_start"": 4, ""session_end"": 22, ""weekday_mask"": 31, ""adx_min"": 27.472698043876484, ""rsi_long_min"": 33.845410779240574, ""rsi_long_max"": 71.33825455166813, ""volz_min"": -1.1343883664170074, ""body_min"": 0.4095410242438686, ""close_loc_min"": 0.7542630907665222, ""ret3_min"": 0.0029119690601150574, ""bb_min"": 0.1624153958681856, ""bb_max"": 1.2374592797551158, ""pull_idx"": 3, ""don_idx"": 1, ""score_need"": 3, ""weights"": [0, 1, 0, 2, 0, 2, 2, 0, 2, 0, 0, 0, 1, 0, 2, 1]}"
8,289.44295760921227,False,22.0,0.6818181818181818,1.1981316264046222,25.0,0.24,1.2796082177181194,-1.5930172209810534,18.77355928207034,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 1.8007798966984314, ""min_stop_pct"": 0.004414716794689638, ""max_hold"": 192, ""cooldown"": 13, ""session_start"": 10, ""session_end"": 24, ""weekday_mask"": 127, ""adx_min"": 25.131381047959852, ""rsi_long_min"": 48.92779544457069, ""rsi_long_max"": 69.60798091418012, ""volz_min"": 0.06571286567554213, ""body_min"": 0.3714468275203687, ""close_loc_min"": 0.6933523784315265, ""ret3_min"": -0.0018826248755598395, ""bb_min"": 0.2156881283111723, ""bb_max"": 0.9814413011249813, ""pull_idx"": 7, ""don_idx"": 0, ""score_need"": 3, ""weights"": [2, 1, 1, 1, 2, 1, 0, 0, 2, 0, 1, 1, 0, 1, 2, 1]}"
9,272.31166898913705,False,23.0,0.6086956521739131,1.5280917899473823,31.0,0.41935483870967744,1.1547400073195104,5.428782338146905,9.952306425978495,"{""direction"": 2, ""trigger"": 3, ""rr"": 1.6, ""sl_atr"": 0.8871668904816581, ""min_stop_pct"": 0.005288987321026411, ""max_hold"": 72, ""cooldown"": 28, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 12.521558489564777, ""rsi_long_min"": 41.42482133335749, ""rsi_long_max"": 81.11059736325606, ""volz_min"": -0.4288133733324937, ""body_min"": 0.28776102448659086, ""close_loc_min"": 0.7782341136300628, ""ret3_min"": -3.6328142048689185e-05, ""bb_min"": 0.20437479721081298, ""bb_max"": 0.7063043220576636, ""pull_idx"": 1, ""don_idx"": 0, ""score_need"": 1, ""weights"": [0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 2]}"
10,258.0747165548849,False,21.0,0.6190476190476191,1.4371699477300608,31.0,0.41935483870967744,1.3901378950121948,12.971479527976017,8.510344237452077,"{""direction"": 2, ""trigger"": 3, ""rr"": 2.0, ""sl_atr"": 1.2612334344859089, ""min_stop_pct"": 0.003739680231179539, ""max_hold"": 144, ""cooldown"": 22, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 21.703180850298562, ""rsi_long_min"": 37.16242232728688, ""rsi_long_max"": 74.79612737704284, ""volz_min"": 0.36889953045204216, ""body_min"": 0.22252404347495958, ""close_loc_min"": 0.7065313442881831, ""ret3_min"": -1.2039541714870157e-06, ""bb_min"": 0.06917303217437223, ""bb_max"": 1.224846155646314, ""pull_idx"": 3, ""don_idx"": 0, ""score_need"": 4, ""weights"": [0, 2, 1, 1, 2, 2, 0, 1, 1, 2, 0, 0, 1, 1, 0, 2]}"
