rank,score_train_only,diagnostic_qualified,family,direction,train_trades,train_win_rate,train_ratio,test_trades,test_win_rate,test_ratio,total_net_R,max_drawdown_R,first_half_trades,first_half_win_rate,first_half_net_R,second_half_trades,second_half_win_rate,second_half_net_R,config
1,109.0337299411349,False,趋势回踩,双向,20.0,0.55,1.5155602177296574,28.0,0.35714285714285715,1.4799853428694838,4.386995039831781,2.3312031476411725,8.0,0.5,2.657129751458795,12.0,0.5833333333333334,5.338079690654962,"{""family_mask"": 1, ""direction"": 0, ""rr"": 2.6, ""sl_atr"": 1.1989535700724812, ""min_stop_pct"": 0.0060734488502322635, ""max_hold"": 144, ""cooldown"": 13, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""adx_trend_min"": 15.134276641937554, ""adx_range_max"": 21.120180835919935, ""rsi_long_min"": 49.274735022457165, ""rsi_long_max"": 64.28614792680698, ""volz_break"": 0.7564076415353396, ""body_min"": 0.627185558768545, ""close_loc_min"": 0.6258898973239156, ""eff_min"": 0.19990119629563857, ""atr_rank_min"": 0.4013058022673571, ""squeeze_rank_max"": 0.14621163024337405, ""vwap_dev_entry"": 0.6849470579451764, ""pull_idx"": 4, ""don_idx"": 0, ""trail_trigger"": 2.0206242408583326, ""trail_lock"": 1.8489215615513905}"
2,66.808900612091,False,趋势回踩+压缩突破,双向,26.0,0.5384615384615384,1.4928687216918537,33.0,0.2727272727272727,1.5260938866577582,-1.3052122791099527,4.348635361485853,13.0,0.46153846153846156,1.6481183551585001,13.0,0.6153846153846154,9.385569979909985,"{""family_mask"": 3, ""direction"": 0, ""rr"": 2.8, ""sl_atr"": 2.17586990698088, ""min_stop_pct"": 0.0039929536655600225, ""max_hold"": 432, ""cooldown"": 17, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 27.523891196308593, ""adx_range_max"": 20.778611753030532, ""rsi_long_min"": 44.17560866346891, ""rsi_long_max"": 75.16660945388905, ""volz_break"": 1.3149501594276396, ""body_min"": 0.2805927111131381, ""close_loc_min"": 0.591000134755124, ""eff_min"": 0.20365820369466267, ""atr_rank_min"": 0.5227448753127091, ""squeeze_rank_max"": 0.48200799944200984, ""vwap_dev_entry"": 2.053650011041408, ""pull_idx"": 2, ""don_idx"": 0, ""trail_trigger"": 1.9881400562713079, ""trail_lock"": 1.8176306709776187}"
3,24.278732031988582,False,趋势回踩+压缩突破,双向,21.0,0.5238095238095238,1.5965135614848063,26.0,0.3076923076923077,1.6925466029775587,3.520395938230772,4.532390163106588,9.0,0.5555555555555556,4.991393760432251,12.0,0.5,3.5781906916444575,"{""family_mask"": 3, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 1.2877279695455817, ""min_stop_pct"": 0.007532768822748031, ""max_hold"": 432, ""cooldown"": 27, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 25.702282006763838, ""adx_range_max"": 15.780238858699146, ""rsi_long_min"": 48.14491410646795, ""rsi_long_max"": 70.62299507810127, ""volz_break"": 1.106071562223838, ""body_min"": 0.32314416686686787, ""close_loc_min"": 0.5953244145397997, ""eff_min"": 0.18793924095821696, ""atr_rank_min"": 0.41863779443231264, ""squeeze_rank_max"": 0.5415364032858525, ""vwap_dev_entry"": 2.2906851729834026, ""pull_idx"": 5, ""don_idx"": 1, ""trail_trigger"": 1.9066257706779985, ""trail_lock"": 1.79452692639608}"
4,11.793338208525356,False,趋势回踩,双向,20.0,0.55,1.4579049068669958,23.0,0.43478260869565216,1.39072135652457,10.280662560259668,3.802042866358309,11.0,0.45454545454545453,1.193078650336868,9.0,0.6666666666666666,7.984005809073794,"{""family_mask"": 1, ""direction"": 0, ""rr"": 2.4, ""sl_atr"": 1.859758277017275, ""min_stop_pct"": 0.003068021757361281, ""max_hold"": 432, ""cooldown"": 28, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 17.894172762881887, ""adx_range_max"": 16.92809678742493, ""rsi_long_min"": 42.828465250724975, ""rsi_long_max"": 73.4624514880917, ""volz_break"": -0.2016290252169038, ""body_min"": 0.27818989646541586, ""close_loc_min"": 0.8614879445478241, ""eff_min"": 0.4423579336790872, ""atr_rank_min"": 0.5842448222315789, ""squeeze_rank_max"": 0.34355528629495324, ""vwap_dev_entry"": 1.7737996562259524, ""pull_idx"": 4, ""don_idx"": 0, ""trail_trigger"": 2.0780183620723514, ""trail_lock"": 1.754969553089141}"
5,-61.80922324331827,False,趋势回踩+压缩突破,双向,21.0,0.5714285714285714,1.30410476652606,18.0,0.4444444444444444,1.3253109386047248,9.193750776700282,2.5927039551125577,12.0,0.5,2.2682800575624915,9.0,0.6666666666666666,6.214326145206615,"{""family_mask"": 3, ""direction"": 0, ""rr"": 2.4, ""sl_atr"": 2.5568784218871157, ""min_stop_pct"": 0.0030580901533796734, ""max_hold"": 576, ""cooldown"": 12, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 17.686559276798544, ""adx_range_max"": 14.505743590670678, ""rsi_long_min"": 41.61202404525641, ""rsi_long_max"": 68.11200963869788, ""volz_break"": 0.4805854307963861, ""body_min"": 0.41678405274615643, ""close_loc_min"": 0.8619337712470323, ""eff_min"": 0.4497636095971033, ""atr_rank_min"": 0.6838387770435626, ""squeeze_rank_max"": 0.5353865159277451, ""vwap_dev_entry"": 0.9595574640936367, ""pull_idx"": 4, ""don_idx"": 0, ""trail_trigger"": 1.9202352768402045, ""trail_lock"": 1.7524532226787792}"
6,-101.5049909720363,False,趋势回踩,双向,24.0,0.5,1.5564296523838375,32.0,0.375,1.4959357522538688,5.868511650067311,3.471264783867192,11.0,0.45454545454545453,1.472209465614419,13.0,0.5384615384615384,6.9564586181811014,"{""family_mask"": 1, ""direction"": 0, ""rr"": 3.0, ""sl_atr"": 1.1064071616370008, ""min_stop_pct"": 0.003819595451084814, ""max_hold"": 432, ""cooldown"": 8, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""adx_trend_min"": 32.59621945730079, ""adx_range_max"": 19.11192815097659, ""rsi_long_min"": 51.92813967855639, ""rsi_long_max"": 75.84789662696355, ""volz_break"": 0.9145174162916065, ""body_min"": 0.5196905591243681, ""close_loc_min"": 0.6379882866650614, ""eff_min"": 0.2647149761496632, ""atr_rank_min"": 0.7497802661656205, ""squeeze_rank_max"": 0.363725882652331, ""vwap_dev_entry"": 1.2069329860750657, ""pull_idx"": 8, ""don_idx"": 0, ""trail_trigger"": 2.084580760766876, ""trail_lock"": 1.8399386791641694}"
7,-101.65457805000769,False,趋势回踩,双向,24.0,0.5416666666666666,1.3233073216386813,26.0,0.38461538461538464,1.4605116159969809,6.388353125013985,3.829317587258414,13.0,0.5384615384615384,5.550435773490385,11.0,0.5454545454545454,2.4856816067458114,"{""family_mask"": 1, ""direction"": 0, ""rr"": 2.4, ""sl_atr"": 2.76663528407011, ""min_stop_pct"": 0.003059812721389247, ""max_hold"": 144, ""cooldown"": 33, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 20.376911020934596, ""adx_range_max"": 21.09586511761187, ""rsi_long_min"": 45.23583771913513, ""rsi_long_max"": 67.33564174160152, ""volz_break"": 0.8143182343134465, ""body_min"": 0.2636320081663155, ""close_loc_min"": 0.7750462075778355, ""eff_min"": 0.21230737989589854, ""atr_rank_min"": 0.5087227912934296, ""squeeze_rank_max"": 0.4610913094945242, ""vwap_dev_entry"": 1.8204559884117575, ""pull_idx"": 4, ""don_idx"": 1, ""trail_trigger"": 2.041373629402214, ""trail_lock"": 1.8495081087506886}"
8,-104.65992145924983,False,三策略组合,双向,20.0,0.5,1.8040738213041676,29.0,0.4827586206896552,1.4433305787038258,12.470273820781333,4.215889199625769,10.0,0.5,2.345038759082846,10.0,0.5,4.200354253939828,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.6, ""sl_atr"": 1.3963587542493205, ""min_stop_pct"": 0.0070442286615549155, ""max_hold"": 144, ""cooldown"": 17, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 15.98477120725138, ""adx_range_max"": 22.873246937919813, ""rsi_long_min"": 51.889728748889496, ""rsi_long_max"": 64.0450863803023, ""volz_break"": 0.6553335225037815, ""body_min"": 0.3931780427187148, ""close_loc_min"": 0.6700183820300968, ""eff_min"": 0.30962104408364777, ""atr_rank_min"": 0.18231547650043387, ""squeeze_rank_max"": 0.12039469242416803, ""vwap_dev_entry"": 2.270835012784177, ""pull_idx"": 4, ""don_idx"": 0, ""trail_trigger"": 1.938608870405012, ""trail_lock"": 1.8467532168271321}"
9,-108.76523845301,False,三策略组合,双向,20.0,0.55,1.3228458253149935,20.0,0.25,1.5701916142666426,-1.4393653828323938,3.844618138210654,7.0,0.5714285714285714,2.264291366874766,13.0,0.5384615384615384,4.787621888911377,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.6, ""sl_atr"": 2.462232564810666, ""min_stop_pct"": 0.003558918758858792, ""max_hold"": 216, ""cooldown"": 21, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""adx_trend_min"": 25.011706245870464, ""adx_range_max"": 13.451627224937088, ""rsi_long_min"": 50.94326513159005, ""rsi_long_max"": 70.51679186979379, ""volz_break"": 0.9287160875909797, ""body_min"": 0.30962591247286947, ""close_loc_min"": 0.7693989068703708, ""eff_min"": 0.3896832362889896, ""atr_rank_min"": 0.3756413734699565, ""squeeze_rank_max"": 0.4149211367308188, ""vwap_dev_entry"": 2.061451382753223, ""pull_idx"": 5, ""don_idx"": 1, ""trail_trigger"": 1.9581643821347288, ""trail_lock"": 1.7993040819735195}"
10,-118.2112224288783,False,趋势回踩+压缩突破,双向,22.0,0.5,1.7076668989631516,29.0,0.3448275862068966,1.5368363127281612,4.858455197068986,5.561177015163151,10.0,0.6,6.6056128758450114,12.0,0.4166666666666667,2.733817456234462,"{""family_mask"": 3, ""direction"": 0, ""rr"": 3.0, ""sl_atr"": 1.464037964811537, ""min_stop_pct"": 0.0036737379168481094, ""max_hold"": 216, ""cooldown"": 11, ""session_start"": 6, ""session_end"": 15, ""weekday_mask"": 127, ""adx_trend_min"": 17.596764753192822, ""adx_range_max"": 24.599906305985122, ""rsi_long_min"": 44.668743977557064, ""rsi_long_max"": 63.98689942520337, ""volz_break"": 1.5120819034931792, ""body_min"": 0.4410241200919991, ""close_loc_min"": 0.5805271278952977, ""eff_min"": 0.18092891875661632, ""atr_rank_min"": 0.35227760334044805, ""squeeze_rank_max"": 0.12039529572951504, ""vwap_dev_entry"": 1.375342155435741, ""pull_idx"": 7, ""don_idx"": 0, ""trail_trigger"": 2.151318104492297, ""trail_lock"": 2.066781770083322}"
