signal_time_utc,entry_time_utc,exit_time_utc,month,direction,setup,probability,entry,risk_abs,target_R,net_R,win,exit_reason,bars
2026-05-02T02:50:00+00:00,2026-05-02T02:55:00+00:00,2026-05-02T05:10:00+00:00,2026-05,LONG,动量延续,0.6952118173345251,78384.2,352.72754999999995,2.0,-1.222289799095628,False,SL,27
2026-05-03T06:50:00+00:00,2026-05-03T06:55:00+00:00,2026-05-03T18:55:00+00:00,2026-05,LONG,突破确认,0.6970212468405137,78282.8,352.2717,2.0,0.9799406253752349,True,TIME,144
2026-05-03T22:10:00+00:00,2026-05-03T22:15:00+00:00,2026-05-03T23:20:00+00:00,2026-05,LONG,突破确认,0.6647038244462203,79231.09999999999,356.5386,2.0,-1.2222837322522637,False,SL,13
2026-05-04T01:50:00+00:00,2026-05-04T01:55:00+00:00,2026-05-04T02:00:00+00:00,2026-05,LONG,突破确认,0.6752300948523121,79208.8,356.4387,2.0,1.7762163909250048,True,TP,1
2026-05-04T04:15:00+00:00,2026-05-04T04:20:00+00:00,2026-05-04T05:10:00+00:00,2026-05,LONG,动量延续,0.6634720699379563,80480.3,362.15999999999997,2.0,-1.222275016567265,False,SL,10
2026-05-04T07:40:00+00:00,2026-05-04T07:45:00+00:00,2026-05-04T10:00:00+00:00,2026-05,LONG,趋势回踩,0.7031856437432392,79820.2,359.19,2.0,-1.2222793090008057,False,SL,27
2026-05-04T14:20:00+00:00,2026-05-04T14:25:00+00:00,2026-05-04T14:45:00+00:00,2026-05,LONG,突破确认,0.6657503717328466,79230.2,356.53454999999997,2.0,1.7762162613693295,True,TP,4
2026-05-05T00:30:00+00:00,2026-05-05T00:35:00+00:00,2026-05-05T02:40:00+00:00,2026-05,LONG,突破确认,0.7173837533918868,80050.3,360.22545,2.0,1.7762222923172113,True,TP,25
2026-05-05T04:45:00+00:00,2026-05-05T04:50:00+00:00,2026-05-05T09:50:00+00:00,2026-05,LONG,趋势回踩,0.6475294828361927,80876.3,363.94199999999995,2.0,-1.222272309873531,False,SL,60
2026-05-05T11:10:00+00:00,2026-05-05T11:15:00+00:00,2026-05-05T13:20:00+00:00,2026-05,LONG,突破确认+动量延续,0.7001266409679865,80905.8,364.07475,2.0,1.7762278907010234,True,TP,25
2026-05-06T03:20:00+00:00,2026-05-06T03:25:00+00:00,2026-05-06T04:50:00+00:00,2026-05,LONG,突破确认+动量延续,0.7039437389888222,81608.2,367.236,2.0,-1.2222671034430217,False,SL,17
2026-05-06T07:05:00+00:00,2026-05-06T07:10:00+00:00,2026-05-06T10:30:00+00:00,2026-05,LONG,突破确认,0.6811687240886305,81520.7,366.8427,2.0,1.7762325849744454,True,TP,40
2026-05-08T17:30:00+00:00,2026-05-08T17:35:00+00:00,2026-05-09T05:35:00+00:00,2026-05,LONG,突破确认,0.6639217936120081,80218.59999999999,360.98279999999994,2.0,0.3614465841586288,True,TIME,144
2026-05-09T08:00:00+00:00,2026-05-09T08:05:00+00:00,2026-05-09T20:05:00+00:00,2026-05,LONG,突破确认,0.6757500851845815,80341.2,361.5345,2.0,1.1498505675115456,True,TIME,144
2026-05-10T03:35:00+00:00,2026-05-10T03:40:00+00:00,2026-05-10T15:40:00+00:00,2026-05,LONG,趋势回踩+突破确认+动量延续,0.7406602392760686,80818.0,363.6801,2.0,0.5846764780366202,True,TIME,144
2026-05-11T07:05:00+00:00,2026-05-11T07:10:00+00:00,2026-05-11T16:05:00+00:00,2026-05,LONG,流动性扫单反转,0.6958629973046967,80729.2,363.28095,2.0,1.7762272396887409,True,TP,107
2026-05-12T01:20:00+00:00,2026-05-12T01:25:00+00:00,2026-05-12T01:35:00+00:00,2026-05,LONG,流动性扫单反转,0.686844233305467,81368.4,366.15689999999995,2.0,-1.2222687092609723,False,SL,2
2026-05-12T04:35:00+00:00,2026-05-12T04:40:00+00:00,2026-05-12T07:00:00+00:00,2026-05,LONG,突破确认,0.6559677069266533,81256.2,365.652,2.0,-1.2222694638618112,False,SL,28
2026-05-12T12:35:00+00:00,2026-05-12T12:40:00+00:00,2026-05-12T13:30:00+00:00,2026-05,LONG,突破确认,0.6498431833012331,80942.2,364.239,2.0,-1.2222715867877918,False,SL,10
2026-05-13T07:30:00+00:00,2026-05-13T07:35:00+00:00,2026-05-13T11:10:00+00:00,2026-05,LONG,流动性扫单反转,0.6580917690951903,80892.9,364.01759999999996,2.0,-1.2222716462061276,False,SL,43
2026-05-23T20:35:00+00:00,2026-05-23T20:40:00+00:00,2026-05-23T21:00:00+00:00,2026-05,LONG,突破确认,0.6577300941840307,76712.0,345.2031,2.0,1.7761981190203697,True,TP,4
2026-05-23T23:05:00+00:00,2026-05-23T23:10:00+00:00,2026-05-24T10:25:00+00:00,2026-05,LONG,趋势回踩,0.6848561063482238,76695.9,345.13064999999995,2.0,1.7761979973381135,True,TP,135
2026-06-15T01:35:00+00:00,2026-06-15T01:40:00+00:00,2026-06-15T11:15:00+00:00,2026-06,LONG,趋势回踩+突破确认+动量延续,0.6501846170619247,65672.59999999999,295.52535,2.0,1.77610034012314,True,TP,115
2026-06-16T07:45:00+00:00,2026-06-16T07:50:00+00:00,2026-06-16T08:50:00+00:00,2026-06,LONG,流动性扫单反转,0.6462848044696345,66295.7,298.3302,2.0,1.77610737967526,True,TP,12
