rank,april_score,may_score,rr,sl_atr,min_stop_pct,max_hold,quantile,cooldown,direction,may_trades,may_wins,may_win_rate,may_avg_win_R,may_avg_loss_R,may_avg_win_loss_ratio,may_profit_factor,may_net_R,may_max_drawdown_R
1,-373.56898755947384,-1031.137541878913,2.0,1.2,0.0045,144,0.9,6,只做多,22,12,0.5454545454545454,1.4404710859513556,1.222274867634922,1.1785164892890574,1.414219787146869,5.06290435506705,4.889081406116703
2,-230.99421027327776,-1422.2089443238972,2.0,1.2,0.0045,72,0.9,12,只做多,29,11,0.3793103448275862,1.4306697238900978,0.9234200420240225,1.5493163011214774,0.9468044062409029,-0.8841937936413284,6.231760420489477
3,-340.1418640303664,-1540.0042976754962,2.0,2.0,0.0045,144,0.95,3,双向,16,7,0.4375,1.6069978680327066,1.2229573889451122,1.3140260507513322,1.0220202616954805,0.24236857572293768,6.7838749891489805
4,-340.1418640303664,-1540.0042976754962,2.0,2.0,0.0045,144,0.95,6,双向,16,7,0.4375,1.6069978680327066,1.2229573889451122,1.3140260507513322,1.0220202616954805,0.24236857572293768,6.7838749891489805
5,-340.1418640303664,-1540.0042976754962,2.0,2.0,0.0045,144,0.95,12,双向,16,7,0.4375,1.6069978680327066,1.2229573889451122,1.3140260507513322,1.0220202616954805,0.24236857572293768,6.7838749891489805
6,-47.9037001184563,-1647.3448987380834,2.2,2.0,0.0045,72,0.965,6,双向,20,9,0.45,1.3378502349727386,1.1123094964489473,1.2027679699254847,0.9840828844844876,-0.19475234618377235,5.996903681150218
7,-103.28604141663561,-1851.3385403270136,2.0,1.2,0.0045,72,0.93,12,双向,22,10,0.45454545454545453,1.2889436666535052,1.1557391992551116,1.1152547802170643,0.9293789835142202,-0.9794337245262862,7.3168672333533795
8,-311.3016036913393,-1892.9416527819542,2.0,1.2,0.0045,72,0.93,3,双向,22,10,0.45454545454545453,1.2889436666535052,1.1557391992551116,1.1152547802170643,0.9293789835142202,-0.9794337245262862,7.3168672333533795
9,-311.3016036913393,-1892.9416527819542,2.0,1.2,0.0045,72,0.93,6,双向,22,10,0.45454545454545453,1.2889436666535052,1.1557391992551116,1.1152547802170643,0.9293789835142202,-0.9794337245262862,7.3168672333533795
10,-47.9037001184563,-1909.944603717679,2.2,2.0,0.0045,72,0.965,3,双向,20,9,0.45,1.2347415440939276,1.1123094964489473,1.1100701270966804,0.9082391948972839,-1.1227305640930731,6.924881899059518
11,-245.72867572760734,-1920.4287315745353,2.0,1.2,0.0045,72,0.93,12,双向,25,9,0.36,1.3805099773410456,1.0109851802864247,1.3655096081130784,0.7680991545636066,-3.751173088513383,8.890831911625366
12,-47.9037001184563,-1925.641695596642,2.2,2.0,0.0045,72,0.965,12,双向,20,9,0.45,1.227011411070658,1.1123094964489473,1.1031205028707363,0.9025531387124204,-1.1923017613024987,5.996903681150217
13,-205.6477799057012,-6442.958678548231,2.2,2.0,0.0045,144,0.965,12,双向,11,6,0.5454545454545454,1.8391321555361344,1.22269062426109,1.5041680364953967,1.8050016437944758,4.921339811911355,2.446629254923735
14,-205.64778968788914,-6442.958680504667,2.2,2.0,0.0045,144,0.965,6,双向,11,6,0.5454545454545454,1.8391321555361344,1.22269062426109,1.5041680364953967,1.8050016437944758,4.921339811911355,2.446629254923735
15,-205.6477917524776,-6442.958680917585,2.2,2.0,0.0045,144,0.965,3,双向,11,6,0.5454545454545454,1.8391321555361344,1.22269062426109,1.5041680364953967,1.8050016437944758,4.921339811911355,2.446629254923735
