rank,aggregate_score,rr,sl_atr,min_stop_pct,max_hold,quantile,cooldown,direction,regime_mask,setup_mask,2025-12_trades,2025-12_wins,2025-12_win_rate,2025-12_avg_win_R,2025-12_avg_loss_R,2025-12_avg_win_loss_ratio,2025-12_profit_factor,2025-12_net_R,2025-12_max_drawdown_R,2026-01_trades,2026-01_wins,2026-01_win_rate,2026-01_avg_win_R,2026-01_avg_loss_R,2026-01_avg_win_loss_ratio,2026-01_profit_factor,2026-01_net_R,2026-01_max_drawdown_R,2026-02_trades,2026-02_wins,2026-02_win_rate,2026-02_avg_win_R,2026-02_avg_loss_R,2026-02_avg_win_loss_ratio,2026-02_profit_factor,2026-02_net_R,2026-02_max_drawdown_R,2026-03_trades,2026-03_wins,2026-03_win_rate,2026-03_avg_win_R,2026-03_avg_loss_R,2026-03_avg_win_loss_ratio,2026-03_profit_factor,2026-03_net_R,2026-03_max_drawdown_R,2026-04_trades,2026-04_wins,2026-04_win_rate,2026-04_avg_win_R,2026-04_avg_loss_R,2026-04_avg_win_loss_ratio,2026-04_profit_factor,2026-04_net_R,2026-04_max_drawdown_R,2026-05_trades,2026-05_wins,2026-05_win_rate,2026-05_avg_win_R,2026-05_avg_loss_R,2026-05_avg_win_loss_ratio,2026-05_profit_factor,2026-05_net_R,2026-05_max_drawdown_R
1,-6476.146668838528,3.0,1.1,0.0045,288,0.94,3,只做空,5,15,13,6,0.46153846153846156,2.7903213179465873,1.22323174157704,2.2811060432009325,1.9552337513150853,8.179305716640247,2.4464756097523415,12,6,0.5,2.778790461277957,1.0487932117924703,2.649512248967349,2.649512248967349,10.379983496912923,2.6541578168208337,12,4,0.3333333333333333,2.7967713030080983,1.1647701804032038,2.4011357348107514,1.2005678674053757,1.8689237688067628,8.161862765376735,2,1,0.5,2.7786174314742036,1.2233893878446815,2.2712453280058775,2.2712453280058775,1.555228043629522,1.2233893878446815,6,4,0.6666666666666666,2.778686282652893,1.2233877591069717,2.271304630905603,4.542609261811206,8.667969612397629,2.4467755182139435,10,4,0.4,2.7787026685512988,1.2233056047984963,2.2714705611187065,1.514313707412471,3.774977045414218,3.6699682936049838
2,-6635.48485263241,3.0,1.1,0.0045,288,0.94,16,只做空,5,15,12,6,0.5,2.7903213179465873,1.2232316740596823,2.2811061691086048,2.281106169108605,9.402537863321433,2.4464756097523424,12,6,0.5,2.778790461277957,1.0487932117924703,2.649512248967349,2.649512248967349,10.379983496912923,2.6541578168208337,10,5,0.5,2.8067577764448264,1.1768592394818254,2.3849562311977515,2.384956231197752,8.149492684815003,5.884296197409127,2,1,0.5,2.7786174314742036,1.2233893878446815,2.2712453280058775,2.2712453280058775,1.555228043629522,1.2233893878446815,6,4,0.6666666666666666,2.778686282652893,1.2233877591069717,2.271304630905603,4.542609261811206,8.667969612397629,2.4467755182139435,10,4,0.4,2.7787026685512988,1.2233056047984963,2.2714705611187065,1.514313707412471,3.774977045414218,3.6699682936049838
3,-6671.833691441774,2.4,1.1,0.003,576,0.88,3,只做多,9,15,24,11,0.4583333333333333,2.0738336625803586,1.3263910828903427,1.5635159865982073,1.3229750655830983,5.56908621080949,5.334252428307277,17,9,0.5294117647058824,2.0647037313975383,1.3335780471026424,1.5482436411452287,1.7417740962883823,7.913709205756707,6.667889692690557,18,2,0.1111111111111111,2.064492173568049,1.3038161335140157,1.5834227852388023,0.1979278481548503,-16.732073789088155,16.732073789088155,10,2,0.2,2.0645223634006733,1.3086508448946121,1.5775960191787695,0.39439900479469236,-6.3401620323555505,7.801596125137236,16,7,0.4375,2.0645331565637757,1.3337469981860446,1.547919627464304,1.203937488027792,2.4480091122720293,5.334762996902687,28,7,0.25,2.0646272037563036,1.3336742352209139,1.5480745966531417,0.5160248655510473,-13.55476851334506,21.338851957882987
4,-6766.859904944935,3.0,1.1,0.0045,288,0.94,8,只做空,5,15,12,6,0.5,2.7903213179465873,1.2232316740596823,2.2811061691086048,2.281106169108605,9.402537863321433,2.4464756097523424,12,6,0.5,2.778790461277957,1.0487932117924703,2.649512248967349,2.649512248967349,10.379983496912923,2.6541578168208337,10,3,0.3,2.7842716509663243,1.1698009597769456,2.3801242661804802,1.0200532569344916,0.16420823446035282,8.18860671843862,2,1,0.5,2.7786174314742036,1.2233893878446815,2.2712453280058775,2.2712453280058775,1.555228043629522,1.2233893878446815,6,4,0.6666666666666666,2.778686282652893,1.2233877591069717,2.271304630905603,4.542609261811206,8.667969612397629,2.4467755182139435,10,4,0.4,2.7787026685512988,1.2233056047984963,2.2714705611187065,1.514313707412471,3.774977045414218,3.6699682936049838
5,-6857.440571186248,3.0,1.1,0.0045,288,0.91,8,双向,5,5,19,9,0.47368421052631576,2.785468246266348,1.2229228677204032,2.277713762486605,2.0499423862379444,12.839985539193101,4.891839847054311,15,7,0.4666666666666667,2.7840714393022554,1.2227213900766278,2.27694670421017,1.9923283661838986,9.706728954502767,3.6675919516609516,6,2,0.3333333333333333,2.778600193334809,1.2233859404917047,2.2712376375831416,1.1356188187915708,0.6636566247027993,4.893543761966819,5,3,0.6,2.7776428911950277,1.2233872131147185,2.270452773593412,3.4056791603901186,5.886154247355648,1.2233893878446815,6,1,0.16666666666666666,2.775678805728788,1.2229434661116987,2.2696705797480163,0.4539341159496033,-3.3390385248297054,3.6691177398319463,18,6,0.3333333333333333,2.5675569345722034,1.2227995335833184,2.0997365995456168,1.0498682997728086,0.7317472044333972,6.1156048773063105
6,-6857.440571186248,3.0,1.1,0.0045,288,0.91,16,双向,5,5,19,9,0.47368421052631576,2.785468246266348,1.2229228677204032,2.277713762486605,2.0499423862379444,12.839985539193101,4.891839847054311,15,7,0.4666666666666667,2.7840714393022554,1.2227213900766278,2.27694670421017,1.9923283661838986,9.706728954502767,3.6675919516609516,6,2,0.3333333333333333,2.778600193334809,1.2233859404917047,2.2712376375831416,1.1356188187915708,0.6636566247027993,4.893543761966819,5,3,0.6,2.7776428911950277,1.2233872131147185,2.270452773593412,3.4056791603901186,5.886154247355648,1.2233893878446815,6,1,0.16666666666666666,2.775678805728788,1.2229434661116987,2.2696705797480163,0.4539341159496033,-3.3390385248297054,3.6691177398319463,18,6,0.3333333333333333,2.5675569345722034,1.2227995335833184,2.0997365995456168,1.0498682997728086,0.7317472044333972,6.1156048773063105
7,-7245.405741107263,3.0,1.1,0.0045,288,0.91,16,只做空,5,5,18,8,0.4444444444444444,2.7874377814850204,1.223227099670782,2.2787573805675403,1.8230059044540323,10.067231255172343,3.6696873935763836,17,8,0.47058823529411764,2.7837849849136944,1.1103887777804957,2.5070363107217926,2.228476720641593,12.276780879285095,6.323781867209616,14,4,0.2857142857142857,2.786798021708369,1.193442910072668,2.335091187176002,0.9340364748704009,-0.7872370138932054,9.563007175126806,3,1,0.3333333333333333,2.7786174314742036,1.223387918899161,2.271248055134043,1.1356240275670215,0.3318415936758816,1.2233893878446815,6,3,0.5,2.778684613254274,1.2233622056782245,2.271350709018993,2.271350709018993,4.665967222728149,2.4467755182139435,10,4,0.4,2.7786960884240055,1.2233082604338932,2.2714602511050113,1.5143068340700074,3.7749347910926634,3.66994168966868
8,-7653.436977977072,3.0,1.1,0.0045,288,0.91,16,只做空,5,15,18,8,0.4444444444444444,2.7874377814850204,1.223227099670782,2.2787573805675403,1.8230059044540323,10.067231255172343,3.6696873935763836,21,10,0.47619047619047616,2.782786820185454,1.1194210414940224,2.4859161272075423,2.2599237520068565,15.514236745420291,3.877373592100229,16,6,0.375,2.8046952672839187,1.2009833214592849,2.3353324040137404,1.4011994424082443,4.818338389110663,9.563007175126804,4,1,0.25,2.7786174314742036,1.2233628282557714,2.2712946374509846,0.7570982124836616,-0.8914710532931107,2.4466990969226328,9,4,0.4444444444444444,2.778686282652893,1.2233558902071002,2.271363799280431,1.8170910394243447,4.997965679576071,3.6701619419190337,13,5,0.38461538461538464,2.7786973608523704,1.223306745636303,2.2714641039660344,1.4196650649787717,4.1070328391714295,3.66994168966868
9,-7974.876639104608,3.0,1.1,0.0045,288,0.91,8,只做空,5,5,18,8,0.4444444444444444,2.7874377814850204,1.223227099670782,2.2787573805675403,1.8230059044540323,10.067231255172343,3.6696873935763836,17,8,0.47058823529411764,2.7837849849136944,1.1103887777804957,2.5070363107217926,2.228476720641593,12.276780879285095,6.323781867209616,15,4,0.26666666666666666,2.786798021708369,1.1900661616886887,2.3417168821554744,0.8515334116928999,-1.9435356917421003,9.563007175126806,4,1,0.25,2.7786174314742036,1.223388020117894,2.2712478672191323,0.7570826224063775,-0.8915466288794782,2.446774672509,6,3,0.5,2.778684613254274,1.2233622056782245,2.271350709018993,2.271350709018993,4.665967222728149,2.4467755182139435,10,4,0.4,2.7786960884240055,1.2233083498841342,2.271460085012246,1.514306723341497,3.7749342543912174,3.669942226370126
10,-8544.961234199023,3.0,1.1,0.0045,288,0.91,16,只做空,4,5,18,8,0.4444444444444444,2.7874377814850204,1.223227099670782,2.2787573805675403,1.8230059044540323,10.067231255172343,3.6696873935763836,15,8,0.5333333333333333,2.7837849849136944,1.0781445901134117,2.582014518684237,2.950873735639128,14.723267748515674,6.323781867209616,14,4,0.2857142857142857,2.786798021708369,1.193442910072668,2.335091187176002,0.9340364748704009,-0.7872370138932054,9.563007175126806,3,1,0.3333333333333333,2.7786174314742036,1.223387918899161,2.271248055134043,1.1356240275670215,0.3318415936758816,1.2233893878446815,5,3,0.6,2.778684613254274,1.2233884163022677,2.2713020462078113,3.406953069311717,5.889277007158288,2.4467768326045354,7,2,0.2857142857142857,2.7786908905498846,1.2233090936311082,2.2714544549832354,0.9085817819932942,-0.559163687055771,2.446633993021177
11,-8552.80426791145,3.0,1.1,0.0045,288,0.91,16,只做空,4,15,18,8,0.4444444444444444,2.7874377814850204,1.223227099670782,2.2787573805675403,1.8230059044540323,10.067231255172343,3.6696873935763836,19,10,0.5263157894736842,2.782786820185454,1.0963493985781854,2.5382298962304777,2.820255440256086,17.960723614650874,3.877373592100229,16,6,0.375,2.8046952672839187,1.2009833214592849,2.3353324040137404,1.4011994424082443,4.818338389110663,9.563007175126804,3,1,0.3333333333333333,2.7786174314742036,1.223387918899161,2.271248055134043,1.1356240275670215,0.3318415936758816,1.2233893878446815,5,3,0.6,2.778687219007478,1.2233884163022677,2.271304176155397,3.4069562642330955,5.889284824417899,2.4467768326045354,8,2,0.25,2.7786908905498846,1.2233062789543188,2.271459681319634,0.7571532271065448,-1.7824558926261445,3.6698786303773296
12,-8836.412828225317,3.0,1.1,0.0045,288,0.91,8,只做空,4,5,18,8,0.4444444444444444,2.7874377814850204,1.223227099670782,2.2787573805675403,1.8230059044540323,10.067231255172343,3.6696873935763836,15,8,0.5333333333333333,2.7837849849136944,1.0781445901134117,2.582014518684237,2.950873735639128,14.723267748515674,6.323781867209616,15,4,0.26666666666666666,2.786798021708369,1.1900661616886887,2.3417168821554744,0.8515334116928999,-1.9435356917421003,9.563007175126806,4,1,0.25,2.7786174314742036,1.223388020117894,2.2712478672191323,0.7570826224063775,-0.8915466288794782,2.446774672509,5,3,0.6,2.778684613254274,1.2233884163022677,2.2713020462078113,3.406953069311717,5.889277007158288,2.4467768326045354,7,2,0.2857142857142857,2.7786908905498846,1.2233090936311082,2.2714544549832354,0.9085817819932942,-0.559163687055771,2.446633993021177
13,-8855.535966498926,3.0,1.1,0.0045,288,0.91,8,只做空,4,4,18,8,0.4444444444444444,2.7874377814850204,1.223227099670782,2.2787573805675403,1.8230059044540323,10.067231255172343,3.6696873935763836,13,6,0.46153846153846156,2.786690176328999,1.0781446928643876,2.5847088936879064,2.2154647660182056,9.17312820792328,6.323782586466448,11,3,0.2727272727272727,2.7831551295902184,1.1896244164560592,2.339524215450582,0.8773215807939683,-1.1675299428778199,7.1247521796228535,3,1,0.3333333333333333,2.7786174314742036,1.223387918899161,2.271248055134043,1.1356240275670215,0.3318415936758816,1.2233893878446815,4,3,0.75,2.778684613254274,1.2233888705560467,2.27130120285574,6.81390360856722,7.112664969206776,1.2233888705560467,8,2,0.25,2.7786908905498846,1.2233124088963996,2.271448299177032,0.7571494330590106,-1.7824926722786285,2.4466540355502637
14,-8855.535966498926,3.0,1.1,0.0045,288,0.91,16,只做空,4,4,18,8,0.4444444444444444,2.7874377814850204,1.223227099670782,2.2787573805675403,1.8230059044540323,10.067231255172343,3.6696873935763836,13,6,0.46153846153846156,2.786690176328999,1.0781446928643876,2.5847088936879064,2.2154647660182056,9.17312820792328,6.323782586466448,11,3,0.2727272727272727,2.7831551295902184,1.1896244164560592,2.339524215450582,0.8773215807939683,-1.1675299428778199,7.1247521796228535,3,1,0.3333333333333333,2.7786174314742036,1.223387918899161,2.271248055134043,1.1356240275670215,0.3318415936758816,1.2233893878446815,4,3,0.75,2.778684613254274,1.2233888705560467,2.27130120285574,6.81390360856722,7.112664969206776,1.2233888705560467,8,2,0.25,2.7786908905498846,1.2233124088963996,2.271448299177032,0.7571494330590106,-1.7824926722786285,2.4466540355502637
