rank,score,qualified,may_trades,may_win_rate,may_ratio,june_trades,june_win_rate,june_ratio,net_R,max_drawdown_R,config
1,569.9288166385937,False,3.0,1.0,0.0,3.0,1.0,0.0,4.928816638593753,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.6, ""sl_atr"": 2.012892119714255, ""min_stop_pct"": 0.006507771093810779, ""max_hold"": 36, ""cooldown"": 25, ""session_start"": 14, ""session_end"": 21, ""weekday_mask"": 30, ""adx_min"": 35.97756789965415, ""rsi_long_min"": 54.682398117148715, ""rsi_long_max"": 59.68813116228232, ""volz_min"": 0.8257000292432972, ""body_min"": 0.4449492562168773, ""close_loc_min"": 0.5859802150141594, ""ret3_min"": 0.000830870006096736, ""bb_min"": 0.5015070642819667, ""bb_max"": 1.0407603146189577, ""pull_idx"": 0, ""don_idx"": 1, ""score_need"": 7, ""weights"": [0, 0, 3, 2, 0, 1, 0, 3, 0, 1, 1, 1, 1, 1, 3, 3]}"
2,568.1064701909594,False,5.0,1.0,0.0,1.0,1.0,0.0,3.106470190959343,0.0,"{""direction"": 1, ""trigger"": 3, ""rr"": 2.25, ""sl_atr"": 2.4423619456188868, ""min_stop_pct"": 0.006323448192967332, ""max_hold"": 18, ""cooldown"": 25, ""session_start"": 11, ""session_end"": 24, ""weekday_mask"": 30, ""adx_min"": 21.88207003137743, ""rsi_long_min"": 38.14446854227959, ""rsi_long_max"": 68.59791396552234, ""volz_min"": 1.645081498292044, ""body_min"": 0.4210807323836957, ""close_loc_min"": 0.775472970144047, ""ret3_min"": -4.2870941956847566e-05, ""bb_min"": 0.21025657303182407, ""bb_max"": 1.1329148254124215, ""pull_idx"": 3, ""don_idx"": 1, ""score_need"": 4, ""weights"": [0, 2, 2, 1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 1]}"
3,567.1694920082709,False,3.0,1.0,0.0,2.0,1.0,0.0,4.669492008270897,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 2.8606716011220925, ""min_stop_pct"": 0.006157445680845865, ""max_hold"": 36, ""cooldown"": 72, ""session_start"": 19, ""session_end"": 24, ""weekday_mask"": 124, ""adx_min"": 14.284786705870225, ""rsi_long_min"": 35.626915054379225, ""rsi_long_max"": 70.41560352425958, ""volz_min"": -0.6591824863085686, ""body_min"": 0.6516028176404277, ""close_loc_min"": 0.7200495116624321, ""ret3_min"": 8.780326935670579e-05, ""bb_min"": 0.296153218426729, ""bb_max"": 0.7373301126133313, ""pull_idx"": 7, ""don_idx"": 0, ""score_need"": 5, ""weights"": [2, 0, 1, 0, 2, 1, 0, 2, 0, 0, 1, 2, 1, 1, 2, 1]}"
4,564.292086782404,False,3.0,1.0,0.0,2.0,1.0,0.0,1.792086782403973,0.0,"{""direction"": 1, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 2.015027752355985, ""min_stop_pct"": 0.008796720557827525, ""max_hold"": 48, ""cooldown"": 23, ""session_start"": 16, ""session_end"": 24, ""weekday_mask"": 60, ""adx_min"": 32.506684846354446, ""rsi_long_min"": 35.36396143357811, ""rsi_long_max"": 65.54847823426226, ""volz_min"": 0.978958498292642, ""body_min"": 0.29276417804790345, ""close_loc_min"": 0.7385751527723111, ""ret3_min"": 0.0018664990245699999, ""bb_min"": 0.37893852338760003, ""bb_max"": 1.0801593049141318, ""pull_idx"": 8, ""don_idx"": 1, ""score_need"": 10, ""weights"": [1, 2, 3, 1, 0, 3, 2, 0, 0, 1, 1, 1, 1, 3, 3, 2]}"
5,564.2244201421763,False,3.0,1.0,0.0,1.0,1.0,0.0,4.224420142176346,0.0,"{""direction"": 1, ""trigger"": 3, ""rr"": 1.5, ""sl_atr"": 2.6150348612760417, ""min_stop_pct"": 0.005131820330576643, ""max_hold"": 48, ""cooldown"": 15, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 20.477965889227953, ""rsi_long_min"": 35.78760730114677, ""rsi_long_max"": 74.33794559442667, ""volz_min"": 0.7923262941610791, ""body_min"": 0.507193515949997, ""close_loc_min"": 0.5806654287384923, ""ret3_min"": 0.0037798291310018875, ""bb_min"": 0.3204065808199441, ""bb_max"": 0.6459028151439804, ""pull_idx"": 2, ""don_idx"": 1, ""score_need"": 10, ""weights"": [0, 1, 0, 3, 0, 0, 1, 0, 3, 3, 1, 0, 0, 0, 3, 1]}"
6,564.1680753013646,False,1.0,1.0,0.0,3.0,1.0,0.0,4.168075301364617,0.0,"{""direction"": 2, ""trigger"": 3, ""rr"": 1.6, ""sl_atr"": 1.5853712962410018, ""min_stop_pct"": 0.00804541549219321, ""max_hold"": 72, ""cooldown"": 30, ""session_start"": 19, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 15.902952066918017, ""rsi_long_min"": 42.77536923835754, ""rsi_long_max"": 63.715822831939235, ""volz_min"": 1.6842444611112726, ""body_min"": 0.5902866134710307, ""close_loc_min"": 0.8779239342413014, ""ret3_min"": -0.0005447439123041405, ""bb_min"": 0.3931050840760489, ""bb_max"": 1.0098176991767178, ""pull_idx"": 2, ""don_idx"": 1, ""score_need"": 7, ""weights"": [1, 1, 0, 2, 3, 3, 1, 3, 1, 1, 3, 1, 0, 0, 1, 0]}"
7,563.5465686488731,False,2.0,1.0,0.0,2.0,1.0,0.0,3.54656864887307,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.5, ""sl_atr"": 2.7338323032560257, ""min_stop_pct"": 0.004026305898689108, ""max_hold"": 24, ""cooldown"": 59, ""session_start"": 7, ""session_end"": 21, ""weekday_mask"": 127, ""adx_min"": 35.18174923865354, ""rsi_long_min"": 42.2866257612871, ""rsi_long_max"": 76.903876814509, ""volz_min"": 0.950865772368116, ""body_min"": 0.48660232079210564, ""close_loc_min"": 0.7600316742690386, ""ret3_min"": 0.0014901147143671903, ""bb_min"": 0.27830267105185075, ""bb_max"": 0.5531491770612547, ""pull_idx"": 6, ""don_idx"": 1, ""score_need"": 7, ""weights"": [0, 1, 1, 1, 1, 0, 1, 0, 1, 3, 1, 1, 2, 2, 3, 1]}"
8,561.9825608303887,False,2.0,1.0,0.0,2.0,1.0,0.0,1.9825608303887436,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 1.0570655173009076, ""min_stop_pct"": 0.008525555665343652, ""max_hold"": 24, ""cooldown"": 18, ""session_start"": 13, ""session_end"": 23, ""weekday_mask"": 124, ""adx_min"": 33.46749012254804, ""rsi_long_min"": 38.84111268014742, ""rsi_long_max"": 60.6268915922492, ""volz_min"": -0.2861111688709107, ""body_min"": 0.3069023235841547, ""close_loc_min"": 0.6922466347381527, ""ret3_min"": 0.0032048458909804175, ""bb_min"": 0.37907473676743453, ""bb_max"": 0.8337582667297703, ""pull_idx"": 2, ""don_idx"": 1, ""score_need"": 6, ""weights"": [0, 0, 1, 3, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 3]}"
9,561.7376876099339,False,2.0,1.0,0.0,1.0,1.0,0.0,4.237687609933946,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 2.25, ""sl_atr"": 2.1568332560944734, ""min_stop_pct"": 0.00395942337215828, ""max_hold"": 48, ""cooldown"": 20, ""session_start"": 13, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 26.73613281475132, ""rsi_long_min"": 36.385540233196956, ""rsi_long_max"": 66.52257037619489, ""volz_min"": 0.25489099935709425, ""body_min"": 0.6010911917137581, ""close_loc_min"": 0.6811354701400524, ""ret3_min"": 0.0025658896682912, ""bb_min"": 0.41126139137211615, ""bb_max"": 0.9690521107682708, ""pull_idx"": 8, ""don_idx"": 1, ""score_need"": 9, ""weights"": [0, 0, 3, 1, 2, 3, 1, 1, 1, 2, 1, 3, 0, 1, 1, 0]}"
10,561.4349366174418,False,1.0,1.0,0.0,2.0,1.0,0.0,3.934936617441815,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.5, ""sl_atr"": 2.1901199940816802, ""min_stop_pct"": 0.005332409542615174, ""max_hold"": 36, ""cooldown"": 16, ""session_start"": 6, ""session_end"": 11, ""weekday_mask"": 30, ""adx_min"": 15.33897330417359, ""rsi_long_min"": 38.26273724977446, ""rsi_long_max"": 65.24671442609562, ""volz_min"": -0.7810653087849102, ""body_min"": 0.5870802808824561, ""close_loc_min"": 0.8262025187680457, ""ret3_min"": 0.0027493142413396645, ""bb_min"": 0.18443309629059645, ""bb_max"": 0.7570261184635876, ""pull_idx"": 7, ""don_idx"": 0, ""score_need"": 11, ""weights"": [2, 2, 2, 0, 1, 1, 3, 1, 2, 2, 3, 1, 2, 0, 2, 3]}"
