channel_id,channel_label,timeframe_minutes,strategy,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R,active_months,positive_months,positive_phases,best_10pct_removed_net_R,max_single_positive_month_share,research_candidate,benchmark_score
60m_range_reversal,1小时区间反转,60,range_reversal,260,94,166,0.36153846153846153,1.7118097153065803,1.161706766804143,1.473529951121634,0.8344085265387566,-31.933210050669125,38.02673960000595,-0.12282003865641972,-1.120090576332452,18,8,1,-81.22092644009966,0.23487191067576174,False,-83.15805554152055
60m_volatility_breakout,1小时波动突破,60,volatility_breakout,258,92,166,0.35658914728682173,1.6885465060087588,1.1602255655767104,1.4553605403182417,0.8065853596944472,-37.2511653329281,42.59103934705799,-0.1443843617555353,-1.1165915694061472,18,4,1,-86.47158699862501,0.3241962151314688,False,-94.01326422538843
60m_trend_pullback,1小时趋势回踩,60,trend_pullback,410,146,264,0.35609756097560974,1.6895698632090719,1.1059970874464662,1.5276440439006604,0.8448334485208198,-45.30603105734257,58.7673115985327,-0.11050251477400627,-1.092251118144803,18,6,0,-123.33673237763603,0.2604639299064559,False,-125.67931958589347
30m_volatility_breakout,30分钟波动突破,30,volatility_breakout,560,192,368,0.34285714285714286,1.6866077321411606,1.2280697636211166,1.3733810424319768,0.7165466308340749,-128.10098844146808,129.89646441845252,-0.22875176507405012,-1.1766542804707474,18,3,0,-231.68761281482386,0.7095776777209523,False,-289.97048531455886
30m_trend_pullback,30分钟趋势回踩,30,trend_pullback,784,280,504,0.35714285714285715,1.6340075337732538,1.1766076022461383,1.388744667851832,0.77152481547324,-135.48812207554258,137.42587828211387,-0.17281648223921248,-1.1315900764054247,18,3,0,-283.2485764994062,0.7595859343415249,False,-324.99221587990957
30m_range_reversal,30分钟区间反转,30,range_reversal,617,187,430,0.30307941653160453,1.5804722486836829,1.2421648176876663,1.2723530937108554,0.5533256477300698,-238.5825611018477,245.0918761047529,-0.3866816225313577,-1.18583574686305,18,1,0,-351.5375784767808,1.0,False,-503.41703515181774
15m_volatility_breakout,15分钟波动突破,15,volatility_breakout,1089,361,728,0.3314967860422406,1.5796652932992323,1.326502480702594,1.1908498598981498,0.5905175816253189,-395.4346350704657,398.16098317973297,-0.3631172039214561,-1.2554260334385936,18,0,0,-588.2949330549493,1.0,False,-832.1148169946537
15m_trend_pullback,15分钟趋势回踩,15,trend_pullback,1474,512,962,0.3473541383989145,1.5445319810429445,1.2555210682642792,1.2301920056014786,0.654738364727606,-417.0108933762491,420.8969373689038,-0.28291105385091525,-1.1889407310910096,18,1,0,-687.0533212511561,1.0,False,-909.6869379976993
15m_range_reversal,15分钟区间反转,15,range_reversal,1166,366,800,0.313893653516295,1.501549503295384,1.316210168213267,1.14081287286643,0.5219218893363917,-503.4010163645029,508.9889585871796,-0.4317332901925411,-1.2660398952994325,18,1,0,-709.4580227232158,1.0,False,-1040.1631189352613
1h_15m_5m_trend,1小时趋势＋15分钟结构＋5分钟执行,15,mtf_trend_pullback,2057,716,1341,0.34807972775887214,1.5285057520444207,1.2614935475980695,1.2116635514741652,0.64694340257681,-597.2527288652054,605.025941711281,-0.2903513509310673,-1.1915338265984308,18,1,0,-972.2008207245786,1.0,False,-1297.0525482324622
