channel_id,channel_label,family,profile,reward_risk_target,is_baseline,baseline_channel_id,trades,win_rate,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,delta_trades,delta_win_rate,delta_avg_win_loss_ratio,delta_profit_factor,delta_net_R,delta_max_drawdown_R,improves_win_rate,improves_avg_win_loss_ratio,improves_both_primary_goals
60m_trend_pullback_quality_rr3_0,1小时趋势回踩·质量过滤 RR3.0,trend_pullback,quality,3.0,False,60m_trend_baseline_rr2_0,56,0.39285714285714285,2.241763141446001,1.4505526209356479,17.006230641940142,5.56272171101273,-354,0.03675958188153311,0.7141190975453404,0.6057191724148281,62.312261699282715,-53.20458988751997,True,True,True
60m_trend_pullback_quality_rr2_5,1小时趋势回踩·质量过滤 RR2.5,trend_pullback,quality,2.5,False,60m_trend_baseline_rr2_0,57,0.40350877192982454,1.9610576473989534,1.3265978202992919,12.315016116294172,6.195208822679795,-353,0.0474112109542148,0.43341360349829294,0.4817643717784721,57.62104717363675,-52.572102775852905,True,True,True
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,False,60m_trend_baseline_rr2_0,32,0.34375,2.2472831839435106,1.1771483344466007,4.244725456803863,7.862713996513014,-378,-0.01234756097560974,0.7196391400428501,0.33231488592578096,49.550756514146435,-50.904597602019685,False,True,False
60m_trend_pullback_quality_rr2_0,1小时趋势回踩·质量过滤 RR2.0,trend_pullback,quality,2.0,False,60m_trend_baseline_rr2_0,57,0.40350877192982454,1.575019978277541,1.0654546911877485,2.4680984586042247,7.6949588226798005,-353,0.0474112109542148,0.04737593437688048,0.22062124266692873,47.7741295159468,-51.0723527758529,True,True,True
60m_trend_pullback_confirmation_rr2_5,1小时趋势回踩·二次确认 RR2.5,trend_pullback,confirmation,2.5,False,60m_trend_baseline_rr2_0,32,0.34375,2.022462834249904,1.0593852941309019,1.4229559117486899,7.862713996513014,-378,-0.01234756097560974,0.49481879034924336,0.21455184561008211,46.72898696909126,-50.904597602019685,False,True,False
60m_trend_pullback_confirmation_rr2_0,1小时趋势回踩·二次确认 RR2.0,trend_pullback,confirmation,2.0,False,60m_trend_baseline_rr2_0,32,0.375,1.5884200555156263,0.9530520333093758,-1.0752940882513133,7.5107104799092745,-378,0.01890243902439026,0.06077601161496582,0.10821858478855606,44.23073696909126,-51.25660111862342,True,True,True
60m_range_reversal_confirmation_rr2_0,1小时区间反转·二次确认 RR2.0,range_reversal,confirmation,2.0,False,60m_range_baseline_rr2_0,1,0.0,0.0,0.0,-1.134023180399876,1.134023180399876,-259,-0.36153846153846153,-1.473529951121634,-0.8344085265387566,30.79918687026925,-36.892716419606074,False,False,False
60m_range_reversal_confirmation_rr2_5,1小时区间反转·二次确认 RR2.5,range_reversal,confirmation,2.5,False,60m_range_baseline_rr2_0,1,0.0,0.0,0.0,-1.134023180399876,1.134023180399876,-259,-0.36153846153846153,-1.473529951121634,-0.8344085265387566,30.79918687026925,-36.892716419606074,False,False,False
60m_range_reversal_confirmation_rr3_0,1小时区间反转·二次确认 RR3.0,range_reversal,confirmation,3.0,False,60m_range_baseline_rr2_0,1,0.0,0.0,0.0,-1.134023180399876,1.134023180399876,-259,-0.36153846153846153,-1.473529951121634,-0.8344085265387566,30.79918687026925,-36.892716419606074,False,False,False
60m_range_baseline_rr2_0,1小时区间反转基线 RR2.0,range_reversal,baseline,2.0,True,60m_range_baseline_rr2_0,260,0.36153846153846153,1.473529951121634,0.8344085265387566,-31.933210050669125,38.02673960000595,0,0.0,0.0,0.0,0.0,0.0,False,False,False
60m_trend_baseline_rr2_0,1小时趋势回踩基线 RR2.0,trend_pullback,baseline,2.0,True,60m_trend_baseline_rr2_0,410,0.35609756097560974,1.5276440439006604,0.8448334485208198,-45.30603105734257,58.7673115985327,0,0.0,0.0,0.0,0.0,0.0,False,False,False
60m_range_reversal_quality_rr2_0,1小时区间反转·质量过滤 RR2.0,range_reversal,quality,2.0,False,60m_range_baseline_rr2_0,0,0.0,0.0,0.0,0.0,0.0,-260,-0.36153846153846153,-1.473529951121634,-0.8344085265387566,31.933210050669125,-38.02673960000595,False,False,False
60m_range_reversal_quality_rr2_5,1小时区间反转·质量过滤 RR2.5,range_reversal,quality,2.5,False,60m_range_baseline_rr2_0,0,0.0,0.0,0.0,0.0,0.0,-260,-0.36153846153846153,-1.473529951121634,-0.8344085265387566,31.933210050669125,-38.02673960000595,False,False,False
60m_range_reversal_quality_rr3_0,1小时区间反转·质量过滤 RR3.0,range_reversal,quality,3.0,False,60m_range_baseline_rr2_0,0,0.0,0.0,0.0,0.0,0.0,-260,-0.36153846153846153,-1.473529951121634,-0.8344085265387566,31.933210050669125,-38.02673960000595,False,False,False
