channel_id,channel_label,family,profile,reward_risk,stop_atr_multiple,max_holding_hours,is_baseline,signals,long_signals,short_signals
60m_trend_baseline_rr2_0,1小时趋势回踩基线 RR2.0,trend_pullback,baseline,2.0,1.2,24,True,693,322,371
60m_range_baseline_rr2_0,1小时区间反转基线 RR2.0,range_reversal,baseline,2.0,1.1,24,True,334,168,166
60m_trend_pullback_quality_rr2_0,1小时趋势回踩·质量过滤 RR2.0,trend_pullback,quality,2.0,1.25,36,False,60,28,32
60m_trend_pullback_quality_rr2_5,1小时趋势回踩·质量过滤 RR2.5,trend_pullback,quality,2.5,1.25,36,False,60,28,32
60m_trend_pullback_quality_rr3_0,1小时趋势回踩·质量过滤 RR3.0,trend_pullback,quality,3.0,1.25,36,False,60,28,32
60m_trend_pullback_confirmation_rr2_0,1小时趋势回踩·二次确认 RR2.0,trend_pullback,confirmation,2.0,1.15,48,False,32,13,19
60m_trend_pullback_confirmation_rr2_5,1小时趋势回踩·二次确认 RR2.5,trend_pullback,confirmation,2.5,1.15,48,False,32,13,19
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,48,False,32,13,19
60m_range_reversal_quality_rr2_0,1小时区间反转·质量过滤 RR2.0,range_reversal,quality,2.0,1.15,30,False,0,0,0
60m_range_reversal_quality_rr2_5,1小时区间反转·质量过滤 RR2.5,range_reversal,quality,2.5,1.15,30,False,0,0,0
60m_range_reversal_quality_rr3_0,1小时区间反转·质量过滤 RR3.0,range_reversal,quality,3.0,1.15,30,False,0,0,0
60m_range_reversal_confirmation_rr2_0,1小时区间反转·二次确认 RR2.0,range_reversal,confirmation,2.0,1.05,36,False,1,0,1
60m_range_reversal_confirmation_rr2_5,1小时区间反转·二次确认 RR2.5,range_reversal,confirmation,2.5,1.05,36,False,1,0,1
60m_range_reversal_confirmation_rr3_0,1小时区间反转·二次确认 RR3.0,range_reversal,confirmation,3.0,1.05,36,False,1,0,1
