channel_id,channel_label,family,profile,reward_risk_target,stop_atr_multiple,signal_time_utc,entry_time_utc,exit_time_utc,direction,entry_price,stop_price,target_price,exit_price,stop_distance,gross_r,fee_r,net_r,win,exit_reason,holding_5m_bars,signal_atr,signal_adx,signal_rsi,signal_plus_di,signal_minus_di,signal_ema_separation_atr,signal_ema_slope_3_atr,signal_volume_ratio,signal_clv,signal_channel_width_atr,month,phase,is_baseline
60m_range_baseline_rr2_0,1小时区间反转基线 RR2.0,range_reversal,baseline,2.0,1.1,2025-01-05T13:00:00+00:00,2025-01-05T13:00:00+00:00,2025-01-05T14:20:00+00:00,1,97720.3,97372.60371090032,98415.69257819936,97372.40371090033,347.69628909968117,-1.0005752146521723,0.280550454271557,-1.2811256689237291,False,STOP,16,316.08753554516466,17.244399107079364,43.91012599043155,18.358528643053226,21.168378925810714,0.7883882554431959,-0.3247805049887935,1.3409556023593219,0.49924887330995765,3.8827851844370613,2025-01,development,True
60m_range_baseline_rr2_0,1小时区间反转基线 RR2.0,range_reversal,baseline,2.0,1.1,2025-01-05T21:00:00+00:00,2025-01-05T21:00:00+00:00,2025-01-05T22:40:00+00:00,-1,98244.6,98672.56806054046,97388.66387891908,98672.76806054046,427.9680605404616,-1.000467324593663,0.23006082254346552,-1.2305281471371285,False,STOP,20,389.0618732186014,14.721418601461977,57.340882429464436,27.976593630257604,19.65677480038643,0.4599583372243234,0.10195966735564285,2.190069631016225,0.6312562384143873,3.2624630871676903,2025-01,development,True
60m_range_baseline_rr2_0,1小时区间反转基线 RR2.0,range_reversal,baseline,2.0,1.1,2025-01-05T23:00:00+00:00,2025-01-05T23:00:00+00:00,2025-01-06T02:10:00+00:00,-1,98660.90000000001,99086.4431746497,97809.81365070064,99086.6431746497,425.54317464968335,-1.0004699875639387,0.23234721522374305,-1.2328172027876818,False,STOP,38,386.8574314997121,15.68230327891308,64.82102136143403,28.79114993060049,17.045534531787947,0.5945493714903255,0.36878223593270876,1.0199387748135558,0.19700864688008765,3.775551097306742,2025-01,development,True
60m_range_baseline_rr2_0,1小时区间反转基线 RR2.0,range_reversal,baseline,2.0,1.1,2025-01-06T03:00:00+00:00,2025-01-06T03:00:00+00:00,2025-01-06T04:20:00+00:00,-1,98786.40000000001,99300.48535795424,97758.22928409155,99300.68535795424,514.0853579542277,-1.0003890404519518,0.19265972303337925,-1.193048763485331,False,STOP,16,467.35032541293424,16.8834910371129,62.72900512463549,26.336001684417678,16.195517461905517,0.6065315710572341,0.2752913995201321,3.3477840373633034,0.7283914010378101,3.478332872805177,2025-01,development,True
60m_range_baseline_rr2_0,1小时区间反转基线 RR2.0,range_reversal,baseline,2.0,1.1,2025-01-13T01:00:00+00:00,2025-01-13T01:00:00+00:00,2025-01-13T01:50:00+00:00,-1,95274.5,95817.80105489734,94187.89789020532,94188.09789020532,543.3010548973381,1.9996318799711672,0.17436244250069247,1.8252694374704748,True,TARGET,10,493.91004990667096,16.82917423307758,60.78636170052872,36.519092321352844,20.688675446789425,0.15986915820951192,0.018644564316211233,4.183672798413325,0.4306507408132631,3.609766596846714,2025-01,development,True
60m_range_baseline_rr2_0,1小时区间反转基线 RR2.0,range_reversal,baseline,2.0,1.1,2025-01-14T02:00:00+00:00,2025-01-14T02:00:00+00:00,2025-01-14T09:15:00+00:00,-1,94798.2,95803.63774070083,92787.32451859833,95803.83774070082,1005.4377407008338,-1.0001989183336728,0.0947855993588638,-1.0949845176925366,False,STOP,87,914.0343097280307,21.436759067353073,63.871501716145566,24.86148160783792,19.477454086614955,0.25168969148577475,0.467968480842971,0.40164262221722885,0.372830440587442,6.502053518941061,2025-01,development,True
60m_range_baseline_rr2_0,1小时区间反转基线 RR2.0,range_reversal,baseline,2.0,1.1,2025-01-20T00:00:00+00:00,2025-01-20T00:00:00+00:00,2025-01-20T00:40:00+00:00,1,101311.7,99854.16526085344,104226.7694782931,99853.96526085344,1457.5347391465561,-1.0001372179987422,0.06900887500583479,-1.069146093004577,False,STOP,8,1325.0315810423238,20.734179836254267,30.69171198429534,10.957042728827412,36.21370955032528,0.33951570163080125,-0.4573027722520315,5.734746662765579,0.45039473684210524,4.113109512237292,2025-01,development,True
60m_range_baseline_rr2_0,1小时区间反转基线 RR2.0,range_reversal,baseline,2.0,1.1,2025-01-22T15:00:00+00:00,2025-01-22T15:00:00+00:00,2025-01-22T16:45:00+00:00,1,104367.8,103316.89267421224,106469.61465157552,103316.69267421225,1050.907325787761,-1.0001903117383324,0.09881199206530024,-1.0990023038036327,False,STOP,21,955.3702961706917,17.50420435644008,44.33318876545781,12.564958072827185,26.071679833942543,0.2962158554016312,-0.18839656283875508,2.988573318260854,0.5784839203675345,3.617759536646177,2025-01,development,True
60m_range_baseline_rr2_0,1小时区间反转基线 RR2.0,range_reversal,baseline,2.0,1.1,2025-01-22T17:00:00+00:00,2025-01-22T17:00:00+00:00,2025-01-23T01:55:00+00:00,1,103671.8,102601.09939766259,105813.20120467481,102600.8993976626,1070.7006023374051,-1.000186793581294,0.09632604060712986,-1.0965128341884238,False,STOP,107,973.3641839430956,19.77807913036171,39.06396458390595,12.119274752144054,27.342317248625175,0.1450385417746981,-0.28550544440816295,1.927518506542617,0.47154721624115625,3.665637239235619,2025-01,development,True
60m_range_baseline_rr2_0,1小时区间反转基线 RR2.0,range_reversal,baseline,2.0,1.1,2025-01-26T05:00:00+00:00,2025-01-26T05:00:00+00:00,2025-01-26T23:05:00+00:00,-1,105136.8,105629.1616842321,104152.07663153583,104152.27663153583,492.3616842320855,1.9995937945489985,0.21253590940768943,1.787057885141309,True,TARGET,217,447.6015311200777,14.29553750450628,57.1512668690585,27.281073405145996,14.656013275202284,0.24513818796683998,0.11719212448477148,1.428941886790199,0.6494045470949045,2.7571398089541392,2025-01,development,True
