event_time_utc,direction,environment_leg_id,cycle_number,stage,reason,impulse_price,impulse_extreme,impulse_atr,retracement_atr,pullback_extreme,setup_id,confirmation_level
2025-01-09T20:00:00+00:00,-1,1,0,ENVIRONMENT_LEG_START,,,,,,,,
2025-01-13T09:00:00+00:00,-1,1,1,IMPULSE_QUALIFIED,,93010.0,92854.4,601.5236433904779,,,,
2025-01-13T16:00:00+00:00,-1,1,1,PULLBACK_QUALIFIED,,,88909.0,,4.247585833300975,93626.1,,
2025-01-13T22:00:00+00:00,-1,1,1,CYCLE_INVALIDATED,ONE_HOUR_STRUCTURE_BROKEN,,,,,,,
2025-01-15T08:00:00+00:00,1,2,0,ENVIRONMENT_LEG_START,,,,,,,,
2025-01-16T20:00:00+00:00,1,2,1,IMPULSE_QUALIFIED,,100382.0,100426.0,865.9215831819764,,,,
2025-01-16T23:00:00+00:00,1,2,1,PULLBACK_QUALIFIED,,,100599.8,,1.5582111108436956,99326.3,,
2025-01-17T06:00:00+00:00,1,2,1,CYCLE_EXPIRED,CONFIRMATION_NOT_FOUND_IN_TIME,,,,,,,
2025-01-19T07:00:00+00:00,1,2,2,IMPULSE_QUALIFIED,,105554.0,105629.4,744.2014831880141,,,,
2025-01-19T09:00:00+00:00,1,2,2,PULLBACK_QUALIFIED,,,105629.4,,1.7690791017246266,104310.7,,
2025-01-19T16:00:00+00:00,1,2,2,CYCLE_EXPIRED,CONFIRMATION_NOT_FOUND_IN_TIME,,,,,,,
2025-01-20T08:00:00+00:00,1,3,0,ENVIRONMENT_LEG_START,,,,,,,,
2025-01-21T20:00:00+00:00,1,4,0,ENVIRONMENT_LEG_START,,,,,,,,
2025-01-27T16:00:00+00:00,-1,5,0,ENVIRONMENT_LEG_START,,,,,,,,
2025-02-02T12:00:00+00:00,-1,6,0,ENVIRONMENT_LEG_START,,,,,,,,
2025-02-04T08:00:00+00:00,-1,7,0,ENVIRONMENT_LEG_START,,,,,,,,
2025-02-04T22:00:00+00:00,-1,7,1,IMPULSE_QUALIFIED,,96456.5,96351.0,1241.6817156403447,,,,
2025-02-05T01:00:00+00:00,-1,7,1,PULLBACK_QUALIFIED,,,96100.0,,1.874216149869411,98616.8,,
