setup_id,setup_time_utc,signal_time_utc,direction,environment_leg_id,cycle_number,channel_id,channel_label,entry_mode,direction_variant,management_mode,reward_risk,signal_emitted,trade_executed,net_R,win,exit_reason,entry_time_utc,exit_time_utc,mfe_R,mae_R
LEG0106-C01-20260410T0200,2026-04-10T02:00:00+00:00,2026-04-10T02:00:00+00:00,1,106,1,matrix_direct_1h_long_fixed_rr1_5,批量·1H确认直接成交·多头·固定 RR1.5,direct_1h,long,FIXED_STOP_TARGET,1.5,True,True,-1.0986589809770586,False,STOP,2026-04-10T02:00:00+00:00,2026-04-10T07:55:00+00:00,0.17933157428576502,1.0174461871365572
LEG0106-C02-20260411T1000,2026-04-11T10:00:00+00:00,2026-04-11T10:00:00+00:00,1,106,2,matrix_direct_1h_long_fixed_rr1_5,批量·1H确认直接成交·多头·固定 RR1.5,direct_1h,long,FIXED_STOP_TARGET,1.5,True,True,1.3288087791664964,True,TARGET,2026-04-11T10:00:00+00:00,2026-04-11T18:40:00+00:00,1.925896089758464,0.9852228512946528
LEG0107-C02-20260417T0000,2026-04-17T00:00:00+00:00,2026-04-17T00:00:00+00:00,1,107,2,matrix_direct_1h_long_fixed_rr1_5,批量·1H确认直接成交·多头·固定 RR1.5,direct_1h,long,FIXED_STOP_TARGET,1.5,True,True,1.390827107055761,True,TARGET,2026-04-17T00:00:00+00:00,2026-04-17T09:30:00+00:00,1.789605679289517,0.9027214488451546
LEG0106-C01-20260410T0200,2026-04-10T02:00:00+00:00,2026-04-10T02:00:00+00:00,1,106,1,matrix_direct_1h_long_fixed_rr2_0,批量·1H确认直接成交·多头·固定 RR2.0,direct_1h,long,FIXED_STOP_TARGET,2.0,True,True,-1.0986589809770586,False,STOP,2026-04-10T02:00:00+00:00,2026-04-10T07:55:00+00:00,0.17933157428576502,1.0174461871365572
LEG0106-C02-20260411T1000,2026-04-11T10:00:00+00:00,2026-04-11T10:00:00+00:00,1,106,2,matrix_direct_1h_long_fixed_rr2_0,批量·1H确认直接成交·多头·固定 RR2.0,direct_1h,long,FIXED_STOP_TARGET,2.0,True,True,1.8285587791665072,True,TARGET,2026-04-11T10:00:00+00:00,2026-04-11T19:10:00+00:00,2.0970972196945916,0.9852228512946528
LEG0107-C02-20260417T0000,2026-04-17T00:00:00+00:00,2026-04-17T00:00:00+00:00,1,107,2,matrix_direct_1h_long_fixed_rr2_0,批量·1H确认直接成交·多头·固定 RR2.0,direct_1h,long,FIXED_STOP_TARGET,2.0,True,True,1.890577107055759,True,TARGET,2026-04-17T00:00:00+00:00,2026-04-17T13:10:00+00:00,2.2200900703655955,0.9027214488451546
LEG0106-C01-20260410T0200,2026-04-10T02:00:00+00:00,2026-04-10T02:00:00+00:00,1,106,1,matrix_direct_1h_long_fixed_rr2_5,批量·1H确认直接成交·多头·固定 RR2.5,direct_1h,long,FIXED_STOP_TARGET,2.5,True,True,-1.0986589809770586,False,STOP,2026-04-10T02:00:00+00:00,2026-04-10T07:55:00+00:00,0.17933157428576502,1.0174461871365572
LEG0106-C02-20260411T1000,2026-04-11T10:00:00+00:00,2026-04-11T10:00:00+00:00,1,106,2,matrix_direct_1h_long_fixed_rr2_5,批量·1H确认直接成交·多头·固定 RR2.5,direct_1h,long,FIXED_STOP_TARGET,2.5,True,True,-1.16994122083349,False,STOP,2026-04-11T10:00:00+00:00,2026-04-12T01:40:00+00:00,2.0970972196945916,2.1955262072055883
LEG0107-C02-20260417T0000,2026-04-17T00:00:00+00:00,2026-04-17T00:00:00+00:00,1,107,2,matrix_direct_1h_long_fixed_rr2_5,批量·1H确认直接成交·多头·固定 RR2.5,direct_1h,long,FIXED_STOP_TARGET,2.5,True,True,2.3903271070557572,True,TARGET,2026-04-17T00:00:00+00:00,2026-04-17T13:15:00+00:00,2.5526716567822314,0.9027214488451546
LEG0092-C01-20260122T2200,2026-01-22T22:00:00+00:00,2026-01-22T22:00:00+00:00,-1,92,1,matrix_direct_1h_short_fixed_rr1_5,批量·1H确认直接成交·空头·固定 RR1.5,direct_1h,short,FIXED_STOP_TARGET,1.5,True,True,-1.1233666911894649,False,STOP,2026-01-22T22:00:00+00:00,2026-01-23T04:15:00+00:00,0.17381202673016674,1.133007092819735
