channel_id,channel_label,profile,entry_mode,direction_variant,management_mode,reward_risk,signals,long_signals,short_signals,unique_signal_times,unique_setup_ids
baseline_1h_shared_v10_6,基准·V10.6原1小时多空共享组合 RR2.5,baseline_1h_shared_v10_6,baseline_v10_6,shared,V10_6_FROZEN,2.5,10,7,3,10,10
matrix_direct_1h_long_fixed_rr1_5,批量·1H确认直接成交·多头·固定 RR1.5,matrix_direct_1h_long_fixed,direct_1h,long,FIXED_STOP_TARGET,1.5,3,3,0,3,3
matrix_direct_1h_long_fixed_rr2_0,批量·1H确认直接成交·多头·固定 RR2.0,matrix_direct_1h_long_fixed,direct_1h,long,FIXED_STOP_TARGET,2.0,3,3,0,3,3
matrix_direct_1h_long_fixed_rr2_5,批量·1H确认直接成交·多头·固定 RR2.5,matrix_direct_1h_long_fixed,direct_1h,long,FIXED_STOP_TARGET,2.5,3,3,0,3,3
matrix_direct_1h_short_fixed_rr1_5,批量·1H确认直接成交·空头·固定 RR1.5,matrix_direct_1h_short_fixed,direct_1h,short,FIXED_STOP_TARGET,1.5,3,0,3,3,3
matrix_direct_1h_short_fixed_rr2_0,批量·1H确认直接成交·空头·固定 RR2.0,matrix_direct_1h_short_fixed,direct_1h,short,FIXED_STOP_TARGET,2.0,3,0,3,3,3
matrix_direct_1h_short_fixed_rr2_5,批量·1H确认直接成交·空头·固定 RR2.5,matrix_direct_1h_short_fixed,direct_1h,short,FIXED_STOP_TARGET,2.5,3,0,3,3,3
matrix_direct_1h_shared_fixed_rr1_5,批量·1H确认直接成交·多空共享·固定 RR1.5,matrix_direct_1h_shared_fixed,direct_1h,shared,FIXED_STOP_TARGET,1.5,6,3,3,6,6
matrix_direct_1h_shared_fixed_rr2_0,批量·1H确认直接成交·多空共享·固定 RR2.0,matrix_direct_1h_shared_fixed,direct_1h,shared,FIXED_STOP_TARGET,2.0,6,3,3,6,6
matrix_direct_1h_shared_fixed_rr2_5,批量·1H确认直接成交·多空共享·固定 RR2.5,matrix_direct_1h_shared_fixed,direct_1h,shared,FIXED_STOP_TARGET,2.5,6,3,3,6,6
matrix_local_break_15m_long_fixed_rr1_5,批量·15M局部突破·多头·固定 RR1.5,matrix_local_break_15m_long_fixed,local_break_15m,long,FIXED_STOP_TARGET,1.5,2,2,0,2,2
matrix_local_break_15m_long_fixed_rr2_0,批量·15M局部突破·多头·固定 RR2.0,matrix_local_break_15m_long_fixed,local_break_15m,long,FIXED_STOP_TARGET,2.0,2,2,0,2,2
matrix_local_break_15m_long_fixed_rr2_5,批量·15M局部突破·多头·固定 RR2.5,matrix_local_break_15m_long_fixed,local_break_15m,long,FIXED_STOP_TARGET,2.5,2,2,0,2,2
matrix_local_break_15m_short_fixed_rr1_5,批量·15M局部突破·空头·固定 RR1.5,matrix_local_break_15m_short_fixed,local_break_15m,short,FIXED_STOP_TARGET,1.5,0,0,0,0,0
matrix_local_break_15m_short_fixed_rr2_0,批量·15M局部突破·空头·固定 RR2.0,matrix_local_break_15m_short_fixed,local_break_15m,short,FIXED_STOP_TARGET,2.0,0,0,0,0,0
