channel_id,channel_label,setup_type,trigger_type,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
baseline_1h_shared_v10_6,基准·V10.6原1小时多空共享组合 RR2.5,V10_6_FROZEN_1H,DIRECT_1H_CLOSE,9,6,3,0.6666666666666666,2.0891149352430385,1.128264463625512,1.8516181290776232,3.703236258155246,9.149896220581692,3.3847933908765366,1.016655135620188,2.1681856360704774
matrix_direct_1h_long_be1_rr2_0,影子·1H确认直接成交·多头·1R后保本 RR2.0,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,3,1,2,0.3333333333333333,1.8285587791665072,0.6035409369606461,3.029717898465831,1.5148589492329154,0.6214769052452149,1.0986589809770586,0.20715896841507164,-0.10842289294423371
matrix_direct_1h_long_fixed_rr1_5,批量·1H确认直接成交·多头·固定 RR1.5,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,3,2,1,0.6666666666666666,1.3598179431111288,1.0986589809770586,1.2377070288924563,2.4754140577849126,1.6209769052451988,1.0986589809770586,0.5403256350817329,1.3288087791664964
matrix_direct_1h_long_fixed_rr2_0,批量·1H确认直接成交·多头·固定 RR2.0,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,3,2,1,0.6666666666666666,1.8595679431111332,1.0986589809770586,1.6925797497758437,3.3851594995516874,2.6204769052452077,1.0986589809770586,0.8734923017484025,1.8285587791665072
matrix_direct_1h_long_fixed_rr2_5,批量·1H确认直接成交·多头·固定 RR2.5,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,3,1,2,0.3333333333333333,2.3903271070557572,1.1343001009052744,2.1073145503099746,1.0536572751549873,0.12172690524520835,2.268600201810549,0.04057563508173612,-1.0986589809770586
matrix_direct_1h_shared_fixed_rr1_5,批量·1H确认直接成交·多空共享·固定 RR1.5,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,6,2,4,0.3333333333333333,1.3598179431111288,1.1331620930162691,1.20002067796986,0.60001033898493,-1.8130124858428194,2.310622699898553,-0.3021687476404699,-1.1110128360832618
matrix_direct_1h_shared_fixed_rr2_0,批量·1H确认直接成交·多空共享·固定 RR2.0,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,6,2,4,0.3333333333333333,1.8595679431111332,1.1331620930162691,1.6410431963544643,0.8205215981772321,-0.8135124858428104,2.310622699898553,-0.13558541430713508,-1.1110128360832618
matrix_direct_1h_shared_fixed_rr2_5,批量·1H确认直接成交·多空共享·固定 RR2.5,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,6,1,5,0.16666666666666666,2.3903271070557572,1.1405179185797132,2.0958259998513933,0.4191651999702786,-3.312262485842809,3.3919668930000135,-0.5520437476404682,-1.132145690777322
matrix_direct_1h_short_be1_rr2_0,影子·1H确认直接成交·空头·1R后保本 RR2.0,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,3,0,3,0.0,0.0,1.1446631303626724,0.0,0.0,-3.4339893910880175,3.4339893910880175,-1.1446631303626724,-1.1409246903651793
matrix_direct_1h_short_fixed_rr1_5,批量·1H确认直接成交·空头·固定 RR1.5,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,3,0,3,0.0,0.0,1.1446631303626724,0.0,0.0,-3.4339893910880175,3.4339893910880175,-1.1446631303626724,-1.1409246903651793
