channel_id,channel_label,source_component_id,source_component_label,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
60m_long_extension_adx_cap_rr2_5,多头独立策略·延伸保护+ADX上限 RR2.5,60m_long_extension_adx_cap_rr2_5,多头独立策略·延伸保护+ADX上限 RR2.5,15,8,7,0.5333333333333333,2.140174693817688,1.121293945970409,1.908665164481471,2.1813316165502523,9.27233992874864,3.315568851439348,0.6181559952499093,1.2448320277977196
60m_long_extension_guard_rr2_5,多头独立策略·回踩延伸保护 RR2.5,60m_long_extension_guard_rr2_5,多头独立策略·回踩延伸保护 RR2.5,20,9,11,0.45,1.9379862158621575,1.1224574360715522,1.7265565299694967,1.4126371608841337,5.094844145972342,4.580114706525869,0.2547422072986171,-1.0927678207719325
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,27,12,15,0.4444444444444444,2.0298134406645576,1.1324165431662498,1.7924618400479877,1.43396947203839,7.371513140480937,3.427843249085159,0.27301900520299766,-1.0887781067471263
60m_short_persistence_adx_relax_rr2_5,空头独立策略·仅放宽ADX衰减 RR2.5,60m_short_persistence_adx_relax_rr2_5,空头独立策略·仅放宽ADX衰减 RR2.5,8,5,3,0.625,2.3560871086300947,1.107248565139182,2.127875513059647,3.5464591884327454,8.458689847732927,1.1229131643302268,1.0573362309666159,2.3070487153152204
60m_short_persistence_age_relax_rr2_5,空头独立策略·仅放宽趋势年龄 RR2.5,60m_short_persistence_age_relax_rr2_5,空头独立策略·仅放宽趋势年龄 RR2.5,7,4,3,0.5714285714285714,2.3470141636585233,1.107248565139182,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.8666158513166496,2.240169625334335
60m_short_persistence_baseline_rr2_5,空头冻结基线·趋势持续性 RR2.5,60m_short_persistence_baseline_rr2_5,空头冻结基线·趋势持续性 RR2.5,7,4,3,0.5714285714285714,2.3470141636585233,1.107248565139182,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.8666158513166496,2.240169625334335
60m_short_persistence_slope_relax_rr2_5,空头独立策略·仅放宽EMA50斜率 RR2.5,60m_short_persistence_slope_relax_rr2_5,空头独立策略·仅放宽EMA50斜率 RR2.5,7,4,3,0.5714285714285714,2.3470141636585233,1.107248565139182,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.8666158513166496,2.240169625334335
60m_split_portfolio_frozen,多空分离组合·冻结基线,60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,27,12,15,0.4444444444444444,2.0298134406645576,1.1324165431662498,1.7924618400479877,1.43396947203839,7.371513140480937,3.427843249085159,0.27301900520299766,-1.0887781067471263
60m_split_portfolio_frozen,多空分离组合·冻结基线,60m_short_persistence_baseline_rr2_5,空头冻结基线·趋势持续性 RR2.5,7,4,3,0.5714285714285714,2.3470141636585233,1.107248565139182,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.8666158513166496,2.240169625334335
60m_split_portfolio_long_extension,多空分离组合·仅优化多头延伸保护,60m_long_extension_guard_rr2_5,多头独立策略·回踩延伸保护 RR2.5,20,9,11,0.45,1.9379862158621575,1.1224574360715522,1.7265565299694967,1.4126371608841337,5.094844145972342,4.580114706525869,0.2547422072986171,-1.0927678207719325
