channel_id,channel_label,timeframe_minutes,profile,direction_scope,is_portfolio,is_baseline,configured_stop_atr_multiple,configured_reward_risk,configured_max_holding_hours,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R,active_months,positive_months,positive_phases,positive_rolling_quarters,worst_rolling_quarter_net_R,historical_test_trades,historical_test_win_rate,historical_test_profit_factor,historical_test_net_R,best_10pct_removed_net_R,max_single_positive_month_share,research_candidate,benchmark_score
60m_split_portfolio_interaction_45,多空交互组合·多ADX45/空ADX-4,60,split_portfolio_interaction_45,BOTH,True,False,,,,23,13,10,0.5652173913043478,2.2232179302839983,1.117080331721041,1.990204166300892,2.5872654161911597,17.731029776481567,4.438482015769575,0.7709143381078942,2.1360659878568113,14,10,3,13,-2.195256453123588,4,0.75,5.142515899763013,4.543335526080376,10.533668977905593,0.18421323597926276,False,86.17022349531162
60m_split_portfolio_interaction_47_5,多空交互组合·多ADX47.5/空ADX-4,60,split_portfolio_interaction_47_5,BOTH,True,False,,,,24,13,11,0.5416666666666666,2.2232179302839983,1.1201852401440293,1.9846877557484555,2.3455400749754474,16.57979545210766,4.498762234938208,0.6908248105044859,1.6904490078272656,14,10,3,12,-3.3464907774974977,4,0.75,5.142515899763013,4.543335526080376,9.382434653531682,0.18421323597926276,False,80.67090791770337
60m_split_portfolio_interaction_50,多空交互组合·多ADX50/空ADX-4,60,split_portfolio_interaction_50,BOTH,True,False,,,,24,13,11,0.5416666666666666,2.2232179302839983,1.1201852401440293,1.9846877557484555,2.3455400749754474,16.57979545210766,4.498762234938208,0.6908248105044859,1.6904490078272656,14,10,3,12,-3.3464907774974977,4,0.75,5.142515899763013,4.543335526080376,9.382434653531682,0.18421323597926276,False,80.67090791770337
60m_split_portfolio_v104_leader,多空组合冻结基线·多ADX45/空原始,60,split_portfolio_v104_leader,BOTH,True,True,,,,22,12,10,0.5454545454545454,2.2091211837646334,1.117080331721041,1.9775848889588172,2.3731018667505803,15.338650887965187,4.438482015769575,0.6972114039984176,1.6904490078272656,13,9,3,12,-2.195256453123588,4,0.75,5.142515899763013,4.543335526080376,8.154167141728674,0.20420191612612587,False,78.87909036515461
60m_split_portfolio_long47_reference,多空对照组合·多ADX47.5/空原始,60,split_portfolio_long47_reference,BOTH,True,False,,,,23,12,11,0.5217391304347826,2.2091211837646334,1.1201852401440293,1.9721034562824562,2.1513855886717703,14.187416563591277,4.498762234938208,0.6168441984170121,1.2448320277977196,13,9,2,11,-3.3464907774974977,4,0.75,5.142515899763013,4.543335526080376,7.002932817354762,0.20420191612612587,False,72.6539487918729
60m_split_portfolio_long50_reference,多空对照组合·多ADX50/空原始,60,split_portfolio_long50_reference,BOTH,True,False,,,,23,12,11,0.5217391304347826,2.2091211837646334,1.1201852401440293,1.9721034562824562,2.1513855886717703,14.187416563591277,4.498762234938208,0.6168441984170121,1.2448320277977196,13,9,2,11,-3.3464907774974977,4,0.75,5.142515899763013,4.543335526080376,7.002932817354762,0.20420191612612587,False,72.6539487918729
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,60,long_extension_adx45,LONG,False,True,1.25,2.5,36.0,15,8,7,0.5333333333333333,2.140174693817688,1.121293945970409,1.908665164481471,2.1813316165502523,9.27233992874864,3.315568851439348,0.6181559952499093,1.2448320277977196,10,6,2,11,-1.1522714574407105,4,0.75,5.142515899763013,4.543335526080376,4.483487959363781,0.3207628666382164,False,66.34274066689785
60m_short_persistence_adx_relax_frozen_rr2_5,空头冻结优化·ADX衰减≥-4 RR2.5,60,short_persistence_adx_relax_frozen,SHORT,False,False,1.25,2.5,48.0,8,5,3,0.625,2.3560871086300947,1.107248565139182,2.127875513059647,3.5464591884327454,8.458689847732927,1.1229131643302268,1.0573362309666159,2.3070487153152204,8,5,2,10,-1.1229131643302268,0,0.0,0.0,0.0,6.0642324599061945,0.20325711889480583,False,64.04466071583698
60m_long_extension_adx47_5_rr2_5,多头独立策略·延伸保护+ADX≤47.5 RR2.5,60,long_extension_adx47_5,LONG,False,False,1.25,2.5,36.0,16,8,8,0.5,2.140174693817688,1.1250364932708468,1.9023157974151619,1.9023157974151619,8.121105604374732,3.4226750579970253,0.5075691002734207,0.07403724650049048,11,6,2,11,-2.3035057818146205,4,0.75,5.142515899763013,4.543335526080376,3.33225363498987,0.3207628666382164,False,60.64586116676855
60m_long_extension_adx50_rr2_5,多头独立策略·延伸保护+ADX≤50 RR2.5,60,long_extension_adx50,LONG,False,False,1.25,2.5,36.0,16,8,8,0.5,2.140174693817688,1.1250364932708468,1.9023157974151619,1.9023157974151619,8.121105604374732,3.4226750579970253,0.5075691002734207,0.07403724650049048,11,6,2,11,-2.3035057818146205,4,0.75,5.142515899763013,4.543335526080376,3.33225363498987,0.3207628666382164,False,60.64586116676855
60m_short_persistence_reference_rr2_5,空头冻结参考·趋势持续性 RR2.5,60,short_persistence_reference,SHORT,False,True,1.25,2.5,48.0,7,4,3,0.5714285714285714,2.3470141636585233,1.107248565139182,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.8666158513166496,2.240169625334335,7,4,2,9,-1.1229131643302268,0,0.0,0.0,0.0,3.671853571389814,0.25505357241797116,False,52.787139488838896
