channel_id,channel_label,loss_class,trades,avg_net_R,avg_mfe_R,avg_mae_R,median_holding_bars,share_of_channel_losses
baseline_1h_shared_v10_6,基准·V10.6原1小时多空共享组合 RR2.5,FAST_REVERSAL_LE_2H,2,-1.1440179280398985,0.11175357886823167,1.08773133617339,11.5,0.6666666666666666
baseline_1h_shared_v10_6,基准·V10.6原1小时多空共享组合 RR2.5,GAVE_BACK_0_5_TO_1R,1,-1.0967575347967387,0.8972594395939735,1.1303509500617248,110.0,0.3333333333333333
mtf_4h_1h_15m_precision_rr2_0,实验B·4H趋势+1H确认+15M精确成交 RR2.0,FAST_REVERSAL_LE_2H,15,-1.1164649790001977,0.23500471608543105,1.1371557364862432,15.0,0.234375
mtf_4h_1h_15m_precision_rr2_0,实验B·4H趋势+1H确认+15M精确成交 RR2.0,GAVE_BACK_0_5_TO_1R,12,-1.1417035859976685,0.7440803342752611,1.1516748696372379,60.0,0.1875
mtf_4h_1h_15m_precision_rr2_0,实验B·4H趋势+1H确认+15M精确成交 RR2.0,GAVE_BACK_AT_LEAST_1R,17,-1.1147047059640585,1.3760932019671606,1.2032501665335693,177.0,0.265625
mtf_4h_1h_15m_precision_rr2_0,实验B·4H趋势+1H确认+15M精确成交 RR2.0,NORMAL_FAILED_SETUP,20,-1.129829548340191,0.22976960402424776,1.1234871472377042,47.5,0.3125
mtf_4h_1h_direct_rr2_0,实验A·4H趋势+1H回踩/突破直接成交 RR2.0,FAST_REVERSAL_LE_2H,15,-1.1168863662831519,0.1890919634919306,1.318497968170696,14.0,0.20270270270270271
mtf_4h_1h_direct_rr2_0,实验A·4H趋势+1H回踩/突破直接成交 RR2.0,GAVE_BACK_0_5_TO_1R,9,-1.1152351109750573,0.7126223715233595,1.4507239168717252,99.0,0.12162162162162163
mtf_4h_1h_direct_rr2_0,实验A·4H趋势+1H回踩/突破直接成交 RR2.0,GAVE_BACK_AT_LEAST_1R,22,-1.1203337199302406,1.402047207901347,1.1391748680315095,87.5,0.2972972972972973
mtf_4h_1h_direct_rr2_0,实验A·4H趋势+1H回踩/突破直接成交 RR2.0,NORMAL_FAILED_SETUP,28,-1.1063482162902643,0.2635476379570469,1.1966550566942644,64.0,0.3783783783783784
