rank,score_train_only,diagnostic_qualified,family,direction,may_trades,may_win_rate,may_ratio,june_trades,june_win_rate,june_ratio,total_net_R,may_max_drawdown_R,first_half_trades,first_half_win_rate,first_half_ratio,first_half_net_R,second_half_trades,second_half_win_rate,second_half_ratio,second_half_net_R,config
1,1387.2816244685075,False,三结构组合,双向,17.0,0.7058823529411765,1.3415244497334498,11.0,0.36363636363636365,1.2365803538617013,11.227470118314189,2.4526257375528573,5.0,0.8,1.5372195160107962,6.313849274722433,12.0,0.6666666666666666,1.2428962222363267,7.272349492257373,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.6, ""sl_atr"": 1.996776852145633, ""min_stop_pct"": 0.004440550952642681, ""max_hold"": 432, ""cooldown"": 44, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""htf_mode"": 1, ""adx_min"": 31.702484391047435, ""rsi_long_min"": 53.09921142405105, ""rsi_long_max"": 72.966706427419, ""relvol_min"": 0.7794836546459069, ""body_min"": 0.5945166622172338, ""close_loc_min"": 0.6436832173445245, ""wick_min"": 0.5257886499571789, ""eff_min"": 0.34764577768641025, ""chop_max"": 56.280755276859104, ""atr_rank_min"": 0.6048390580234709, ""vwap_dev_max"": 2.101731115922903, ""pull_idx"": 1, ""sweep_idx"": 0, ""retest_idx"": 15, ""trail_trigger"": 1.7172736314927748, ""trail_lock"": 1.622368919804399}"
2,1292.7196345536029,False,三结构组合,双向,16.0,0.6875,1.3389904945666753,14.0,0.42857142857142855,1.4497683312755651,12.649463823233305,2.429134870239129,6.0,0.6666666666666666,1.250617620831812,3.6467028739569747,10.0,0.7,1.3894688171306202,8.17083910425243,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.0, ""sl_atr"": 2.256703971003817, ""min_stop_pct"": 0.004672168567220459, ""max_hold"": 216, ""cooldown"": 37, ""session_start"": 3, ""session_end"": 13, ""weekday_mask"": 127, ""htf_mode"": 0, ""adx_min"": 30.71606890787581, ""rsi_long_min"": 45.439372792850584, ""rsi_long_max"": 70.78370347281971, ""relvol_min"": 1.1616942781271342, ""body_min"": 0.2518216112704863, ""close_loc_min"": 0.7069307204215113, ""wick_min"": 0.35598253006046876, ""eff_min"": 0.1780303455614702, ""chop_max"": 51.1122619721951, ""atr_rank_min"": 0.5965438110248462, ""vwap_dev_max"": 2.6502532934946847, ""pull_idx"": 3, ""sweep_idx"": 0, ""retest_idx"": 11, ""trail_trigger"": 1.814810560412685, ""trail_lock"": 1.6447534819164487}"
3,1191.5987247405765,False,三结构组合,双向,16.0,0.625,1.5061577935666717,19.0,0.47368421052631576,1.4704555709755405,15.369806065155256,2.5204628583161144,6.0,0.6666666666666666,1.4338477554159084,4.705483403946218,10.0,0.6,1.5538933168022682,6.6794380398470325,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 2.0658409712457875, ""min_stop_pct"": 0.003860131167603186, ""max_hold"": 288, ""cooldown"": 49, ""session_start"": 3, ""session_end"": 15, ""weekday_mask"": 127, ""htf_mode"": 1, ""adx_min"": 17.89120357193562, ""rsi_long_min"": 51.993101521302435, ""rsi_long_max"": 73.97684261433032, ""relvol_min"": 1.49796517225162, ""body_min"": 0.323800349803581, ""close_loc_min"": 0.6894255673269398, ""wick_min"": 0.3746879463708477, ""eff_min"": 0.2471685388137706, ""chop_max"": 59.1315906937844, ""atr_rank_min"": 0.5160775123196584, ""vwap_dev_max"": 2.7630546534450113, ""pull_idx"": 1, ""sweep_idx"": 2, ""retest_idx"": 2, ""trail_trigger"": 1.9198173267322012, ""trail_lock"": 1.66561627249776}"
4,1111.7852906456035,False,三结构组合,双向,22.0,0.6363636363636364,1.3786526420859089,27.0,0.37037037037037035,1.365452246599428,9.929948192849295,2.4770545291588,8.0,0.625,1.345052844866423,4.614369508137754,14.0,0.6428571428571429,1.397872846561367,9.299781398780947,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.0, ""sl_atr"": 2.2678620236756486, ""min_stop_pct"": 0.004203246030883624, ""max_hold"": 432, ""cooldown"": 6, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""htf_mode"": 2, ""adx_min"": 32.98992302656194, ""rsi_long_min"": 51.76207145332899, ""rsi_long_max"": 73.23920673896767, ""relvol_min"": 0.8892097326561059, ""body_min"": 0.5144387791357138, ""close_loc_min"": 0.8341235573060484, ""wick_min"": 0.42600381636574375, ""eff_min"": 0.2976222523611772, ""chop_max"": 52.717299762547704, ""atr_rank_min"": 0.3438615272945177, ""vwap_dev_max"": 2.361964380514754, ""pull_idx"": 6, ""sweep_idx"": 0, ""retest_idx"": 16, ""trail_trigger"": 1.8160363728136404, ""trail_lock"": 1.7618130466465316}"
5,1052.2381336861572,False,扫单反转+突破回踩,双向,15.0,0.6,1.5470979410899148,21.0,0.2857142857142857,1.527983879049131,2.375350094616778,2.27038534327266,5.0,0.6,1.4682225473358035,2.7284744416998343,10.0,0.6,1.5865347551435631,6.262552154619008,"{""family_mask"": 6, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 1.6119493746617708, ""min_stop_pct"": 0.0074446474903715944, ""max_hold"": 432, ""cooldown"": 39, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""htf_mode"": 1, ""adx_min"": 21.247706975339135, ""rsi_long_min"": 42.13120735527505, ""rsi_long_max"": 73.1912908287928, ""relvol_min"": 0.9019925273429646, ""body_min"": 0.3684604975449666, ""close_loc_min"": 0.7748762687607001, ""wick_min"": 0.34336573464764286, ""eff_min"": 0.21956423474496206, ""chop_max"": 58.97291517593547, ""atr_rank_min"": 0.7241021672720084, ""vwap_dev_max"": 1.7719355324511756, ""pull_idx"": 3, ""sweep_idx"": 0, ""retest_idx"": 5, ""trail_trigger"": 1.8657939550342324, ""trail_lock"": 1.8008859978693617}"
6,997.986178749913,False,三结构组合,双向,16.0,0.6875,1.4631719913888315,7.0,0.2857142857142857,1.595346935176219,11.551601333067039,4.670443514716168,8.0,0.5,1.2155434802274345,1.0641962341311297,8.0,0.875,1.604186355091381,12.63158856061582,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.4, ""sl_atr"": 2.1349972703101536, ""min_stop_pct"": 0.004278310029331316, ""max_hold"": 288, ""cooldown"": 27, ""session_start"": 3, ""session_end"": 14, ""weekday_mask"": 127, ""htf_mode"": 2, ""adx_min"": 28.282742339153394, ""rsi_long_min"": 43.07070988969259, ""rsi_long_max"": 73.39340028671872, ""relvol_min"": 1.2409395679255235, ""body_min"": 0.4718731124774629, ""close_loc_min"": 0.8581420202908989, ""wick_min"": 0.2768965677446195, ""eff_min"": 0.23885892187035118, ""chop_max"": 53.9098132531075, ""atr_rank_min"": 0.29373425440704926, ""vwap_dev_max"": 2.5369571201217838, ""pull_idx"": 0, ""sweep_idx"": 0, ""retest_idx"": 9, ""trail_trigger"": 1.826928689350097, ""trail_lock"": 1.7351145918863382}"
7,908.1989695298565,False,三结构组合,双向,18.0,0.6111111111111112,1.377345652338676,16.0,0.3125,1.5281601882538525,6.436572021374605,3.854695686417079,5.0,0.6,1.4261867594669198,2.977395401993596,13.0,0.6153846153846154,1.3590936856424556,7.597167877986902,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.4, ""sl_atr"": 1.7626682025427134, ""min_stop_pct"": 0.003268592959624241, ""max_hold"": 576, ""cooldown"": 42, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""htf_mode"": 1, ""adx_min"": 26.251099381650064, ""rsi_long_min"": 49.044757808392426, ""rsi_long_max"": 73.9368236080105, ""relvol_min"": 0.7524160426981037, ""body_min"": 0.2675857271847272, ""close_loc_min"": 0.6937700226648605, ""wick_min"": 0.5131639039326461, ""eff_min"": 0.3013923608812811, ""chop_max"": 61.94887784508863, ""atr_rank_min"": 0.4663587773357405, ""vwap_dev_max"": 2.2470491074111907, ""pull_idx"": 7, ""sweep_idx"": 0, ""retest_idx"": 1, ""trail_trigger"": 2.0573659677610987, ""trail_lock"": 1.7117382364686393}"
8,907.7528508836768,False,三结构组合,双向,18.0,0.6111111111111112,1.381145689054212,17.0,0.29411764705882354,1.3123388488917065,3.430729238164669,2.4526633915593408,8.0,0.625,1.3013961825218028,4.299355834396288,10.0,0.6,1.4476035419170026,5.74487806281493,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.0, ""sl_atr"": 1.0393097833298477, ""min_stop_pct"": 0.004440180755417586, ""max_hold"": 576, ""cooldown"": 32, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""htf_mode"": 2, ""adx_min"": 32.78413994741961, ""rsi_long_min"": 50.80632005839368, ""rsi_long_max"": 71.6043381227822, ""relvol_min"": 1.5954801874118596, ""body_min"": 0.34940857780526785, ""close_loc_min"": 0.7901581326863781, ""wick_min"": 0.37534246416953565, ""eff_min"": 0.20979678896375814, ""chop_max"": 49.81764951614675, ""atr_rank_min"": 0.7499915846128485, ""vwap_dev_max"": 2.7277293663755424, ""pull_idx"": 4, ""sweep_idx"": 1, ""retest_idx"": 16, ""trail_trigger"": 1.7152666752528503, ""trail_lock"": 1.5532954214929688}"
9,893.1588383583307,False,趋势回踩+流动性扫单,双向,15.0,0.6,1.417498453087502,14.0,0.14285714285714285,1.8291927571741664,-1.9219114300084192,2.42579871499548,5.0,0.6,1.422149031798482,2.7477259444807345,10.0,0.6,1.4151737066288907,5.445984199185243,"{""family_mask"": 3, ""direction"": 0, ""rr"": 2.6, ""sl_atr"": 1.3593765449414508, ""min_stop_pct"": 0.004720935823367011, ""max_hold"": 216, ""cooldown"": 31, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""htf_mode"": 0, ""adx_min"": 21.57771254851047, ""rsi_long_min"": 45.65247501714094, ""rsi_long_max"": 60.21097450875455, ""relvol_min"": 0.8959139402897982, ""body_min"": 0.667481736261728, ""close_loc_min"": 0.5823895669504087, ""wick_min"": 0.2901670629799728, ""eff_min"": 0.17639911642548997, ""chop_max"": 46.273133827843715, ""atr_rank_min"": 0.5208163343467304, ""vwap_dev_max"": 2.411751019012167, ""pull_idx"": 8, ""sweep_idx"": 0, ""retest_idx"": 0, ""trail_trigger"": 2.302643381547121, ""trail_lock"": 2.234578526427164}"
10,864.2853092229693,False,三结构组合,双向,17.0,0.6470588235294118,1.4936743377209358,15.0,0.26666666666666666,1.6001264701025468,7.298641433096633,2.440806799043747,6.0,0.5,1.4619906851381927,1.690439132485632,11.0,0.7272727272727273,1.5054060970097871,11.033296986530154,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 2.219166764602341, ""min_stop_pct"": 0.004559891156677901, ""max_hold"": 288, ""cooldown"": 46, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""htf_mode"": 1, ""adx_min"": 19.407687577735707, ""rsi_long_min"": 50.081681820166445, ""rsi_long_max"": 73.65843400624374, ""relvol_min"": 0.923890596148653, ""body_min"": 0.49326567040505837, ""close_loc_min"": 0.6339924185834768, ""wick_min"": 0.6434562892680932, ""eff_min"": 0.340132404359641, ""chop_max"": 55.33623099207344, ""atr_rank_min"": 0.19659750787239474, ""vwap_dev_max"": 2.812007521794996, ""pull_idx"": 5, ""sweep_idx"": 0, ""retest_idx"": 11, ""trail_trigger"": 2.0595835900685504, ""trail_lock"": 1.6098067339985958}"
