rank,aggregate_score,rr,sl_atr,min_stop_pct,max_hold,breakeven_trigger,breakeven_lock,early_bars,early_cut_r,candidate_target,cooldown,direction,edge_margin,regime_mask,setup_mask,2025-12_trades,2025-12_wins,2025-12_win_rate,2025-12_avg_win_R,2025-12_avg_loss_R,2025-12_avg_win_loss_ratio,2025-12_profit_factor,2025-12_net_R,2025-12_max_drawdown_R,2026-01_trades,2026-01_wins,2026-01_win_rate,2026-01_avg_win_R,2026-01_avg_loss_R,2026-01_avg_win_loss_ratio,2026-01_profit_factor,2026-01_net_R,2026-01_max_drawdown_R,2026-02_trades,2026-02_wins,2026-02_win_rate,2026-02_avg_win_R,2026-02_avg_loss_R,2026-02_avg_win_loss_ratio,2026-02_profit_factor,2026-02_net_R,2026-02_max_drawdown_R,2026-03_trades,2026-03_wins,2026-03_win_rate,2026-03_avg_win_R,2026-03_avg_loss_R,2026-03_avg_win_loss_ratio,2026-03_profit_factor,2026-03_net_R,2026-03_max_drawdown_R,2026-04_trades,2026-04_wins,2026-04_win_rate,2026-04_avg_win_R,2026-04_avg_loss_R,2026-04_avg_win_loss_ratio,2026-04_profit_factor,2026-04_net_R,2026-04_max_drawdown_R,2026-05_trades,2026-05_wins,2026-05_win_rate,2026-05_avg_win_R,2026-05_avg_loss_R,2026-05_avg_win_loss_ratio,2026-05_profit_factor,2026-05_net_R,2026-05_max_drawdown_R
1,-6856.1662847917905,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,8,只做多,0.0,9,12,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,20,9,0.45,1.5604760575522052,0.9599881305142195,1.6255159912407804,1.3299676291970022,3.484415082313431,3.405834945021585,16,2,0.125,1.5603075345183952,0.924151909441325,1.6883669433325563,0.2411952776189366,-9.817511663141758,11.238959710978293,26,5,0.19230769230769232,1.56030387981976,0.9241467879876358,1.6883723452822683,0.4019934155433973,-11.605563148641554,17.846747673725172,20,8,0.4,1.5603437972795833,0.5179016415949247,3.012818790213455,2.0085458601423034,6.267930679097571,2.1294526266572342,30,6,0.2,1.3094686656333054,0.8023769776744913,1.631986836696767,0.4079967091741917,-11.40023547038796,15.079863687863716
2,-6856.1662847917905,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,8,只做多,0.03,9,12,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,20,9,0.45,1.5604760575522052,0.9599881305142195,1.6255159912407804,1.3299676291970022,3.484415082313431,3.405834945021585,16,2,0.125,1.5603075345183952,0.924151909441325,1.6883669433325563,0.2411952776189366,-9.817511663141758,11.238959710978293,26,5,0.19230769230769232,1.56030387981976,0.9241467879876358,1.6883723452822683,0.4019934155433973,-11.605563148641554,17.846747673725172,20,8,0.4,1.5603437972795833,0.5179016415949247,3.012818790213455,2.0085458601423034,6.267930679097571,2.1294526266572342,30,6,0.2,1.3094686656333054,0.8023769776744913,1.631986836696767,0.4079967091741917,-11.40023547038796,15.079863687863716
3,-6856.1662847917905,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,8,只做多,0.06,9,12,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,20,9,0.45,1.5604760575522052,0.9599881305142195,1.6255159912407804,1.3299676291970022,3.484415082313431,3.405834945021585,16,2,0.125,1.5603075345183952,0.924151909441325,1.6883669433325563,0.2411952776189366,-9.817511663141758,11.238959710978293,26,5,0.19230769230769232,1.56030387981976,0.9241467879876358,1.6883723452822683,0.4019934155433973,-11.605563148641554,17.846747673725172,20,8,0.4,1.5603437972795833,0.5179016415949247,3.012818790213455,2.0085458601423034,6.267930679097571,2.1294526266572342,30,6,0.2,1.3094686656333054,0.8023769776744913,1.631986836696767,0.4079967091741917,-11.40023547038796,15.079863687863716
4,-7164.106732854397,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,8,只做多,0.0,9,4,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,17,8,0.47058823529411764,1.5604757447607016,0.9645189441516244,1.6178798293415286,1.4381154038591366,3.803135460720992,3.405834945021585,14,1,0.07142857142857142,1.560296246290675,0.8999894644474389,1.733682790663156,0.13336021466639664,-10.139566791526029,10.322697507553727,27,6,0.2222222222222222,1.5608672704569926,0.924145433714067,1.6889844536524854,0.4825669867578529,-10.041850485253459,17.846719233980227,18,8,0.4444444444444444,1.5603437972795833,0.5937235813696725,2.628064382553234,2.1024515060425872,6.545514564539941,1.9906972099290234,26,5,0.19230769230769232,1.2592783516118105,0.8193149839211221,1.5369892853479719,0.36594982984475516,-10.909222904284515,16.501530631698433
5,-7164.106732854397,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,8,只做多,0.03,9,4,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,17,8,0.47058823529411764,1.5604757447607016,0.9645189441516244,1.6178798293415286,1.4381154038591366,3.803135460720992,3.405834945021585,14,1,0.07142857142857142,1.560296246290675,0.8999894644474389,1.733682790663156,0.13336021466639664,-10.139566791526029,10.322697507553727,27,6,0.2222222222222222,1.5608672704569926,0.924145433714067,1.6889844536524854,0.4825669867578529,-10.041850485253459,17.846719233980227,18,8,0.4444444444444444,1.5603437972795833,0.5937235813696725,2.628064382553234,2.1024515060425872,6.545514564539941,1.9906972099290234,26,5,0.19230769230769232,1.2592783516118105,0.8193149839211221,1.5369892853479719,0.36594982984475516,-10.909222904284515,16.501530631698433
6,-7164.106732854397,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,8,只做多,0.06,9,4,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,17,8,0.47058823529411764,1.5604757447607016,0.9645189441516244,1.6178798293415286,1.4381154038591366,3.803135460720992,3.405834945021585,14,1,0.07142857142857142,1.560296246290675,0.8999894644474389,1.733682790663156,0.13336021466639664,-10.139566791526029,10.322697507553727,27,6,0.2222222222222222,1.5608672704569926,0.924145433714067,1.6889844536524854,0.4825669867578529,-10.041850485253459,17.846719233980227,18,8,0.4444444444444444,1.5603437972795833,0.5937235813696725,2.628064382553234,2.1024515060425872,6.545514564539941,1.9906972099290234,26,5,0.19230769230769232,1.2592783516118105,0.8193149839211221,1.5369892853479719,0.36594982984475516,-10.909222904284515,16.501530631698433
7,-7253.065239959472,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,8,只做多,0.0,8,12,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.8386994901163066,1.8605898336057205,2.1263883812636806,6.612909527271465,2.614895428797332,17,2,0.11764705882352941,1.5603075345183952,0.9450962709324924,1.6509508951706011,0.2201267860227468,-11.055828994950595,11.238959710978293,26,4,0.15384615384615385,1.560301074247518,0.8884508274415966,1.7562041995510285,0.3193098544638234,-13.304713906725059,17.985587088969044,18,8,0.4444444444444444,1.5603358087632548,0.8320848224860802,1.8752124381999018,1.5001699505599213,4.161838245245237,2.7680387920164,23,3,0.13043478260869565,1.3902344939369378,0.77018728919307,1.8050602930535182,0.27075904395802775,-11.233042302050587,14.590478120445285
8,-7253.065239959472,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,8,只做多,0.03,8,12,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.8386994901163066,1.8605898336057205,2.1263883812636806,6.612909527271465,2.614895428797332,17,2,0.11764705882352941,1.5603075345183952,0.9450962709324924,1.6509508951706011,0.2201267860227468,-11.055828994950595,11.238959710978293,26,4,0.15384615384615385,1.560301074247518,0.8884508274415966,1.7562041995510285,0.3193098544638234,-13.304713906725059,17.985587088969044,18,8,0.4444444444444444,1.5603358087632548,0.8320848224860802,1.8752124381999018,1.5001699505599213,4.161838245245237,2.7680387920164,23,3,0.13043478260869565,1.3902344939369378,0.77018728919307,1.8050602930535182,0.27075904395802775,-11.233042302050587,14.590478120445285
9,-7253.065239959472,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,8,只做多,0.06,8,12,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.8386994901163066,1.8605898336057205,2.1263883812636806,6.612909527271465,2.614895428797332,17,2,0.11764705882352941,1.5603075345183952,0.9450962709324924,1.6509508951706011,0.2201267860227468,-11.055828994950595,11.238959710978293,26,4,0.15384615384615385,1.560301074247518,0.8884508274415966,1.7562041995510285,0.3193098544638234,-13.304713906725059,17.985587088969044,18,8,0.4444444444444444,1.5603358087632548,0.8320848224860802,1.8752124381999018,1.5001699505599213,4.161838245245237,2.7680387920164,23,3,0.13043478260869565,1.3902344939369378,0.77018728919307,1.8050602930535182,0.27075904395802775,-11.233042302050587,14.590478120445285
10,-7296.897213240635,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,3,只做多,0.0,9,4,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,17,8,0.47058823529411764,1.5604757447607016,0.9645189441516244,1.6178798293415286,1.4381154038591366,3.803135460720992,3.405834945021585,15,1,0.06666666666666667,1.560296246290675,0.9241534149813943,1.688351978142166,0.12059656986729758,-11.377851563448843,11.56098227947654,28,6,0.21428571428571427,1.5608672704569926,0.9384242323395783,1.6632853422439937,0.4536232751574528,-11.280129488728775,17.846719233980227,18,8,0.4444444444444444,1.5603437972795833,0.5937235813696725,2.628064382553234,2.1024515060425872,6.545514564539941,1.9906972099290234,27,5,0.18518518518518517,1.2592783516118105,0.804025479674758,1.5662169712845542,0.3559584025646714,-11.392168794785627,16.501530631698433
