rank,aggregate_score,rr,sl_atr,min_stop_pct,max_hold,expert_target,min_probability,min_percentile,min_margin,cooldown,expert_mask,2025-12_trades,2025-12_wins,2025-12_win_rate,2025-12_avg_win_R,2025-12_avg_loss_R,2025-12_avg_win_loss_ratio,2025-12_profit_factor,2025-12_net_R,2025-12_max_drawdown_R,2026-01_trades,2026-01_wins,2026-01_win_rate,2026-01_avg_win_R,2026-01_avg_loss_R,2026-01_avg_win_loss_ratio,2026-01_profit_factor,2026-01_net_R,2026-01_max_drawdown_R,2026-02_trades,2026-02_wins,2026-02_win_rate,2026-02_avg_win_R,2026-02_avg_loss_R,2026-02_avg_win_loss_ratio,2026-02_profit_factor,2026-02_net_R,2026-02_max_drawdown_R,2026-03_trades,2026-03_wins,2026-03_win_rate,2026-03_avg_win_R,2026-03_avg_loss_R,2026-03_avg_win_loss_ratio,2026-03_profit_factor,2026-03_net_R,2026-03_max_drawdown_R,2026-04_trades,2026-04_wins,2026-04_win_rate,2026-04_avg_win_R,2026-04_avg_loss_R,2026-04_avg_win_loss_ratio,2026-04_profit_factor,2026-04_net_R,2026-04_max_drawdown_R,2026-05_trades,2026-05_wins,2026-05_win_rate,2026-05_avg_win_R,2026-05_avg_loss_R,2026-05_avg_win_loss_ratio,2026-05_profit_factor,2026-05_net_R,2026-05_max_drawdown_R
1,-17762.87750195896,2.2,1.4,0.0036,288,7,0.52,0.88,0.03,3,63,2,0,0.0,0.0,1.2789223497081474,0.0,0.0,-2.557844699416295,2.557844699416295,2,1,0.5,1.9226646400629541,0.1283300499929594,14.982185701388238,14.982185701388238,1.7943345900699947,0.1283300499929594,3,2,0.6666666666666666,0.984905212991247,1.1777652821885438,0.8362491473352646,1.6724982946705291,0.7920451437939502,1.1777652821885438,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.5,1.922574364625187,0.703717918361855,2.7320241739767526,2.7320241739767526,2.4377128925266636,1.2790221889619253
2,-17762.87750195896,2.2,1.4,0.0036,288,7,0.52,0.88,0.03,3,51,2,0,0.0,0.0,1.2789223497081474,0.0,0.0,-2.557844699416295,2.557844699416295,2,1,0.5,1.9226646400629541,0.1283300499929594,14.982185701388238,14.982185701388238,1.7943345900699947,0.1283300499929594,3,2,0.6666666666666666,0.984905212991247,1.1777652821885438,0.8362491473352646,1.6724982946705291,0.7920451437939502,1.1777652821885438,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.5,1.922574364625187,0.703717918361855,2.7320241739767526,2.7320241739767526,2.4377128925266636,1.2790221889619253
3,-17762.87750195896,2.2,1.4,0.0036,288,7,0.52,0.88,0.03,8,63,2,0,0.0,0.0,1.2789223497081474,0.0,0.0,-2.557844699416295,2.557844699416295,2,1,0.5,1.9226646400629541,0.1283300499929594,14.982185701388238,14.982185701388238,1.7943345900699947,0.1283300499929594,3,2,0.6666666666666666,0.984905212991247,1.1777652821885438,0.8362491473352646,1.6724982946705291,0.7920451437939502,1.1777652821885438,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.5,1.922574364625187,0.703717918361855,2.7320241739767526,2.7320241739767526,2.4377128925266636,1.2790221889619253
4,-17762.87750195896,2.2,1.4,0.0036,288,7,0.52,0.88,0.03,8,51,2,0,0.0,0.0,1.2789223497081474,0.0,0.0,-2.557844699416295,2.557844699416295,2,1,0.5,1.9226646400629541,0.1283300499929594,14.982185701388238,14.982185701388238,1.7943345900699947,0.1283300499929594,3,2,0.6666666666666666,0.984905212991247,1.1777652821885438,0.8362491473352646,1.6724982946705291,0.7920451437939502,1.1777652821885438,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.5,1.922574364625187,0.703717918361855,2.7320241739767526,2.7320241739767526,2.4377128925266636,1.2790221889619253
5,-17762.87750195896,2.2,1.4,0.0036,288,7,0.52,0.88,0.07,3,63,2,0,0.0,0.0,1.2789223497081474,0.0,0.0,-2.557844699416295,2.557844699416295,2,1,0.5,1.9226646400629541,0.1283300499929594,14.982185701388238,14.982185701388238,1.7943345900699947,0.1283300499929594,3,2,0.6666666666666666,0.984905212991247,1.1777652821885438,0.8362491473352646,1.6724982946705291,0.7920451437939502,1.1777652821885438,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.5,1.922574364625187,0.703717918361855,2.7320241739767526,2.7320241739767526,2.4377128925266636,1.2790221889619253
6,-17762.87750195896,2.2,1.4,0.0036,288,7,0.52,0.88,0.07,3,51,2,0,0.0,0.0,1.2789223497081474,0.0,0.0,-2.557844699416295,2.557844699416295,2,1,0.5,1.9226646400629541,0.1283300499929594,14.982185701388238,14.982185701388238,1.7943345900699947,0.1283300499929594,3,2,0.6666666666666666,0.984905212991247,1.1777652821885438,0.8362491473352646,1.6724982946705291,0.7920451437939502,1.1777652821885438,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.5,1.922574364625187,0.703717918361855,2.7320241739767526,2.7320241739767526,2.4377128925266636,1.2790221889619253
7,-17885.108865798957,2.2,1.4,0.0036,288,7,0.52,0.88,0.03,3,42,2,0,0.0,0.0,1.2789223497081474,0.0,0.0,-2.557844699416295,2.557844699416295,2,1,0.5,1.9226646400629541,0.1283300499929594,14.982185701388238,14.982185701388238,1.7943345900699947,0.1283300499929594,2,2,1.0,0.984905212991247,0.0,0.0,0.0,1.969810425982494,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.5,1.922574364625187,0.703717918361855,2.7320241739767526,2.7320241739767526,2.4377128925266636,1.2790221889619253
8,-17885.108865798957,2.2,1.4,0.0036,288,7,0.52,0.88,0.03,8,42,2,0,0.0,0.0,1.2789223497081474,0.0,0.0,-2.557844699416295,2.557844699416295,2,1,0.5,1.9226646400629541,0.1283300499929594,14.982185701388238,14.982185701388238,1.7943345900699947,0.1283300499929594,2,2,1.0,0.984905212991247,0.0,0.0,0.0,1.969810425982494,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.5,1.922574364625187,0.703717918361855,2.7320241739767526,2.7320241739767526,2.4377128925266636,1.2790221889619253
9,-17885.108865798957,2.2,1.4,0.0036,288,7,0.52,0.88,0.07,3,42,2,0,0.0,0.0,1.2789223497081474,0.0,0.0,-2.557844699416295,2.557844699416295,2,1,0.5,1.9226646400629541,0.1283300499929594,14.982185701388238,14.982185701388238,1.7943345900699947,0.1283300499929594,2,2,1.0,0.984905212991247,0.0,0.0,0.0,1.969810425982494,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.5,1.922574364625187,0.703717918361855,2.7320241739767526,2.7320241739767526,2.4377128925266636,1.2790221889619253
10,-17885.108865798957,2.2,1.4,0.0036,288,7,0.52,0.88,0.07,8,42,2,0,0.0,0.0,1.2789223497081474,0.0,0.0,-2.557844699416295,2.557844699416295,2,1,0.5,1.9226646400629541,0.1283300499929594,14.982185701388238,14.982185701388238,1.7943345900699947,0.1283300499929594,2,2,1.0,0.984905212991247,0.0,0.0,0.0,1.969810425982494,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.5,1.922574364625187,0.703717918361855,2.7320241739767526,2.7320241739767526,2.4377128925266636,1.2790221889619253
