month,expert,bars,market_state,structure,five_minute_setup,raw_structural_candidates,aux_support_observed,model_available,training_candidates,probability_threshold,after_probability,after_monthly_cap,after_cooldown,selected_policy
2025-12,趋势多头,8010,1377,1319,2215,353,353,,,,,,,
2025-12,趋势空头,8010,1941,1826,2234,510,508,True,1111.0,0.7241730233828682,2.0,2.0,1.0,True
2025-12,震荡多头反转,8010,1933,1524,260,53,53,,,,,,,
2025-12,震荡空头反转,8010,1933,1610,260,46,46,,,,,,,
2025-12,高波动多头突破,8010,1721,1277,258,53,44,,,,,,,
2025-12,高波动空头突破,8010,1697,1320,274,57,56,True,166.0,0.53,0.0,0.0,0.0,True
2026-01,趋势多头,8188,1238,1175,2241,308,308,,,,,,,
2026-01,趋势空头,8188,1729,1645,2220,431,430,True,1621.0,0.7095459839907003,0.0,0.0,0.0,True
2026-01,震荡多头反转,8188,1853,1550,257,46,46,,,,,,,
2026-01,震荡空头反转,8188,1853,1519,281,58,58,,,,,,,
2026-01,高波动多头突破,8188,1598,1386,238,43,43,,,,,,,
2026-01,高波动空头突破,8188,1869,1577,299,65,65,True,223.0,0.53,0.0,0.0,0.0,True
2026-02,趋势多头,7476,698,684,2073,187,187,,,,,,,
2026-02,趋势空头,7476,1680,1565,2084,412,412,True,2052.0,0.6785453615572447,4.0,4.0,2.0,True
2026-02,震荡多头反转,7476,2403,1817,243,70,68,,,,,,,
2026-02,震荡空头反转,7476,2403,2045,229,61,60,,,,,,,
2026-02,高波动多头突破,7476,906,608,257,36,36,,,,,,,
2026-02,高波动空头突破,7476,1941,1711,318,92,92,True,288.0,0.53,6.0,6.0,3.0,True
2026-03,趋势多头,8277,1621,1541,2194,411,410,,,,,,,
2026-03,趋势空头,8277,1181,1095,2223,287,287,True,2464.0,0.626415986567779,0.0,0.0,0.0,True
2026-03,震荡多头反转,8277,2533,2198,289,84,84,,,,,,,
2026-03,震荡空头反转,8277,2533,1930,263,59,58,,,,,,,
2026-03,高波动多头突破,8277,1633,1333,261,65,62,,,,,,,
2026-03,高波动空头突破,8277,1717,1447,310,75,74,True,380.0,0.53,0.0,0.0,0.0,True
2026-04,趋势多头,8010,1948,1779,2244,489,485,,,,,,,
2026-04,趋势空头,8010,978,929,2157,238,238,True,2751.0,0.6346849899560211,1.0,1.0,1.0,True
2026-04,震荡多头反转,8010,2128,1764,262,45,44,,,,,,,
2026-04,震荡空头反转,8010,2128,1764,244,60,60,,,,,,,
2026-04,高波动多头突破,8010,1973,1615,291,91,91,,,,,,,
2026-04,高波动空头突破,8010,1221,896,269,49,48,True,455.0,0.53,0.0,0.0,0.0,True
2026-05,趋势多头,8188,1414,1388,2198,341,341,,,,,,,
2026-05,趋势空头,8188,1492,1393,2260,369,368,True,2989.0,0.6327681136855192,2.0,2.0,1.0,True
2026-05,震荡多头反转,8188,2484,1947,261,78,75,,,,,,,
2026-05,震荡空头反转,8188,2484,2048,300,103,103,,,,,,,
2026-05,高波动多头突破,8188,1610,1288,268,39,37,,,,,,,
2026-05,高波动空头突破,8188,1583,1316,306,66,66,True,504.0,0.568331107116367,1.0,1.0,1.0,True
2026-06,趋势多头,7397,1192,1122,1931,267,267,,,,,,,
2026-06,趋势空头,7397,1690,1600,2053,475,475,True,3358.0,0.6618230174024041,0.0,0.0,0.0,True
2026-06,震荡多头反转,7397,1898,1498,274,63,62,,,,,,,
2026-06,震荡空头反转,7397,1898,1588,197,50,49,,,,,,,
2026-06,高波动多头突破,7397,1182,865,238,43,41,,,,,,,
2026-06,高波动空头突破,7397,1840,1656,301,85,83,True,570.0,0.53,0.0,0.0,0.0,True
