signal_time_utc,entry_time_utc,exit_time_utc,month,direction,expert,setup,policy_key,base_model_probability,calibrated_probability,online_score_percentile,effective_rank_threshold,expected_utility_at_entry,entry,risk_abs,target_R,net_R,win,exit_reason,bars
2026-05-01T03:20:00+00:00,2026-05-01T03:25:00+00:00,2026-05-01T04:25:00+00:00,2026-05,LONG,高波动多头突破,趋势延续突破+压缩后高波动突破,833be519e6ad7196,0.08371892796260837,0.3784706870570341,0.956989247311828,0.68,0.3246474046996194,77278.2,347.75145,2.5,-1.2222973456329032,False,PROTECTED_STOP,12
2026-05-03T17:15:00+00:00,2026-05-03T17:20:00+00:00,2026-05-03T20:35:00+00:00,2026-05,LONG,趋势多头,趋势回踩再确认,07954c528814f7d2,0.6019245922666514,0.34369285603773914,1.0,0.65,0.03107856811321741,78692.59999999999,251.81568,2.0,1.6857053711667294,True,TP,39
2026-05-05T05:05:00+00:00,2026-05-05T05:10:00+00:00,2026-05-05T05:45:00+00:00,2026-05,LONG,趋势多头,趋势回踩再确认,07954c528814f7d2,0.6159104757033076,0.35185019579583193,1.0,0.65,0.05555058738749585,80845.0,258.70368,2.0,-0.213323085253343,False,PROTECTED_STOP,7
2026-05-06T18:10:00+00:00,2026-05-06T18:15:00+00:00,2026-05-06T19:10:00+00:00,2026-05,LONG,震荡多头反转,趋势回踩再确认+流动性扫单反转,8b7fbc9e1c6b27a3,0.36809501628431407,0.4375084675719906,0.7916666666666666,0.7422038639741236,0.31252540271597173,81436.59999999999,268.73979,2.0,-1.3032752615643703,False,PROTECTED_STOP,11
2026-05-07T08:20:00+00:00,2026-05-07T08:25:00+00:00,2026-05-07T09:00:00+00:00,2026-05,LONG,震荡多头反转,流动性扫单反转,8b7fbc9e1c6b27a3,0.36575534665212156,0.4371210089064199,0.75,0.75,0.31136302671925975,81387.7,268.57842,2.0,-1.303275709157878,False,PROTECTED_STOP,7
2026-05-09T07:10:00+00:00,2026-05-09T07:15:00+00:00,2026-05-09T09:45:00+00:00,2026-05,LONG,震荡多头反转,流动性扫单反转,8b7fbc9e1c6b27a3,0.44100089404940085,0.4492130221182522,0.9661016949152542,0.75,0.3476390663547566,80155.2,264.5115,2.0,-0.20383679187862752,False,PROTECTED_STOP,22
2026-05-09T15:10:00+00:00,2026-05-09T15:15:00+00:00,2026-05-09T16:20:00+00:00,2026-05,LONG,震荡多头反转,流动性扫单反转,8b7fbc9e1c6b27a3,0.421237361695898,0.44609617693316606,0.921875,0.75,0.33828853079949817,80264.8,264.87351,2.0,1.6952146195744457,True,TP,6
2026-05-10T04:15:00+00:00,2026-05-10T04:20:00+00:00,2026-05-10T16:05:00+00:00,2026-05,LONG,趋势多头,趋势回踩再确认,07954c528814f7d2,0.6575041954391876,0.3773448701062883,1.0,0.65,0.13203461031886488,80747.7,258.39168,2.0,1.6857252072512712,True,TP,128
2026-05-11T08:10:00+00:00,2026-05-11T08:15:00+00:00,2026-05-11T12:20:00+00:00,2026-05,LONG,震荡多头反转,趋势回踩再确认+流动性扫单反转,8b7fbc9e1c6b27a3,0.5531511390263358,0.46670446062817716,0.9850746268656716,0.75,0.4001133818845315,80719.4,266.37369,2.0,1.6952188720665453,True,TP,49
2026-05-15T19:40:00+00:00,2026-05-15T19:45:00+00:00,2026-05-16T06:45:00+00:00,2026-05,SHORT,趋势空头,趋势回踩再确认,e1d955589a54cdcf,0.07304704349886988,0.4261182096707321,0.9665653495440729,0.55,0.2783546290121963,79087.5,268.89852,2.0,1.706139321703994,True,TP,125
2026-06-08T03:30:00+00:00,2026-06-08T03:35:00+00:00,2026-06-08T04:00:00+00:00,2026-06,LONG,趋势多头,趋势回踩再确认,07954c528814f7d2,0.5100141370356316,0.49194291367890725,0.9682080924855492,0.5506436314363143,0.4758287410367218,63164.1,203.75928068584733,2.0,-1.3104747923467006,False,PROTECTED_STOP,5
2026-06-08T05:25:00+00:00,2026-06-08T05:30:00+00:00,2026-06-08T05:35:00+00:00,2026-06,LONG,趋势多头,趋势回踩再确认,07954c528814f7d2,0.5044040542551003,0.490594914257171,0.9654178674351584,0.65,0.47178474277151305,62703.2,200.64928,2.0,-1.312997760869089,False,PROTECTED_STOP,1
2026-06-08T05:55:00+00:00,2026-06-08T06:00:00+00:00,2026-06-08T07:10:00+00:00,2026-06,LONG,趋势多头,趋势回踩再确认+趋势延续突破,07954c528814f7d2,0.4681907816602229,0.48188666247782846,0.9281609195402298,0.65,0.44565998743348534,62741.0,200.77056000000002,2.0,1.6855033399319332,True,TP,14
2026-06-08T09:15:00+00:00,2026-06-08T09:20:00+00:00,2026-06-08T09:30:00+00:00,2026-06,LONG,趋势多头,趋势延续突破+压缩后高波动突破,07954c528814f7d2,0.44594836046808406,0.4765073030385885,0.8721590909090909,0.65,0.4295219091157655,63429.0,202.97248000000002,2.0,-1.312985355256012,False,PROTECTED_STOP,2
2026-06-08T09:40:00+00:00,2026-06-08T09:45:00+00:00,2026-06-08T10:20:00+00:00,2026-06,LONG,趋势多头,趋势回踩再确认,07954c528814f7d2,0.41443574103541153,0.4687990117511803,0.8158640226628895,0.65,0.40639703525354076,63333.2,202.66528000000002,2.0,-1.312987835706235,False,PROTECTED_STOP,7
