month,expert,bars,market_state,structure,five_minute_setup,raw_structural_candidates,aux_support_observed,model_available,training_candidates,calibration_month,calibration_candidates,calibration_base_rate,calibration_brier,probability_threshold,online_rank_percentile,score_drift,after_probability,after_monthly_cap,after_cooldown,selected_policy
2025-12,趋势多头,8010,1377,1319,2215,353,353,,,,,,,,,,,,,
2025-12,趋势空头,8010,1941,1826,2235,510,508,True,668.0,2025-11,446.0,0.2713004484304933,0.19689777001849393,0.38,0.7,0.014983836580416854,0.0,0.0,0.0,True
2025-12,震荡多头反转,8010,1933,1524,310,63,63,True,103.0,2025-11,62.0,0.27419354838709675,0.19659195999337012,0.38,0.82,-0.008791246256820928,0.0,0.0,0.0,True
2025-12,震荡空头反转,8010,1933,1610,260,46,46,,,,,,,,,,,,,
2025-12,高波动多头突破,8010,1721,1277,258,53,44,,,,,,,,,,,,,
2025-12,高波动空头突破,8010,1697,1320,274,57,56,,,,,,,,,,,,,
2026-01,趋势多头,8188,1238,1175,2241,308,308,,,,,,,,,,,,,
2026-01,趋势空头,8188,1729,1645,2225,432,431,True,1114.0,2025-12,510.0,0.11764705882352941,0.10372590759154131,0.38,0.7,0.0011995094947422763,0.0,0.0,0.0,True
2026-01,震荡多头反转,8188,1853,1550,301,54,54,True,165.0,2025-12,63.0,0.19047619047619047,0.15193271210703058,0.38,0.82,-0.004098423334983198,0.0,0.0,0.0,True
2026-01,震荡空头反转,8188,1853,1519,281,58,58,,,,,,,,,,,,,
2026-01,高波动多头突破,8188,1598,1386,238,43,43,,,,,,,,,,,,,
2026-01,高波动空头突破,8188,1869,1577,299,65,65,,,,,,,,,,,,,
2026-02,趋势多头,7476,698,684,2073,187,187,,,,,,,,,,,,,
2026-02,趋势空头,7476,1680,1565,2085,413,413,True,1624.0,2026-01,432.0,0.2847222222222222,0.20142792189429262,0.38,0.7,0.009066741298420722,0.0,0.0,0.0,True
2026-02,震荡多头反转,7476,2403,1817,276,81,79,True,228.0,2026-01,54.0,0.1111111111111111,0.09865887245732129,0.38,0.82,0.0012379110750819072,0.0,0.0,0.0,True
2026-02,震荡空头反转,7476,2403,2045,229,61,60,,,,,,,,,,,,,
2026-02,高波动多头突破,7476,906,608,257,36,36,,,,,,,,,,,,,
2026-02,高波动空头突破,7476,1941,1711,318,92,92,,,,,,,,,,,,,
2026-03,趋势多头,8277,1621,1541,2194,411,410,,,,,,,,,,,,,
2026-03,趋势空头,8277,1181,1095,2224,287,287,True,2056.0,2026-02,413.0,0.3099273607748184,0.21367310455355992,0.38,0.7,0.0007018256413777735,0.0,0.0,0.0,True
2026-03,震荡多头反转,8277,2533,2198,331,103,103,True,282.0,2026-02,81.0,0.12345679012345678,0.10819779560748398,0.38,0.82,0.0004454397378207686,0.0,0.0,0.0,True
2026-03,震荡空头反转,8277,2533,1930,263,59,58,,,,,,,,,,,,,
2026-03,高波动多头突破,8277,1633,1333,261,65,62,,,,,,,,,,,,,
2026-03,高波动空头突破,8277,1717,1447,310,75,74,,,,,,,,,,,,,
2026-04,趋势多头,8010,1948,1779,2244,489,485,,,,,,,,,,,,,
2026-04,趋势空头,8010,978,929,2157,238,238,True,2469.0,2026-03,287.0,0.3170731707317073,0.21548815047061046,0.38,0.7,0.03276349780657617,65.0,6.0,2.0,True
2026-04,震荡多头反转,8010,2128,1764,308,53,52,True,363.0,2026-03,103.0,0.20388349514563106,0.15896905400171307,0.38,0.82,-0.0021705352182386783,0.0,0.0,0.0,True
2026-04,震荡空头反转,8010,2128,1764,244,60,60,,,,,,,,,,,,,
2026-04,高波动多头突破,8010,1973,1615,291,91,91,,,,,,,,,,,,,
2026-04,高波动空头突破,8010,1221,896,269,49,48,,,,,,,,,,,,,
2026-05,趋势多头,8188,1414,1388,2198,341,341,,,,,,,,,,,,,
2026-05,趋势空头,8188,1492,1393,2263,370,369,True,2756.0,2026-04,238.0,0.2605042016806723,0.17104540310217844,0.38,0.7,-0.08658595960241991,16.0,6.0,1.0,True
2026-05,震荡多头反转,8188,2484,1947,301,90,87,True,466.0,2026-04,53.0,0.4339622641509434,0.24495569404569897,0.38,0.82,0.0021251721344551777,19.0,6.0,4.0,True
2026-05,震荡空头反转,8188,2484,2048,300,103,103,,,,,,,,,,,,,
2026-05,高波动多头突破,8188,1610,1288,268,39,37,,,,,,,,,,,,,
2026-05,高波动空头突破,8188,1583,1316,306,66,66,,,,,,,,,,,,,
2026-06,趋势多头,7397,1192,1122,1931,267,267,,,,,,,,,,,,,
2026-06,趋势空头,7397,1690,1600,2053,475,475,True,2994.0,2026-05,370.0,0.3,0.19995956326676592,0.38,0.7,0.0029669911916654357,37.0,6.0,3.0,True
2026-06,震荡多头反转,7397,1898,1498,322,76,75,True,519.0,2026-05,90.0,0.26666666666666666,0.19495386767288722,0.38,0.82,0.007042912144771651,0.0,0.0,0.0,True
2026-06,震荡空头反转,7397,1898,1588,197,50,49,,,,,,,,,,,,,
2026-06,高波动多头突破,7397,1182,865,238,43,41,,,,,,,,,,,,,
2026-06,高波动空头突破,7397,1840,1656,301,85,83,,,,,,,,,,,,,
