model_a,model_b,family_a,family_b,signal_overlap_count,signal_union_count,signal_jaccard,overlap_outcome_correlation
趋势多头,趋势空头,趋势延续,趋势延续,0,3,0.0,0.0
趋势多头,震荡多头反转,趋势延续,区间流动性反转,0,9,0.0,0.0
趋势多头,震荡空头反转,趋势延续,区间流动性反转,0,0,0.0,0.0
趋势多头,高波动多头突破,趋势延续,波动扩张突破,0,0,0.0,0.0
趋势多头,高波动空头突破,趋势延续,波动扩张突破,0,0,0.0,0.0
趋势空头,震荡多头反转,趋势延续,区间流动性反转,0,12,0.0,0.0
趋势空头,震荡空头反转,趋势延续,区间流动性反转,0,3,0.0,0.0
趋势空头,高波动多头突破,趋势延续,波动扩张突破,0,3,0.0,0.0
趋势空头,高波动空头突破,趋势延续,波动扩张突破,0,3,0.0,0.0
震荡多头反转,震荡空头反转,区间流动性反转,区间流动性反转,0,9,0.0,0.0
震荡多头反转,高波动多头突破,区间流动性反转,波动扩张突破,0,9,0.0,0.0
震荡多头反转,高波动空头突破,区间流动性反转,波动扩张突破,0,9,0.0,0.0
震荡空头反转,高波动多头突破,区间流动性反转,波动扩张突破,0,0,0.0,0.0
震荡空头反转,高波动空头突破,区间流动性反转,波动扩张突破,0,0,0.0,0.0
高波动多头突破,高波动空头突破,波动扩张突破,波动扩张突破,0,0,0.0,0.0
