month,expert,bars,market_state,structure,five_minute_setup,raw_structural_candidates,aux_support_observed,model_available,training_candidates,calibration_month,calibration_candidates,calibration_base_rate,calibration_brier,probability_threshold,online_rank_percentile,score_drift,after_probability,after_monthly_cap,after_cooldown,selected_policy,meta_brier,after_meta_filter
2025-12,趋势多头,8010,1377,1319,2215,353,353,,,,,,,,,,,,,,,
2025-12,趋势空头,8010,1941,1826,2235,510,508,True,668.0,2025-11,446.0,0.30493273542600896,0.21182262354530926,0.38,0.7,0.007395369989849521,0.0,0.0,0.0,True,,
2025-12,震荡多头反转,8010,1933,1524,310,63,63,True,103.0,2025-11,62.0,0.27419354838709675,0.19416980097021255,0.38,0.75,0.012677201313837427,3.0,0.0,0.0,True,,
2025-12,震荡空头反转,8010,1933,1610,260,46,46,,,,,,,,,,,,,,,
2025-12,高波动多头突破,8010,1721,1277,258,53,44,,,,,,,,,,,,,,,
2025-12,高波动空头突破,8010,1697,1320,274,57,56,,,,,,,,,,,,,,,
2026-01,趋势多头,8188,1238,1175,2241,308,308,,,,,,,,,,,,,,,
2026-01,趋势空头,8188,1729,1645,2225,432,431,True,1114.0,2025-12,510.0,0.18627450980392157,0.14989242442897402,0.38,0.7,0.013638317132530553,0.0,0.0,0.0,True,,
2026-01,震荡多头反转,8188,1853,1550,301,54,54,True,165.0,2025-12,63.0,0.19047619047619047,0.15309826979081687,0.38,0.75,0.006030042981961553,0.0,0.0,0.0,True,,
2026-01,震荡空头反转,8188,1853,1519,281,58,58,,,,,,,,,,,,,,,
2026-01,高波动多头突破,8188,1598,1386,238,43,43,,,,,,,,,,,,,,,
2026-01,高波动空头突破,8188,1869,1577,299,65,65,,,,,,,,,,,,,,,
2026-02,趋势多头,7476,698,684,2073,187,187,,,,,,,,,,,,,,,
2026-02,趋势空头,7476,1680,1565,2085,413,413,True,1624.0,2026-01,432.0,0.30092592592592593,0.20187625515829935,0.38,0.7,0.038223783408708245,112.0,0.0,0.0,True,,
2026-02,震荡多头反转,7476,2403,1817,276,81,79,True,228.0,2026-01,54.0,0.09259259259259259,0.08388220727896674,0.38,0.75,-0.0012470554880364693,0.0,0.0,0.0,True,,
2026-02,震荡空头反转,7476,2403,2045,229,61,60,,,,,,,,,,,,,,,
2026-02,高波动多头突破,7476,906,608,257,36,36,,,,,,,,,,,,,,,
2026-02,高波动空头突破,7476,1941,1711,318,92,92,,,,,,,,,,,,,,,
2026-03,趋势多头,8277,1621,1541,2194,411,410,,,,,,,,,,,,,,,
2026-03,趋势空头,8277,1181,1095,2224,287,287,True,2056.0,2026-02,413.0,0.27602905569007263,0.19974031091127747,0.38,0.7,0.0031356803797274457,0.0,0.0,0.0,True,,
2026-03,震荡多头反转,8277,2533,2198,331,103,103,True,282.0,2026-02,81.0,0.12345679012345678,0.10773741711613576,0.38,0.75,0.0011916914855075317,0.0,0.0,0.0,True,,
2026-03,震荡空头反转,8277,2533,1930,263,59,58,,,,,,,,,,,,,,,
2026-03,高波动多头突破,8277,1633,1333,261,65,62,,,,,,,,,,,,,,,
2026-03,高波动空头突破,8277,1717,1447,310,75,74,,,,,,,,,,,,,,,
2026-04,趋势多头,8010,1948,1779,2244,489,485,,,,,,,,,,,,,,,
2026-04,趋势空头,8010,978,929,2157,238,238,True,2469.0,2026-03,287.0,0.33797909407665505,0.2237456526843292,0.38,0.7,0.0012695328670876416,0.0,0.0,0.0,True,,
2026-04,震荡多头反转,8010,2128,1764,308,53,52,True,363.0,2026-03,103.0,0.20388349514563106,0.16165845959133465,0.38,0.75,0.00013114015926338207,0.0,0.0,0.0,True,,
2026-04,震荡空头反转,8010,2128,1764,244,60,60,,,,,,,,,,,,,,,
2026-04,高波动多头突破,8010,1973,1615,291,91,91,,,,,,,,,,,,,,,
2026-04,高波动空头突破,8010,1221,896,269,49,48,,,,,,,,,,,,,,,
2026-05,趋势多头,8188,1414,1388,2198,341,341,,,,,,,,,,,,,,,
2026-05,趋势空头,8188,1492,1393,2263,370,369,True,2756.0,2026-04,238.0,0.3067226890756303,0.19351361161165592,0.38,0.7,-0.08230909797001357,28.0,5.0,3.0,True,0.19767215865614488,5.0
2026-05,震荡多头反转,8188,2484,1947,301,90,87,True,466.0,2026-04,53.0,0.4716981132075472,0.24918455706375478,0.38,0.75,-6.722526929658912e-05,17.0,10.0,9.0,True,0.2466859078447285,17.0
2026-05,震荡空头反转,8188,2484,2048,300,103,103,,,,,,,,,,,,,,,
2026-05,高波动多头突破,8188,1610,1288,268,39,37,,,,,,,,,,,,,,,
2026-05,高波动空头突破,8188,1583,1316,306,66,66,,,,,,,,,,,,,,,
2026-06,趋势多头,7397,1192,1122,1931,267,267,,,,,,,,,,,,,,,
2026-06,趋势空头,7397,1690,1600,2053,475,475,True,2994.0,2026-05,370.0,0.3108108108108108,0.21101535400704755,0.38,0.7,0.003692349704553455,14.0,0.0,0.0,True,0.2100832962049741,0.0
2026-06,震荡多头反转,7397,1898,1498,322,76,75,True,519.0,2026-05,90.0,0.2222222222222222,0.16691401373785855,0.38,0.75,0.022413109257586078,0.0,0.0,0.0,True,0.17161483049591436,0.0
2026-06,震荡空头反转,7397,1898,1588,197,50,49,,,,,,,,,,,,,,,
2026-06,高波动多头突破,7397,1182,865,238,43,41,,,,,,,,,,,,,,,
2026-06,高波动空头突破,7397,1840,1656,301,85,83,,,,,,,,,,,,,,,
