expert,family,policy_key,month,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R
趋势回踩重新站稳多头,趋势回踩,1503327fb8676dcb,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1503327fb8676dcb,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1503327fb8676dcb,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1503327fb8676dcb,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1503327fb8676dcb,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1503327fb8676dcb,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,bb4cec4ee8f476c1,2025-12,1,0,0.0,0.0,1.3238284723939617,0.0,0.0,-1.3238284723939617,1.3238284723939617,-1.3238284723939617
趋势反抽失败空头,趋势回踩,bb4cec4ee8f476c1,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,bb4cec4ee8f476c1,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,bb4cec4ee8f476c1,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,bb4cec4ee8f476c1,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,bb4cec4ee8f476c1,2026-05,4,3,0.75,1.4775038826835054,0.2433909916604851,6.070495348260584,18.21148604478175,4.189120656390031,0.24339099166048506,1.0472801640975078
趋势整理再加速多头,趋势加速,3f6556ec7d78e429,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
