expert_a,expert_b,signal_overlap,loss_overlap,return_correlation,compatible
趋势回踩重新站稳多头,趋势反抽失败空头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,趋势整理再加速多头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,趋势整理再加速空头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,结构突破首次回踩多头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,结构跌破首次反抽空头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,区间扫低收回多头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,区间扫高跌回空头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,区间二次测试多头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,区间二次测试空头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,压缩后放量突破多头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,压缩后放量突破空头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,BTC与ETH同步确认多头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,BTC与ETH同步确认空头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,衍生品极端回归多头,0.0,0.0,0.0,True
趋势回踩重新站稳多头,衍生品极端回归空头,0.0,0.0,0.0,True
趋势反抽失败空头,趋势整理再加速多头,0.0,0.0,0.0,True
趋势反抽失败空头,趋势整理再加速空头,0.0,0.0,0.0,True
趋势反抽失败空头,结构突破首次回踩多头,0.0,0.0,0.0,True
趋势反抽失败空头,结构跌破首次反抽空头,0.0,0.0,0.0,True
趋势反抽失败空头,区间扫低收回多头,0.0,0.0,0.0,True
趋势反抽失败空头,区间扫高跌回空头,0.0,0.0,0.0,True
趋势反抽失败空头,区间二次测试多头,0.0,0.0,0.0,True
趋势反抽失败空头,区间二次测试空头,0.0,0.0,0.0,True
趋势反抽失败空头,压缩后放量突破多头,0.0,0.0,0.0,True
趋势反抽失败空头,压缩后放量突破空头,0.0,0.0,0.0,True
趋势反抽失败空头,BTC与ETH同步确认多头,0.0,0.0,0.0,True
趋势反抽失败空头,BTC与ETH同步确认空头,0.0,0.0,0.0,True
趋势反抽失败空头,衍生品极端回归多头,0.0,0.0,0.0,True
趋势反抽失败空头,衍生品极端回归空头,0.0,0.0,0.0,True
趋势整理再加速多头,趋势整理再加速空头,0.0,0.0,0.0,True
趋势整理再加速多头,结构突破首次回踩多头,0.0,0.0,0.0,True
趋势整理再加速多头,结构跌破首次反抽空头,0.0,0.0,0.0,True
趋势整理再加速多头,区间扫低收回多头,0.0,0.0,0.0,True
趋势整理再加速多头,区间扫高跌回空头,0.0,0.0,0.0,True
趋势整理再加速多头,区间二次测试多头,0.0,0.0,0.0,True
趋势整理再加速多头,区间二次测试空头,0.0,0.0,0.0,True
趋势整理再加速多头,压缩后放量突破多头,0.0,0.0,0.0,True
趋势整理再加速多头,压缩后放量突破空头,0.0,0.0,0.0,True
趋势整理再加速多头,BTC与ETH同步确认多头,0.0,0.0,0.0,True
趋势整理再加速多头,BTC与ETH同步确认空头,0.0,0.0,0.0,True
趋势整理再加速多头,衍生品极端回归多头,0.0,0.0,0.0,True
趋势整理再加速多头,衍生品极端回归空头,0.0,0.0,0.0,True
趋势整理再加速空头,结构突破首次回踩多头,0.0,0.0,0.0,True
趋势整理再加速空头,结构跌破首次反抽空头,0.0,0.0,0.0,True
趋势整理再加速空头,区间扫低收回多头,0.0,0.0,0.0,True
趋势整理再加速空头,区间扫高跌回空头,0.0,0.0,0.0,True
趋势整理再加速空头,区间二次测试多头,0.0,0.0,0.0,True
趋势整理再加速空头,区间二次测试空头,0.0,0.0,0.0,True
趋势整理再加速空头,压缩后放量突破多头,0.0,0.0,0.0,True
趋势整理再加速空头,压缩后放量突破空头,0.0,0.0,0.0,True
趋势整理再加速空头,BTC与ETH同步确认多头,0.0,0.0,0.0,True
趋势整理再加速空头,BTC与ETH同步确认空头,0.0,0.0,0.0,True
趋势整理再加速空头,衍生品极端回归多头,0.0,0.0,0.0,True
趋势整理再加速空头,衍生品极端回归空头,0.0,0.0,0.0,True
结构突破首次回踩多头,结构跌破首次反抽空头,0.0,0.0,0.0,True
结构突破首次回踩多头,区间扫低收回多头,0.0,0.0,0.0,True
