expert_id,expert,family,selected,eligible,policy_key,selection_status,rejection_reason,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,shrunk_win_rate,wilson_lower,active_months,positive_months,worst_month_R,max_single_month_profit_share
0,趋势回踩重新站稳多头,趋势回踩,False,False,1503327fb8676dcb,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
1,趋势反抽失败空头,趋势回踩,True,False,bb4cec4ee8f476c1,INSUFFICIENT_HIGH_PRECISION_EXPERTS,selected,5,3,0.6,1.4775038826835054,0.7836097320272234,1.8855098683641354,2.828264802546203,2.865292183996069,1.3238284723939617,0.5730584367992139,0.5333333333333333,0.3826400903534617,2,1,-1.3238284723939617,1.0
2,趋势整理再加速多头,趋势加速,False,False,3f6556ec7d78e429,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
3,趋势整理再加速空头,趋势加速,False,False,a926e2d3dfd23284,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
4,结构突破首次回踩多头,结构突破回踩,False,False,2f63c7901ae12b27,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
5,结构跌破首次反抽空头,结构突破回踩,False,False,a8df76d908bdc392,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
6,区间扫低收回多头,流动性反转,True,False,d9ea4012ccd54bb6,INSUFFICIENT_HIGH_PRECISION_EXPERTS,selected,2,1,0.5,1.464936081531916,0.25419996525005567,5.762927937818021,5.762927937818021,1.2107361162818602,0.2541999652500557,0.6053680581409301,0.5,0.21132486540518713,1,1,0.0,1.0
7,区间扫高跌回空头,流动性反转,False,False,e2a58c5553e22773,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
8,区间二次测试多头,二次测试,False,False,2ec46ad95c32ad6d,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
9,区间二次测试空头,二次测试,False,False,7a871a3d8031ba65,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
10,压缩后放量突破多头,波动扩张,False,False,cade502a22f017d7,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
11,压缩后放量突破空头,波动扩张,False,False,0ddadca500de7bc5,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
12,BTC与ETH同步确认多头,跨资产同步,False,False,8d12f83d2dbe8c16,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
13,BTC与ETH同步确认空头,跨资产同步,False,False,e49384a07447bd51,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
14,衍生品极端回归多头,衍生品反转,False,False,746f01cd7ec3175b,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
15,衍生品极端回归空头,衍生品反转,False,False,23f772e159b1af69,INSUFFICIENT_HIGH_PRECISION_EXPERTS,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
