expert,family,month,raw_candidates,model_available,calibration_month,calibration_rows,calibration_brier,meta_brier,calibration_mean,eval_mean,after_probability,after_meta,after_cap
趋势回踩重新站稳多头,趋势回踩,2025-12,280,True,2025-11,178.0,0.20723413421015435,0.210267694883353,0.30334332648393425,0.2986634528905901,9.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,2026-01,237,True,2025-12,280.0,0.1867745944224386,0.1873079768465439,0.25356695654378386,0.25044364913674066,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,2026-02,163,True,2026-01,237.0,0.16676942413026258,0.16831756789172836,0.21519421114044823,0.20962095531322192,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,2026-03,343,True,2026-02,163.0,0.18201104947674218,0.1815666669711106,0.23926975931588285,0.2381585192887968,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,2026-04,378,True,2026-03,343.0,0.17961363461399085,0.1799276079515737,0.23615203803855161,0.2404898728879596,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,2026-05,256,True,2026-04,378.0,0.16148352762307555,0.1630322377233328,0.20631933916264436,0.20134241113729837,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,2025-12,426,True,2025-11,332.0,0.19593811248904533,0.19854852187589606,0.28311386365746616,0.24975202382519565,16.0,1.0,1.0
趋势反抽失败空头,趋势回踩,2026-01,336,True,2025-12,426.0,0.16102584019153196,0.1604447200878977,0.20186904361067454,0.20172241168898467,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,2026-02,334,True,2026-01,336.0,0.20316580800519426,0.20388831307807667,0.2857195362021832,0.2674023092182723,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,2026-03,227,True,2026-02,334.0,0.1971480810650285,0.19792944375971197,0.27243772285189977,0.27832917602030083,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,2026-04,174,True,2026-03,227.0,0.21477045257244365,0.2145771912358677,0.3127818845764802,0.3058612729092392,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,2026-05,274,True,2026-04,174.0,0.18305349499422266,0.1898172676296144,0.3275831821815835,0.2964184235486884,42.0,30.0,4.0
趋势整理再加速多头,趋势加速,2025-12,64,True,2025-11,34.0,0.10380594942777067,0.10356984840636914,0.11764950474083805,0.11751325369623027,0.0,0.0,0.0
趋势整理再加速多头,趋势加速,2026-01,62,True,2025-12,64.0,0.1667772853438444,0.1702703376190451,0.21880063651718554,0.18810585682217323,0.0,0.0,0.0
趋势整理再加速多头,趋势加速,2026-02,24,True,2026-01,62.0,0.19307084772127045,0.2038292098625121,0.29030361111527675,0.2716568202194215,1.0,0.0,0.0
趋势整理再加速多头,趋势加速,2026-03,53,True,2026-02,24.0,0.1437437593856532,0.16294632054935868,0.20832942403650853,0.2283999107329954,0.0,0.0,0.0
趋势整理再加速多头,趋势加速,2026-04,62,True,2026-03,53.0,0.22394367292610537,0.22411869952978028,0.33965945900313416,0.3340084219859162,0.0,0.0,0.0
趋势整理再加速多头,趋势加速,2026-05,64,True,2026-04,62.0,0.21042384847437248,0.22072126969433425,0.3387097912376242,0.36729176697429966,25.0,0.0,0.0
趋势整理再加速空头,趋势加速,2025-12,55,True,2025-11,95.0,0.18750990942829723,0.18797648830726438,0.25262557012350284,0.21398397759451543,0.0,0.0,0.0
趋势整理再加速空头,趋势加速,2026-01,56,True,2025-12,55.0,0.1242870348203529,0.12413953651990797,0.1454579639153075,0.1459318014017332,0.0,0.0,0.0
趋势整理再加速空头,趋势加速,2026-02,72,True,2026-01,56.0,0.22535170492538725,0.22737781647343683,0.35712722624637167,0.3797722183243402,20.0,0.0,0.0
趋势整理再加速空头,趋势加速,2026-03,39,True,2026-02,72.0,0.14777468965773466,0.14778762607639429,0.18056237675226075,0.18068908511580054,0.0,0.0,0.0
趋势整理再加速空头,趋势加速,2026-04,49,True,2026-03,39.0,0.22421196140918098,0.2294107349367281,0.3589751620378476,0.3607929839920681,14.0,0.0,0.0
趋势整理再加速空头,趋势加速,2026-05,50,True,2026-04,49.0,0.2230931355427054,0.22488155885375025,0.34693981246756256,0.333195154938433,1.0,0.0,0.0
结构突破首次回踩多头,结构突破回踩,2025-12,167,True,2025-11,153.0,0.11344700781496925,0.11302429581132596,0.1307246221213237,0.12932019909874087,0.0,0.0,0.0
结构突破首次回踩多头,结构突破回踩,2026-01,158,True,2025-12,167.0,0.1619996855924507,0.16439585628538128,0.20961376394870362,0.19016477787228617,0.0,0.0,0.0
结构突破首次回踩多头,结构突破回踩,2026-02,130,True,2026-01,158.0,0.2036796135073474,0.2026958088222672,0.28480731347522953,0.2855194733224601,0.0,0.0,0.0
结构突破首次回踩多头,结构突破回踩,2026-03,175,True,2026-02,130.0,0.15242099206728435,0.1529174296929762,0.19230987941112937,0.19441206909746656,0.0,0.0,0.0
