expert,family,policy_key,tier,month,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-06,2,0,0.0,0.0,0.7357114230102177,0.0,0.0,-1.4714228460204355,1.4714228460204355,-0.7357114230102177
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2026-02,1,1,1.0,1.7124550554222264,0.0,999.0,999.0,1.7124550554222264,0.0,1.7124550554222264
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-06,2,1,0.5,1.714741469113497,0.1861981010035239,9.209231779872152,9.209231779872152,1.5285433681099732,0.1861981010035239,0.7642716840549866
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
