signal_i,direction,candidate_count,source_experts,chosen,deduplicated_count,month
38519,1,1,趋势回踩重新站稳多头,趋势回踩重新站稳多头,0,2025-06
39312,1,1,趋势回踩重新站稳多头,趋势回踩重新站稳多头,0,2025-06
39701,-1,1,趋势反抽失败空头,趋势反抽失败空头,0,2025-06
39964,-1,1,趋势反抽失败空头,趋势反抽失败空头,0,2025-06
47362,1,1,压缩后首次放量突破多头,压缩后首次放量突破多头,0,2025-07
71184,-1,1,欧美时段顺势延续空头,欧美时段顺势延续空头,0,2025-11
71932,-1,1,欧美时段顺势延续空头,欧美时段顺势延续空头,0,2025-11
81058,-1,1,BTC强于ETH背离修复空头,BTC强于ETH背离修复空头,0,2025-12
86524,-1,1,BTC强于ETH背离修复空头,BTC强于ETH背离修复空头,0,2026-01
87305,-1,1,BTC强于ETH背离修复空头,BTC强于ETH背离修复空头,0,2026-01
89702,-1,1,BTC强于ETH背离修复空头,BTC强于ETH背离修复空头,0,2026-01
97626,-1,1,区间扫高立即跌回空头,区间扫高立即跌回空头,0,2026-02
97869,1,1,趋势回踩重新站稳多头,趋势回踩重新站稳多头,0,2026-02
103123,-1,1,区间扫高立即跌回空头,区间扫高立即跌回空头,0,2026-03
103565,-1,1,区间扫高立即跌回空头,区间扫高立即跌回空头,0,2026-03
112113,-1,1,BTC强于ETH背离修复空头,BTC强于ETH背离修复空头,0,2026-04
113231,-1,1,趋势反抽失败空头,趋势反抽失败空头,0,2026-04
113727,-1,1,BTC强于ETH背离修复空头,BTC强于ETH背离修复空头,0,2026-04
114531,-1,1,BTC强于ETH背离修复空头,BTC强于ETH背离修复空头,0,2026-04
118716,1,1,压缩后首次放量突破多头,压缩后首次放量突破多头,0,2026-05
120537,1,1,压缩后首次放量突破多头,压缩后首次放量突破多头,0,2026-05
122456,-1,1,欧美时段顺势延续空头,欧美时段顺势延续空头,0,2026-05
128283,1,1,趋势回踩重新站稳多头,趋势回踩重新站稳多头,0,2026-06
129142,1,1,趋势回踩重新站稳多头,趋势回踩重新站稳多头,0,2026-06
