expert_id,expert,family,tier,policy_key,active_months,leave_one_active_month_out_min_net_R,leave_one_active_month_out_positive_share,neighbor_policies,positive_neighbor_share,watch_or_qualified_neighbor_share,seed_expert
0,趋势回踩重新站稳多头,趋势回踩,CANDIDATE,e024946a7a7bbea6,2,0.24132461664206106,1.0,3,1.0,0.0,False
1,趋势反抽失败空头,趋势回踩,CANDIDATE,da51c7f197a1b096,2,-1.2870177022047267,0.5,3,1.0,0.0,False
2,EMA21回踩收回多头,均线回踩,REJECTED,57c6d8ed313f7b81,0,0.0,0.0,3,0.0,0.0,False
3,EMA21反抽受阻空头,均线回踩,REJECTED,4916a4f4be16d2e4,0,0.0,0.0,3,0.0,0.0,False
4,VWAP重新站回多头,VWAP回归,REJECTED,acb95ebbfdc22945,1,0.0,0.0,3,0.6666666666666666,0.0,False
5,VWAP反抽失败空头,VWAP回归,REJECTED,35c08857a5339946,0,0.0,0.0,3,0.0,0.0,False
6,阻力转支撑确认多头,结构角色转换,REJECTED,39f3e3b0e2915467,0,0.0,0.0,3,0.0,0.0,False
7,支撑转阻力确认空头,结构角色转换,REJECTED,174e74ff24ab77a4,0,0.0,0.0,3,0.0,0.0,False
8,缩量回踩恢复多头,量价回踩,REJECTED,612581c35b84da3c,0,0.0,0.0,3,0.0,0.0,False
9,缩量反抽恢复空头,量价回踩,REJECTED,b55421f3522a3f16,0,0.0,0.0,3,0.0,0.0,False
10,欧美时段顺势延续多头,时段延续,REJECTED,792c97e8b4c0b8eb,1,0.0,0.0,3,1.0,0.0,False
11,欧美时段顺势延续空头,时段延续,REJECTED,4337d47dd551514a,1,0.0,0.0,3,0.6666666666666666,0.0,False
12,区间扫低立即收回多头,流动性反转,REJECTED,85bcae0edbb1c312,1,0.0,0.0,3,1.0,0.0,False
13,区间扫高立即跌回空头,流动性反转,REJECTED,9725d216812a9017,2,-1.3044368488991718,0.5,3,0.6666666666666666,0.0,False
14,扫低后确认K多头,流动性确认,REJECTED,3bd6a29bd8ffd119,1,0.0,0.0,3,1.0,0.0,False
15,扫高后确认K空头,流动性确认,REJECTED,2605712f51fd787a,0,0.0,0.0,3,0.0,0.0,False
16,区间二次测试不破多头,二次测试,REJECTED,5911315f52956132,1,0.0,0.0,3,0.6666666666666666,0.0,False
17,区间二次测试不破空头,二次测试,REJECTED,f58e1769c9572a4e,0,0.0,0.0,3,0.0,0.0,False
18,扫低后站回VWAP多头,流动性VWAP,REJECTED,8faa2dfdd58009bb,0,0.0,0.0,3,0.0,0.0,False
19,扫高后跌破VWAP空头,流动性VWAP,REJECTED,98c02f47708ca242,0,0.0,0.0,3,0.0,0.0,False
20,BTC弱于ETH背离修复多头,跨资产背离,REJECTED,afac444025613291,0,0.0,0.0,3,0.0,0.0,False
21,BTC强于ETH背离修复空头,跨资产背离,CANDIDATE,9a19b379445c8be4,3,1.8088535084280564,1.0,3,1.0,0.0,True
22,压缩后首次放量突破多头,波动扩张,REJECTED,637dd7099e42148f,0,0.0,0.0,3,0.0,0.0,False
23,压缩后首次放量突破空头,波动扩张,REJECTED,3efd7aa105a06c7b,0,0.0,0.0,3,0.0,0.0,False
24,向下假突破回区间多头,假突破反转,REJECTED,542ba276eec5abee,0,0.0,0.0,3,0.0,0.0,False
25,向上假突破回区间空头,假突破反转,REJECTED,5f2fe4ee3fec03dd,0,0.0,0.0,3,0.0,0.0,False
26,资金费率极端回归多头,衍生品反转,REJECTED,fcc89570f6af5d59,0,0.0,0.0,3,0.0,0.0,False
27,资金费率极端回归空头,衍生品反转,REJECTED,b02aa80e33f81c12,1,0.0,0.0,3,0.0,0.0,False
28,合约溢价极端修复多头,基差反转,REJECTED,61c7503426bc984b,0,0.0,0.0,3,0.0,0.0,False
29,合约溢价极端修复空头,基差反转,REJECTED,9cc0c5de692aa62f,0,0.0,0.0,3,0.0,0.0,False
30,欧美开盘区间突破多头,开盘突破,REJECTED,7ec50392647cebba,1,0.0,0.0,3,0.0,0.0,False
31,欧美开盘区间突破空头,开盘突破,REJECTED,8f89911d444a7852,0,0.0,0.0,3,0.0,0.0,False
32,BTC强于ETH且溢价回落空头,跨资产衍生品,REJECTED,ad7bf81694ad15d4,0,0.0,0.0,3,0.0,0.0,False
33,BTC强于ETH且主动卖盘空头,跨资产订单流,REJECTED,42cf6b5ef39eefab,1,0.0,0.0,3,1.0,0.0,False
34,BTC强于ETH欧美盘修复空头,跨资产时段,REJECTED,b64b02e61a1dfe58,1,0.0,0.0,3,0.0,0.0,False
35,ETH先跌BTC滞后补跌空头,跨资产领先滞后,REJECTED,2ab044d21e95dd83,0,0.0,0.0,3,0.0,0.0,False
36,BTC弱于ETH且溢价回升多头,跨资产衍生品,REJECTED,d9882e2d61ed9961,0,0.0,0.0,3,0.0,0.0,False
37,ETH先涨BTC滞后补涨多头,跨资产领先滞后,REJECTED,b021b98c7d027d39,1,0.0,0.0,3,1.0,0.0,False
38,跨资产背离后VWAP失守空头,跨资产VWAP,REJECTED,47d7edd201629376,0,0.0,0.0,3,0.0,0.0,False
39,跨资产背离后VWAP收回多头,跨资产VWAP,REJECTED,1d3bb2983569000d,0,0.0,0.0,3,0.0,0.0,False
