expert,family,policy_key,tier,month,raw_candidates,model_available,calibration_month,calibration_rows,calibration_brier,meta_brier,avg_win_r,avg_loss_r,sample_uncertainty_penalty,calibration_mean,calibration_utility_mean,eval_mean,eval_utility_mean,after_rank,meta_support,meta_neutral,meta_reject,after_soft_meta,after_positive_utility,after_cap
趋势回踩重新站稳多头,趋势回踩,e024946a7a7bbea6,CANDIDATE,2025-05,336,True,2025-04,391.0,0.1395587776510962,0.14128926480387793,1.7129735461722195,0.872070602536656,0.02781469555832955,0.1713142371435226,-0.494420158306898,0.17158002836112804,-0.4938757094315293,80.0,0.0,0.0,80.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,e024946a7a7bbea6,CANDIDATE,2025-06,317,True,2025-05,336.0,0.23236225969728302,0.2333968108440534,1.713265347121272,0.9780614583462294,0.030004959907448957,0.37209476259721985,-0.05488186745676967,0.3840484625276982,-0.030231856657455407,86.0,0.0,86.0,0.0,86.0,23.0,3.0
趋势回踩重新站稳多头,趋势回踩,e024946a7a7bbea6,CANDIDATE,2025-07,119,True,2025-06,317.0,0.17544672833664512,0.17547580343103278,1.4835636883716183,0.9517258007751866,0.030891077596595175,0.22713178223193906,-0.47140729173200663,0.22898410315223533,-0.46814303985050537,30.0,0.0,0.0,30.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,e024946a7a7bbea6,CANDIDATE,2025-08,154,True,2025-07,119.0,0.15433876512880262,0.1556948476218862,1.712765924396424,1.1597499820867603,0.05041841733655163,0.19330343585576343,-0.6942257487515828,0.20427026652882435,-0.6704301231820957,57.0,0.0,0.0,57.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,e024946a7a7bbea6,CANDIDATE,2025-09,305,True,2025-08,154.0,0.11295053627059148,0.11275720631628053,1.7127951558948733,1.0531810979299046,0.04432026302139592,0.1299133533607879,-0.7717570195219218,0.12957427411804903,-0.7727791867935974,63.0,0.0,0.0,63.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,e024946a7a7bbea6,CANDIDATE,2025-10,324,True,2025-09,305.0,0.16288065324623138,0.16269104712652788,1.7127813251655213,0.8630607626520157,0.03149290838726276,0.20659531514873383,-0.4028140817630547,0.20130988887657691,-0.41357882340533275,55.0,0.0,0.0,55.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,e024946a7a7bbea6,CANDIDATE,2025-11,189,True,2025-10,324.0,0.22478182609166264,0.22520826792560006,1.712794726306074,0.9398673237920514,0.030555555555555558,0.34264459770777395,-0.10892306137729536,0.33209413665664783,-0.13010971325811546,33.0,0.0,33.0,0.0,33.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,e024946a7a7bbea6,CANDIDATE,2025-12,294,True,2025-11,189.0,0.2079709637956012,0.20742884859765434,1.712653632289158,0.9716916371379362,0.040006613209931936,0.2962977899076659,-0.2619323455505278,0.28939865489890926,-0.276512884960823,25.0,0.0,0.0,25.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,e024946a7a7bbea6,CANDIDATE,2026-01,243,True,2025-12,294.0,0.196287253918351,0.19831917318657233,1.7137081513167036,0.9189937930124975,0.032076651393589235,0.2755351397372885,-0.2699707721484496,0.25878172137007305,-0.3033990561896613,28.0,0.0,0.0,28.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,e024946a7a7bbea6,CANDIDATE,2026-02,165,True,2026-01,243.0,0.14856006360823973,0.15894584182595864,1.7126673783428645,0.9295964337650998,0.035282516450477135,0.21811666474896255,-0.4271135498884876,0.2025236917107702,-0.4625458966959305,32.0,0.0,2.0,30.0,2.0,1.0,1.0
