signal_i,exit_i,direction,expert_id,expert,family,setup_group,base_probability,probability,online_percentile,router,micro,meta_probability,meta_decision,expected_utility,utility,net_r,win,reason,day,cycle,policy_key,month,tier
38519,38587,1,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,0.04426435207371476,0.4418285731800433,0.9952038369304557,0.8691553654374757,0.5328118088073177,0.3822169803248795,NEUTRAL,0.17093505463275138,0.09272612604042306,-0.7575122510686786,False,4,2025-06-08,643,e024946a7a7bbea6,2025-06,CANDIDATE
39312,39378,1,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,0.03866323038579837,0.44648749043764546,0.9896907216494846,0.8538499948295741,0.6889489342339976,0.37493012958238314,NEUTRAL,0.17543623212495085,0.09722730353262253,-0.7139105949517568,False,4,2025-06-11,677,e024946a7a7bbea6,2025-06,CANDIDATE
43101,43144,1,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,0.02731728432635586,0.45837657467407494,0.9966216216216216,0.8591408058886378,0.7552478003618104,0.37215222739764614,NEUTRAL,0.19756522979523639,0.11935630120290806,1.7127474626624966,True,1,2025-06-25,728,e024946a7a7bbea6,2025-06,CANDIDATE
97869,97897,1,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,0.18666094230978833,0.44742822004812904,0.9801324503311258,0.864978671639417,0.6891919585927107,0.3184089059603231,NEUTRAL,0.16740119441465062,0.09357518777345,1.7124550554222264,True,1,2026-02-14,1514,e024946a7a7bbea6,2026-02,CANDIDATE
39701,39710,-1,1,趋势反抽失败空头,趋势回踩,趋势反抽,0.131986780486596,0.4219035495638404,0.9691780821917808,0.9052900714623986,0.8830962467211367,0.38877691553202826,NEUTRAL,0.1980994910081625,0.11541493281432494,-0.1861981010035239,False,2,2025-06-12,489,da51c7f197a1b096,2025-06,CANDIDATE
39964,39986,-1,1,趋势反抽失败空头,趋势回踩,趋势反抽,0.1942507850036972,0.4115983404334488,0.8947368421052632,0.8789140002188361,0.7140928641285791,0.39124646193103907,NEUTRAL,0.17970617882266482,0.09702162062882727,1.714741469113497,True,1,2025-06-13,497,da51c7f197a1b096,2025-06,CANDIDATE
113231,113260,-1,1,趋势反抽失败空头,趋势回踩,趋势反抽,0.6312931206345062,0.4257213899620677,0.9895104895104895,0.8790274347219713,0.6890869323363702,0.3352260466438771,NEUTRAL,0.11463049516353996,0.03322323088066964,-1.2870177022047267,False,2,2026-04-12,1730,da51c7f197a1b096,2026-04,CANDIDATE
81058,81084,-1,21,BTC强于ETH背离修复空头,跨资产背离,BTCETH背离,0.15798379423163658,0.4283965626961125,0.8113207547169812,0.5391596279699132,0.6219557484654006,0.3596012992306042,NEUTRAL,0.3494256299575372,0.2152617336019586,1.890496985958381,True,1,2025-12-11,280,fca571982b7c88a0,2025-12,CANDIDATE
89703,89704,-1,21,BTC强于ETH背离修复空头,跨资产背离,BTCETH背离,0.19983971432642617,0.4076751046207133,0.9375,0.5269858245318149,0.6335410344968728,0.32664491718586686,NEUTRAL,0.19430826771212917,0.03270163654734526,-1.2651195544318625,False,2,2026-01-14,295,fca571982b7c88a0,2026-01,CANDIDATE
94026,94032,-1,21,BTC强于ETH背离修复空头,跨资产背离,BTCETH背离,0.11015108961194912,0.5012431359502408,1.0,0.8295641425201912,0.6367347187065682,0.32051698077526813,NEUTRAL,0.3870429626214231,0.22543633145663922,-0.08164347753032455,False,2,2026-01-30,304,fca571982b7c88a0,2026-01,CANDIDATE
112113,112118,-1,21,BTC强于ETH背离修复空头,跨资产背离,BTCETH背离,0.44109509080304804,0.40490301077025725,0.8571428571428571,0.5247359190577253,0.8019318191574336,0.3518636909468548,NEUTRAL,0.3812806734483217,0.2207156356421665,1.8527370445175673,True,1,2026-04-08,347,fca571982b7c88a0,2026-04,CANDIDATE
113727,113733,-1,21,BTC强于ETH背离修复空头,跨资产背离,BTCETH背离,0.413674626398174,0.39266361597202326,0.84375,0.5191697223300527,0.7498393752757464,0.3510697966783391,NEUTRAL,0.3582124325276514,0.19764739472149617,1.8619666030568092,True,1,2026-04-14,351,fca571982b7c88a0,2026-04,CANDIDATE
114531,114542,-1,21,BTC强于ETH背离修复空头,跨资产背离,BTCETH背离,0.44653418532907546,0.40732464617868314,0.8823529411764706,0.5365942304273893,0.7124072532528167,0.3509815937402566,NEUTRAL,0.3852058138681698,0.2246407760620146,-1.194673848969825,False,2,2026-04-17,353,fca571982b7c88a0,2026-04,CANDIDATE
128283,128294,1,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,0.232503988628243,0.49326081261477706,0.831081081081081,0.8704887474667455,0.6590326778887712,0.462059755231358,NEUTRAL,0.35358799874560015,0.27062190941987324,-1.2861155229901091,False,2,2026-06-08,2022,e024946a7a7bbea6,2026-06,CANDIDATE
129142,129150,1,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,0.20311171775924194,0.5130982756757072,0.9246987951807228,0.8743831622120702,0.6211619600575826,0.46048625565072726,NEUTRAL,0.39184445643285776,0.30887836710713085,-1.2861122091092716,False,2,2026-06-12,2036,e024946a7a7bbea6,2026-06,CANDIDATE
130039,130043,1,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,0.23781385925657733,0.48986795022596774,0.8602941176470589,0.8636416135106242,0.6960321516631147,0.46575375342904846,NEUTRAL,0.3493062908080612,0.2663402014823343,-1.2860845852220788,False,2,2026-06-15,2077,e024946a7a7bbea6,2026-06,CANDIDATE
