expert_a,tier_a,expert_b,tier_b,signal_overlap,loss_overlap,return_correlation,compatible
趋势回踩重新站稳多头,CANDIDATE,趋势反抽失败空头,CANDIDATE,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,EMA21回踩收回多头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,EMA21反抽受阻空头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,VWAP重新站回多头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,VWAP反抽失败空头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,阻力转支撑确认多头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,支撑转阻力确认空头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,缩量回踩恢复多头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,缩量反抽恢复空头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,欧美时段顺势延续多头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,欧美时段顺势延续空头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,区间扫低立即收回多头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,区间扫高立即跌回空头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,扫低后确认K多头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,扫高后确认K空头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,区间二次测试不破多头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,区间二次测试不破空头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,扫低后站回VWAP多头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,扫高后跌破VWAP空头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,BTC弱于ETH背离修复多头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,BTC强于ETH背离修复空头,CANDIDATE,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,压缩后首次放量突破多头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,压缩后首次放量突破空头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,向下假突破回区间多头,REJECTED,0.0,0.0,0.0,True
趋势回踩重新站稳多头,CANDIDATE,向上假突破回区间空头,REJECTED,0.0,0.0,0.0,True
