expert_id,expert,family,tier,selected_research,selected_qualified,candidate_shadow_only,policy_key,selection_status,selection_reason,mature_policy_available,mature_policy_protected,selected_cluster_robust,rejection_reason,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,shrunk_win_rate,wilson_lower,active_months,positive_months,worst_month_R,max_single_month_profit_share,max_trades_single_month,valid_blocks,positive_blocks,max_single_trade_profit_share,best_trade_removed_net_R,best_two_trades_removed_net_R,loo_month_min_net_R,loo_month_positive_share,cluster_robust,legacy_v963_tier
0,趋势回踩重新站稳多头,趋势回踩,CANDIDATE,False,False,True,e024946a7a7bbea6,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,True,总交易不足|活跃月份不足|有效三个月验证块不足|正收益验证块不足|收缩后胜率不足|95%胜率可信下界不足|利润过度依赖单笔|利润过度依赖单月,4,2,0.5,1.7126012590423616,0.7357114230102177,2.327816594222673,2.327816594222673,1.9537796720642875,1.4714228460204355,0.48844491801607187,0.5,0.15003570882017145,2,2,0.0,0.8764831981350861,3,1,1,0.5000426846644433,0.24103220940179104,-1.4714228460204355,0.24132461664206106,1.0,True,CANDIDATE
1,趋势反抽失败空头,趋势回踩,CANDIDATE,False,False,True,da51c7f197a1b096,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|有效三个月验证块不足|正收益验证块不足|收缩后胜率不足|95%胜率可信下界不足|盈利因子不足|删除最佳交易后不再盈利|逐月删除稳定性不足|利润过度依赖单笔|利润过度依赖单月|参数簇不稳健,3,1,0.3333333333333333,1.714741469113497,0.7366079016041254,2.3278890511210526,1.1639445255605263,0.24152566590524627,1.2870177022047269,0.08050855530174876,0.45454545454545453,0.061490315276160515,2,1,-1.2870177022047269,1.0,2,0,0,1.0,-1.4732158032082507,-1.2870177022047269,-1.2870177022047269,0.5,False,CANDIDATE
2,EMA21回踩收回多头,均线回踩,REJECTED,False,False,False,57c6d8ed313f7b81,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
3,EMA21反抽受阻空头,均线回踩,REJECTED,False,False,False,4916a4f4be16d2e4,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
4,VWAP重新站回多头,VWAP回归,REJECTED,False,False,False,acb95ebbfdc22945,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足,3,1,0.3333333333333333,1.7126581552271538,0.18629248840145973,9.193382781684578,4.596691390842289,1.3400731784242343,0.37258497680291947,0.4466910594747448,0.45454545454545453,0.061490315276160515,1,1,0.0,1.0,3,1,1,1.0,-0.37258497680291947,-0.1863037470263188,0.0,0.0,False,REJECTED
5,VWAP反抽失败空头,VWAP回归,REJECTED,False,False,False,eac17b2dead99d38,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,1,0,0.0,0.0,1.2867426162505466,0.0,0.0,-1.2867426162505466,1.2867426162505466,-1.2867426162505466,0.4444444444444444,0.0,1,0,-1.2867426162505466,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
6,阻力转支撑确认多头,结构角色转换,REJECTED,False,False,False,39f3e3b0e2915467,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
7,支撑转阻力确认空头,结构角色转换,REJECTED,False,False,False,7dd21da10b8889b6,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,3,0,0.0,0.0,1.26137362228166,0.0,0.0,-3.78412086684498,3.78412086684498,-1.26137362228166,0.36363636363636365,0.0,1,0,-3.78412086684498,0.0,3,1,0,0.0,-2.57351882221661,-1.286771640723197,0.0,0.0,False,REJECTED
8,缩量回踩恢复多头,量价回踩,REJECTED,False,False,False,612581c35b84da3c,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
9,缩量反抽恢复空头,量价回踩,REJECTED,False,False,False,b55421f3522a3f16,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
10,欧美时段顺势延续多头,时段延续,REJECTED,False,False,False,792c97e8b4c0b8eb,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足,3,1,0.3333333333333333,1.7124662965841884,0.7217092497815238,2.3727925021088296,1.1863962510544148,0.2690477970211407,1.4434184995630477,0.08968259900704689,0.45454545454545453,0.061490315276160515,1,1,0.0,1.0,3,1,1,1.0,-1.4434184995630477,-1.256824068753823,0.0,0.0,False,REJECTED
11,欧美时段顺势延续空头,时段延续,REJECTED,False,False,False,1de21fc96eaf5c68,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足,3,1,0.3333333333333333,1.7147203332269656,0.7364959219251977,2.3282142944453685,1.1641071472226843,0.2417284893765701,1.2867753638267083,0.08057616312552336,0.45454545454545453,0.061490315276160515,1,1,0.0,1.0,3,1,1,1.0,-1.4729918438503955,-1.2867753638267083,0.0,0.0,False,REJECTED
12,区间扫低立即收回多头,流动性反转,REJECTED,False,False,False,52f3fa47b619e482,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,True,活跃月份不足,3,1,0.3333333333333333,1.6952141234818747,0.20383827705439578,8.316466112149751,4.1582330560748755,1.2875375693730833,0.40767655410879156,0.42917918979102776,0.45454545454545453,0.061490315276160515,1,1,0.0,1.0,3,0,0,1.0,-0.40767655410879156,-0.203839808850737,0.0,0.0,True,REJECTED
13,区间扫高立即跌回空头,流动性反转,REJECTED,False,False,False,77df21d40787c7a0,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,盈利因子不足|累计净R不足,4,1,0.25,1.6971219202291914,0.5707180076475533,2.9736610681421647,0.9912203560473881,-0.015032102713468581,1.3044368488991718,-0.0037580256783671454,0.4166666666666667,0.045586062644636216,2,1,-1.3044368488991718,1.0,3,1,0,1.0,-1.71215402294266,-1.5083088058524872,-1.3044368488991718,0.5,False,REJECTED
14,扫低后确认K多头,流动性确认,REJECTED,False,False,False,2a8da9b9f57c9899,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足,3,1,0.3333333333333333,1.695217252201079,0.7535713398396482,2.2495776611698144,1.1247888305849072,0.18807457252178275,1.3032730625724,0.06269152417392758,0.45454545454545453,0.061490315276160515,1,1,0.0,1.0,3,0,0,1.0,-1.5071426796792964,-1.3032730625724,0.0,0.0,False,REJECTED
15,扫高后确认K空头,流动性确认,REJECTED,False,False,False,2605712f51fd787a,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
16,区间二次测试不破多头,二次测试,REJECTED,False,False,False,5911315f52956132,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足,3,1,0.3333333333333333,1.6953878014577437,0.75342307155603,2.2502467278527747,1.1251233639263873,0.1885416583456836,1.50684614311206,0.0628472194485612,0.45454545454545453,0.061490315276160515,1,1,0.0,1.0,3,1,1,1.0,-1.50684614311206,-1.303140432793482,0.0,0.0,False,REJECTED
17,区间二次测试不破空头,二次测试,REJECTED,False,False,False,add1fc0880238799,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,盈利因子不足|累计净R不足,4,1,0.25,1.6971258918416483,0.9375424739284869,1.8101856065574906,0.6033952021858302,-1.1155015299438122,1.5082074631929385,-0.27887538248595306,0.4166666666666667,0.045586062644636216,2,1,-1.3043699315826711,1.0,3,1,0,1.0,-2.8126274217854608,-2.608789890175193,-1.3043699315826711,0.5,False,REJECTED
