month,signal_i,exit_i,day,net_r,win,probability,online_percentile,meta_probability,meta_decision,raw_expected_utility,evidence_weight,calibration_weight,reliability_weight,evidence_utility,signal_class,allocation_bucket,selected,first_reject_stage
2025-07,46991,47015,2025-07-09,-0.17070497156980752,False,0.3988605210759058,0.8620689655172413,0.35916167632057105,NEUTRAL,0.24703987948665634,0.5384615384615384,0.65,0.35,0.08646395782032971,NEUTRAL,NEUTRAL,True,SELECTED
2025-07,46992,47005,2025-07-09,-0.17070601868161106,False,0.38469009643321006,0.8333333333333334,0.3573733551751862,NEUTRAL,0.21827966771783913,0.5384615384615384,0.65,0.35,0.07639788370124369,NEUTRAL,NEUTRAL,False,POSITION_OVERLAP
2025-07,47334,47358,2025-07-11,-1.27123368019497,False,0.3985835723078632,0.8387096774193549,0.3555331944166258,NEUTRAL,0.2441447915428922,0.5384615384615384,0.65,0.35,0.08545067704001226,NEUTRAL,NEUTRAL,True,SELECTED
2025-07,47460,47484,2025-07-14,-1.2712125542859891,False,0.3922165847878344,0.8181818181818182,0.35602501888807503,NEUTRAL,0.23206335487565571,0.5384615384615384,0.65,0.35,0.0812221742064795,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2025-07,47461,47482,2025-07-14,-1.2712126683671485,False,0.41344396516277415,0.9411764705882353,0.354499948809773,NEUTRAL,0.27241700874681196,0.5384615384615384,0.65,0.35,0.09534595306138419,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2025-12,78371,78376,2025-12-01,-1.2483246791386824,False,0.4340055032241077,0.8571428571428571,0.3665815983296189,NEUTRAL,0.3648775414785033,0.6190476190476191,0.65,0.4023809523809524,0.14681977264254062,NEUTRAL,NEUTRAL,True,SELECTED
2025-12,81055,81084,2025-12-11,1.8958571511706412,True,0.3791973936295041,0.803921568627451,0.3626934087080852,NEUTRAL,0.2556350095108538,0.6190476190476191,0.65,0.4023809523809524,0.10286265858889117,NEUTRAL,NEUTRAL,True,SELECTED
2025-12,81058,81084,2025-12-11,1.890496985958381,True,0.42839656269611254,0.8679245283018868,0.3596012992306042,NEUTRAL,0.3494256299575373,0.6190476190476191,0.65,0.4023809523809524,0.1406022177686281,NEUTRAL,NEUTRAL,False,POSITION_OVERLAP
2026-01,86524,86538,2026-01-02,1.8837997881465247,True,0.3799471579399241,1.0,0.3184094017426857,NEUTRAL,0.13013779587024232,0.4782608695652174,0.65,0.31086956521739134,0.04045588002053186,NEUTRAL,NEUTRAL,True,SELECTED
2026-01,87301,87303,2026-01-05,-1.271348763189079,False,0.319306748925585,0.875,0.3247078495192425,NEUTRAL,0.006861969303144977,0.4782608695652174,0.65,0.31086956521739134,0.0021331774138037647,NEUTRAL,NEUTRAL,True,SELECTED
2026-01,87305,87322,2026-01-05,1.8321953397565938,True,0.36760392815462356,0.96,0.32070566074460527,NEUTRAL,0.10575717534776796,0.4782608695652174,0.65,0.31086956521739134,0.03287668711898004,NEUTRAL,NEUTRAL,False,MARKET_CLUSTER_DUPLICATE
2026-01,89434,89436,2026-01-13,-0.17080459542339413,False,0.3532851336304587,0.8928571428571429,0.32532619168333826,NEUTRAL,0.07884788749615534,0.4782608695652174,0.65,0.31086956521739134,0.0245114085042396,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-01,89436,89441,2026-01-13,-1.2713556731613804,False,0.35613384911750967,0.896551724137931,0.32292355318852906,NEUTRAL,0.08316023254464988,0.4782608695652174,0.65,0.31086956521739134,0.025851985334532465,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-01,89494,89513,2026-01-13,-1.271343544511908,False,0.35696632175707343,0.9333333333333333,0.32548520543962717,NEUTRAL,0.08671137243348803,0.4782608695652174,0.65,0.31086956521739134,0.026955926647801717,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-01,89702,89704,2026-01-14,-1.2643270542932266,False,0.38449573646316265,1.0,0.32779272559141814,NEUTRAL,0.14630270538101064,0.4782608695652174,0.65,0.31086956521739134,0.04548105841192288,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
