expert_id,expert,policy_key,tier,risk_multiplier,execution_mode,signal_selection_independent_of_tier,portfolio_eligible,formal_eligible,candidate_shadow_only
0,趋势回踩重新站稳多头,e024946a7a7bbea6,CANDIDATE,0.0,PURE_SHADOW,True,False,False,True
1,趋势反抽失败空头,da51c7f197a1b096,CANDIDATE,0.0,PURE_SHADOW,True,False,False,True
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,0.0,DISABLED,True,False,False,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,0.0,DISABLED,True,False,False,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,0.0,DISABLED,True,False,False,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,0.0,DISABLED,True,False,False,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,0.0,DISABLED,True,False,False,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,0.0,DISABLED,True,False,False,False
8,缩量回踩恢复多头,612581c35b84da3c,REJECTED,0.0,DISABLED,True,False,False,False
9,缩量反抽恢复空头,b55421f3522a3f16,REJECTED,0.0,DISABLED,True,False,False,False
10,欧美时段顺势延续多头,792c97e8b4c0b8eb,REJECTED,0.0,DISABLED,True,False,False,False
11,欧美时段顺势延续空头,1de21fc96eaf5c68,REJECTED,0.0,DISABLED,True,False,False,False
12,区间扫低立即收回多头,52f3fa47b619e482,REJECTED,0.0,DISABLED,True,False,False,False
13,区间扫高立即跌回空头,77df21d40787c7a0,REJECTED,0.0,DISABLED,True,False,False,False
14,扫低后确认K多头,2a8da9b9f57c9899,REJECTED,0.0,DISABLED,True,False,False,False
15,扫高后确认K空头,2605712f51fd787a,REJECTED,0.0,DISABLED,True,False,False,False
16,区间二次测试不破多头,5911315f52956132,REJECTED,0.0,DISABLED,True,False,False,False
17,区间二次测试不破空头,add1fc0880238799,REJECTED,0.0,DISABLED,True,False,False,False
18,扫低后站回VWAP多头,8faa2dfdd58009bb,REJECTED,0.0,DISABLED,True,False,False,False
19,扫高后跌破VWAP空头,98c02f47708ca242,REJECTED,0.0,DISABLED,True,False,False,False
20,BTC弱于ETH背离修复多头,afac444025613291,REJECTED,0.0,DISABLED,True,False,False,False
21,BTC强于ETH背离修复空头,fca571982b7c88a0,CANDIDATE,0.0,PURE_SHADOW,True,False,False,True
22,压缩后首次放量突破多头,637dd7099e42148f,REJECTED,0.0,DISABLED,True,False,False,False
23,压缩后首次放量突破空头,59bcc3e64f2c7f94,REJECTED,0.0,DISABLED,True,False,False,False
24,向下假突破回区间多头,d5f361a753574b48,REJECTED,0.0,DISABLED,True,False,False,False
25,向上假突破回区间空头,5f2fe4ee3fec03dd,REJECTED,0.0,DISABLED,True,False,False,False
26,资金费率极端回归多头,fcc89570f6af5d59,REJECTED,0.0,DISABLED,True,False,False,False
27,资金费率极端回归空头,ab1a7bf6d11e9bd8,REJECTED,0.0,DISABLED,True,False,False,False
28,合约溢价极端修复多头,48c0a571f023845e,REJECTED,0.0,DISABLED,True,False,False,False
29,合约溢价极端修复空头,9cc0c5de692aa62f,REJECTED,0.0,DISABLED,True,False,False,False
30,欧美开盘区间突破多头,f9b0b97528e653e7,REJECTED,0.0,DISABLED,True,False,False,False
31,欧美开盘区间突破空头,8f89911d444a7852,REJECTED,0.0,DISABLED,True,False,False,False
32,BTC强于ETH且溢价回落空头,ad7bf81694ad15d4,REJECTED,0.0,DISABLED,True,False,False,False
33,BTC强于ETH且主动卖盘空头,16e8ea0e0b751d8b,REJECTED,0.0,DISABLED,True,False,False,False
34,BTC强于ETH欧美盘修复空头,d9d64c6080c7757b,REJECTED,0.0,DISABLED,True,False,False,False
35,ETH先跌BTC滞后补跌空头,1988519d498cd703,REJECTED,0.0,DISABLED,True,False,False,False
36,BTC弱于ETH且溢价回升多头,d9882e2d61ed9961,REJECTED,0.0,DISABLED,True,False,False,False
37,ETH先涨BTC滞后补涨多头,6387acc3c2ec918d,REJECTED,0.0,DISABLED,True,False,False,False
38,跨资产背离后VWAP失守空头,47d7edd201629376,REJECTED,0.0,DISABLED,True,False,False,False
39,跨资产背离后VWAP收回多头,1d3bb2983569000d,REJECTED,0.0,DISABLED,True,False,False,False
