expert_id,expert,family,selected_policy_key,selected_tier,selected_trades,selected_active_months,legacy_score_winner_key,legacy_score_winner_tier,legacy_score_winner_trades,policy_changed_by_evidence_rule,selection_reason,mature_policy_available,mature_policy_protected,preferred_seed_anchor_available,selected_cluster_robust
0,趋势回踩重新站稳多头,趋势回踩,e024946a7a7bbea6,CANDIDATE,4,2,e024946a7a7bbea6,CANDIDATE,4,False,evidence_first,False,False,False,True
1,趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,3,2,da51c7f197a1b096,CANDIDATE,3,False,evidence_first,False,False,False,False
2,EMA21回踩收回多头,均线回踩,57c6d8ed313f7b81,REJECTED,0,0,57c6d8ed313f7b81,REJECTED,0,False,evidence_first,False,False,False,False
3,EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,0,0,4916a4f4be16d2e4,REJECTED,0,False,evidence_first,False,False,False,False
4,VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,3,1,acb95ebbfdc22945,REJECTED,3,False,evidence_first,False,False,False,False
5,VWAP反抽失败空头,VWAP回归,eac17b2dead99d38,REJECTED,1,1,35c08857a5339946,REJECTED,0,True,evidence_first,False,False,False,False
6,阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,0,0,39f3e3b0e2915467,REJECTED,0,False,evidence_first,False,False,False,False
7,支撑转阻力确认空头,结构角色转换,7dd21da10b8889b6,REJECTED,3,1,174e74ff24ab77a4,REJECTED,0,True,evidence_first,False,False,False,False
8,缩量回踩恢复多头,量价回踩,612581c35b84da3c,REJECTED,0,0,612581c35b84da3c,REJECTED,0,False,evidence_first,False,False,False,False
9,缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,0,0,b55421f3522a3f16,REJECTED,0,False,evidence_first,False,False,False,False
10,欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,3,1,792c97e8b4c0b8eb,REJECTED,3,False,evidence_first,False,False,False,False
11,欧美时段顺势延续空头,时段延续,1de21fc96eaf5c68,REJECTED,3,1,4337d47dd551514a,REJECTED,2,True,evidence_first,False,False,False,False
