expert,family,tier,month,calibration_mean,eval_mean,probability_drift,calibration_utility_mean,eval_utility_mean,utility_drift
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-05,0.1713142371435226,0.171580028361128,0.0002657912176054211,-0.494420158306898,-0.4938757094315293,0.0005444488753686971
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-06,0.37209476259721985,0.3840484625276982,0.011953699930478345,-0.054881867456769685,-0.030231856657455414,0.02465001079931427
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-07,0.22713178223193906,0.22898410315223533,0.0018523209202962743,-0.47140729173200674,-0.46814303985050537,0.0032642518815013677
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-08,0.19330343585576343,0.20427026652882438,0.010966830673060951,-0.6942257487515828,-0.6704301231820957,0.02379562556948711
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-09,0.1299133533607879,0.12957427411804903,-0.0003390792427388767,-0.7717570195219218,-0.7727791867935974,-0.0010221672716755892
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-10,0.20659531514873383,0.20130988887657691,-0.005285426272156918,-0.4028140817630547,-0.41357882340533275,-0.01076474164227803
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-11,0.34264459770777395,0.33209413665664783,-0.010550461051126114,-0.10892306137729502,-0.13010971325811507,-0.021186651880820057
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-12,0.2962977899076659,0.28939865489890926,-0.006899135008756663,-0.2619323455505278,-0.27651288496082294,-0.014580539410295135
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2026-01,0.2755351397372885,0.25878172137007305,-0.016753418367215445,-0.26997077214844967,-0.3033990561896613,-0.03342828404121162
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2026-02,0.21811666474896255,0.20252369171077023,-0.01559297303819232,-0.4271135498884875,-0.4625458966959303,-0.03543234680744284
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2026-03,0.2424235601052774,0.23772987684952945,-0.004693683255747955,-0.40655174081881584,-0.4160686053342637,-0.009516864515447865
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2026-04,0.198274951577338,0.20096526663197983,0.0026903150546418453,-0.5044321092335036,-0.49888998438365106,0.005542124849852503
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2026-05,0.1856364878295121,0.16710490697246963,-0.018531580857042457,-0.5640825177636694,-0.6021689272398273,-0.038086409476157934
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-05,0.17948925968351886,0.16737626690078192,-0.012112992782736948,-0.5206721474006233,-0.54493876474087,-0.02426661734024671
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-06,0.39164889566860667,0.3851294053678805,-0.006519490300726183,0.05861090360462591,0.04589690784796455,-0.012713995756661357
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-07,0.26595769391798263,0.25677861114166256,-0.009179082776320069,-0.24172410261977234,-0.2592188587570618,-0.017494756137289458
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-08,0.18398908087808458,0.17424467126370957,-0.009744409614375005,-0.48037676437533344,-0.49730722167559954,-0.0169304573002661
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-09,0.18654849191229653,0.16461737816493455,-0.02193111374736198,-0.47041377124851624,-0.5132575131212496,-0.04284374187273332
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-10,0.15491585421336523,0.15531608567448196,0.000400231461116729,-0.5712423145240495,-0.5698047258393706,0.0014375886846789143
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-11,0.2789122286425587,0.27966216130642607,0.0007499326638673587,-0.2275921380024633,-0.2261336396696322,0.0014584983328310985
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-12,0.25360308750990956,0.26032574791280183,0.0067226604028922665,-0.2724952711436849,-0.2593043374966849,0.01319093364699997
趋势反抽失败空头,趋势回踩,CANDIDATE,2026-01,0.12115524684291376,0.1213286972545663,0.00017345041165253705,-0.5339100069812038,-0.5333465334056174,0.0005634735755863929
趋势反抽失败空头,趋势回踩,CANDIDATE,2026-02,0.28856364594648426,0.29864525524816465,0.010081609301680394,-0.24400365941075883,-0.22498611718878184,0.01901754222197699
趋势反抽失败空头,趋势回踩,CANDIDATE,2026-03,0.29885141832674433,0.3024043885343271,0.003552970207582773,-0.20718058309592732,-0.19974948600969344,0.007431097086233879
趋势反抽失败空头,趋势回踩,CANDIDATE,2026-04,0.3138511666683107,0.27691964088648874,-0.03693152578182196,-0.20598279236956898,-0.28260743958237383,-0.07662464721280485
趋势反抽失败空头,趋势回踩,CANDIDATE,2026-05,0.27807578380925624,0.2824401581889627,0.004364374379706437,-0.21592657153188974,-0.20802260165267733,0.007903969879212408
EMA21回踩收回多头,均线回踩,REJECTED,2025-05,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-06,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-07,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-08,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-09,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-10,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-11,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-12,0.0,0.0,0.0,0.0,0.0,0.0
