expert_id,expert,policy_key,core_fixed_penalty_trades,core_fixed_penalty_wins,core_fixed_penalty_net_R,unified_rating_trades,unified_rating_wins,unified_rating_net_R,trade_count_delta,net_R_delta,core_signal_fingerprint,rating_signal_fingerprint,final_rating_source
0,趋势回踩重新站稳多头,e024946a7a7bbea6,4,2,1.9537796720642875,6,2,-0.6177160097773011,2,-2.5714956818415886,70a1b1730968ceb923f16f523f3739a61fb0b7fe3ee0a494527ec9bc4eb4ab99,2f3261a81bf88270d3bfa48fb72d63b6074018879ff377bf59595b65f4fe34e4,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
1,趋势反抽失败空头,da51c7f197a1b096,3,1,0.24152566590524627,6,1,-1.9151083650358196,3,-2.156634030941066,0a46b152c7e854736b82705bb40e8adf6e77b9868d5423333b316246c2e6ef63,9fea8bc4bd4ad604f8315bed0a371afcb1d4ada02e7ae856156d023107a10682,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
2,EMA21回踩收回多头,57c6d8ed313f7b81,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
3,EMA21反抽受阻空头,4916a4f4be16d2e4,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
4,VWAP重新站回多头,acb95ebbfdc22945,3,1,1.3400731784242343,3,1,1.3400731784242343,0,0.0,c7ae6aab6475891a2eadcec06c37f9fa5d30c1b5e0d80a9a8d70d303b7b51ee7,c7ae6aab6475891a2eadcec06c37f9fa5d30c1b5e0d80a9a8d70d303b7b51ee7,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
5,VWAP反抽失败空头,eac17b2dead99d38,1,0,-1.2867426162505466,3,0,-2.7596624005677963,2,-1.4729197843172497,b07458948311c1b4bf6c231e81ceaab3cfe8e979b066184dfc03d410e87eb8d4,ae8bd1eba77c93f372bf9b7f32e1cd13895a2e91efb410b93b963b5b8f03ecf8,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
6,阻力转支撑确认多头,39f3e3b0e2915467,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
7,支撑转阻力确认空头,7dd21da10b8889b6,3,0,-3.78412086684498,3,0,-3.78412086684498,0,0.0,ea1177344f7b7e8588af85e203b4c56d19d7f5720b6a3e8c071c0977c5906921,ea1177344f7b7e8588af85e203b4c56d19d7f5720b6a3e8c071c0977c5906921,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
8,缩量回踩恢复多头,612581c35b84da3c,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
9,缩量反抽恢复空头,b55421f3522a3f16,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
10,欧美时段顺势延续多头,792c97e8b4c0b8eb,3,1,0.2690477970211407,6,2,-0.5168467261134471,3,-0.7858945231345877,9944bbe1a562564c4cdb71b1ff952485fde84aec9dd9c709733f88a29baf6c80,3c61d1e2f5d0258798a2bbc4e0163007e5ca296cf505a62e56e5b8b1dc6b4340,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
11,欧美时段顺势延续空头,1de21fc96eaf5c68,3,1,0.2417284893765701,9,3,-1.444740261506661,6,-1.686468750883231,cf6a3636e4f0147dd98e89916fd225bb125f3c88aedf2edae091a78c30eb4e98,292833ef240c2e1987a4e70fee684d7f246c7f69da8b3ec2127d9db51add150b,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
12,区间扫低立即收回多头,52f3fa47b619e482,3,1,1.2875375693730833,9,1,-5.432863140688922,6,-6.720400710062005,af8db47434ad266b6465add42793a77869a4696933e7003fd01bbcd8133cf272,bf562e500495286db81ad90ff0a825df3db9cf9026037c611932782c2841a744,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
13,区间扫高立即跌回空头,77df21d40787c7a0,4,1,-0.015032102713468581,5,1,0.8816680400721415,1,0.89670014278561,fd62da62796f13d61051d32b7001cd36e810a7d64fe1d0e73a844a59b2ef580f,f7f3978ea318e7d7f65254bfd93a25dc396889841d058d93e6c0ef7f4c17d635,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
14,扫低后确认K多头,2a8da9b9f57c9899,3,1,0.18807457252178275,7,2,0.17216276178383239,4,-0.015911810737950366,05c024141f796a57ed57fa13894bb715c2da09d193dcf2879e98ee478bcafd6b,b124e519ec4c0c94f7e61ee74598195bdf0e842828202b76b02ce66a1890b5ff,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
15,扫高后确认K空头,2605712f51fd787a,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
16,区间二次测试不破多头,5911315f52956132,3,1,0.1885416583456836,3,1,0.18854165834568337,0,-2.220446049250313e-16,a3b7b97850ba6afe7f26150f5afd7815daefac53514110611816fdda7544f5ec,a3b7b97850ba6afe7f26150f5afd7815daefac53514110611816fdda7544f5ec,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
17,区间二次测试不破空头,add1fc0880238799,4,1,-1.1155015299438122,7,1,-1.6174049336144551,3,-0.5019034036706429,2fdd8bd1f51eafffe796bd805c29d5139ea125794956e095076e8423b8070488,728fd561ca63a3828c90acb270516c618203a5af700f381b59644bdd8862bbd8,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
18,扫低后站回VWAP多头,8faa2dfdd58009bb,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
19,扫高后跌破VWAP空头,98c02f47708ca242,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
20,BTC弱于ETH背离修复多头,afac444025613291,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
21,BTC强于ETH背离修复空头,fca571982b7c88a0,6,3,3.063763752600745,10,5,5.362069157585193,4,2.298305404984448,d9378330d69171528c855fd8c7574884a99a83c05d183a40c1c69a66d90dbb1d,9220c4e1effecd565f24e43cdda7f2b7d74b7ec89b91ef64863143d91137a20d,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
22,压缩后首次放量突破多头,637dd7099e42148f,0,0,0.0,3,1,0.597149394749324,3,0.597149394749324,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a7113f17c55607d54d7dd78fba9b1479a47b3c88aeac014500452ad172aac198,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
23,压缩后首次放量突破空头,59bcc3e64f2c7f94,3,0,-2.199027344995242,5,0,-2.5406610128731493,2,-0.34163366787790705,d9f56ae63417a1946a5b040b463db8443e72c995013ce0c8ce3df5c36349b3bd,8d2615b3a3fe4e1b7bf007f0bebdc9d0cae5c53787ed84938eb95e7d49ecdf13,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
24,向下假突破回区间多头,d5f361a753574b48,1,0,-1.3031140960605154,1,0,-1.3031140960605154,0,0.0,c3601ef64c3883ad12aa5fad7701a26d7a0b85a83ce138308361cca94fc7196c,c3601ef64c3883ad12aa5fad7701a26d7a0b85a83ce138308361cca94fc7196c,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
25,向上假突破回区间空头,5f2fe4ee3fec03dd,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
26,资金费率极端回归多头,fcc89570f6af5d59,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
27,资金费率极端回归空头,ab1a7bf6d11e9bd8,3,0,-2.8117204682920818,5,0,-4.319282116461425,2,-1.507561648169343,43b8fa15890403fcf83688774a5436cd365053c2c9f53a64d7b31b329229d7ec,6d7675e4d5c14e6c8f8dc24029ccd49a133d5e479e28d32e70844a3cc60fc068,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
28,合约溢价极端修复多头,48c0a571f023845e,1,0,-0.203638438206116,1,0,-0.20363843820611607,0,-8.326672684688674e-17,a78b8dfba724e4f903816c27238274c2bdcf4f0216ba94442d30ff0dff0405eb,a78b8dfba724e4f903816c27238274c2bdcf4f0216ba94442d30ff0dff0405eb,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
29,合约溢价极端修复空头,9cc0c5de692aa62f,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
30,欧美开盘区间突破多头,f9b0b97528e653e7,6,2,-2.2218262147012777,12,3,-5.054888957239388,6,-2.8330627425381105,65ece6f23bae352a1be884b4dfb855bc65a05e1a92ffdcd5d45cf4fe4e8f99e7,6977b364dba57804ef67a6ba6fb979e74c2ca47bd235fae88bf7e984b4469004,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
31,欧美开盘区间突破空头,8f89911d444a7852,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
32,BTC强于ETH且溢价回落空头,ad7bf81694ad15d4,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
33,BTC强于ETH且主动卖盘空头,16e8ea0e0b751d8b,3,1,0.3504269374053345,8,1,-4.906454919869331,5,-5.256881857274665,99d5cd8dd1e23f6603ba0640be8ef4ccdd951d56a2fe4bd4ccb30671667f6e78,678c13ed71fe5b3e3d8c812c36355dc7ab591c07d91ae76d9bde722b63beacf9,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
34,BTC强于ETH欧美盘修复空头,d9d64c6080c7757b,3,0,-3.8445548068298567,4,1,-2.129920391403136,1,1.7146344154267208,55b052a259baddac9e3a644232f2416ae3dd422d6048b631f0a8b075ce7ee70d,4f55b8801ffdba88f90e094d9a2ba720471562d136d360421261e3224cc58310,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
35,ETH先跌BTC滞后补跌空头,1988519d498cd703,2,0,-2.568922511268218,2,0,-2.568922511268218,0,0.0,832e1a0ea4ac692700871128ad77adb2cde594ff9d8c96038d6989384918b263,832e1a0ea4ac692700871128ad77adb2cde594ff9d8c96038d6989384918b263,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
36,BTC弱于ETH且溢价回升多头,d9882e2d61ed9961,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
37,ETH先涨BTC滞后补涨多头,6387acc3c2ec918d,1,1,1.7125413489195278,1,1,1.7125413489195278,0,0.0,88ed9c15d9e6d35a94a419071986c4d28d906d7e5261bd4b005b87e7ba0ad731,88ed9c15d9e6d35a94a419071986c4d28d906d7e5261bd4b005b87e7ba0ad731,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
38,跨资产背离后VWAP失守空头,47d7edd201629376,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
39,跨资产背离后VWAP收回多头,1d3bb2983569000d,0,0,0.0,0,0,0.0,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL
