expert_id,expert,policy_key,rating_engine,feature_frame,found_in_v961_reference,expert_found_in_rating_engine,policy_found_in_rating_engine,feature_frame_column_found,required_mask_column,raw_candidates,selected_trades,signal_fingerprint
0,趋势回踩重新站稳多头,e024946a7a7bbea6,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_trend_reclaim_long,3687,12,deee54fbeb701b8ad8b65816e53471f192c0b711d2902899ab094688d88870c5
1,趋势反抽失败空头,da51c7f197a1b096,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_trend_reject_short,3948,6,9fea8bc4bd4ad604f8315bed0a371afcb1d4ada02e7ae856156d023107a10682
2,EMA21回踩收回多头,57c6d8ed313f7b81,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_ema21_reclaim_long,16,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
3,EMA21反抽受阻空头,4916a4f4be16d2e4,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_ema21_reject_short,21,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
4,VWAP重新站回多头,acb95ebbfdc22945,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_vwap_reclaim_long,1508,3,c7ae6aab6475891a2eadcec06c37f9fa5d30c1b5e0d80a9a8d70d303b7b51ee7
5,VWAP反抽失败空头,eac17b2dead99d38,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_vwap_reject_short,1519,3,ae8bd1eba77c93f372bf9b7f32e1cd13895a2e91efb410b93b963b5b8f03ecf8
6,阻力转支撑确认多头,39f3e3b0e2915467,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_sr_flip_long,2540,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
7,支撑转阻力确认空头,7dd21da10b8889b6,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_sr_flip_short,2744,3,ea1177344f7b7e8588af85e203b4c56d19d7f5720b6a3e8c071c0977c5906921
8,缩量回踩恢复多头,612581c35b84da3c,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_contract_pullback_long,5,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
9,缩量反抽恢复空头,b55421f3522a3f16,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_contract_pullback_short,8,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
10,欧美时段顺势延续多头,792c97e8b4c0b8eb,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_session_continue_long,2590,12,b324fb3249ce1a83b223dd09432fbacf31df890fe6838f73a4c078d8a535b883
11,欧美时段顺势延续空头,1de21fc96eaf5c68,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_session_continue_short,2868,9,292833ef240c2e1987a4e70fee684d7f246c7f69da8b3ec2127d9db51add150b
12,区间扫低立即收回多头,52f3fa47b619e482,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_sweep_immediate_long,672,9,bf562e500495286db81ad90ff0a825df3db9cf9026037c611932782c2841a744
13,区间扫高立即跌回空头,77df21d40787c7a0,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_sweep_immediate_short,684,5,f7f3978ea318e7d7f65254bfd93a25dc396889841d058d93e6c0ef7f4c17d635
14,扫低后确认K多头,2a8da9b9f57c9899,V9.6.1_REFERENCE,V9.6.1_REFERENCE_FEATURES,True,True,True,True,sparse_sweep_confirm_long,1547,7,b124e519ec4c0c94f7e61ee74598195bdf0e842828202b76b02ce66a1890b5ff
