signal_i,direction,selection_status,month,monthly_budget_net_r,no_monthly_budget_net_r,outcome_net_r,monthly_budget_selected,no_monthly_budget_selected
81058,-1,BOTH,2025-12,1.890496985958381,1.890496985958381,1.890496985958381,True,True
86524,-1,BOTH,2026-01,1.8837997881465247,1.8837997881465247,1.8837997881465247,True,True
87305,-1,BOTH,2026-01,1.8321953397565938,1.8321953397565938,1.8321953397565938,True,True
89702,-1,BOTH,2026-01,-1.2643270542932266,-1.2643270542932266,-1.2643270542932266,True,True
93990,-1,NO_MONTHLY_BUDGET_ONLY,2026-01,,-0.09074335126279931,-0.09074335126279931,False,True
112113,-1,BOTH,2026-04,1.8527370445175673,1.8527370445175673,1.8527370445175673,True,True
113727,-1,BOTH,2026-04,1.8619666030568092,1.8619666030568092,1.8619666030568092,True,True
114531,-1,BOTH,2026-04,-1.194673848969825,-1.194673848969825,-1.194673848969825,True,True
115862,-1,NO_MONTHLY_BUDGET_ONLY,2026-04,,-0.17090486016205067,-0.17090486016205067,False,True
116169,-1,NO_MONTHLY_BUDGET_ONLY,2026-04,,-1.2384774891627814,-1.2384774891627814,False,True
