expert_id,expert,family,tier,selected_research,selected_qualified,candidate_shadow_only,policy_key,selection_status,selection_reason,mature_policy_available,mature_policy_protected,selected_cluster_robust,rejection_reason,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,shrunk_win_rate,wilson_lower,active_months,positive_months,worst_month_R,max_single_month_profit_share,max_trades_single_month,valid_blocks,positive_blocks,positive_expectancy_blocks,high_win_rate_blocks,max_single_trade_profit_share,best_trade_removed_net_R,best_two_trades_removed_net_R,loo_month_min_net_R,loo_month_positive_share,cluster_robust,core_policy_selection_tier,legacy_v963_tier,final_rating_source,rating_ignores_execution_budget
0,趋势回踩重新站稳多头,趋势回踩,REJECTED,False,False,False,e024946a7a7bbea6,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,True,盈利因子不足|累计净R不足|最差月份亏损过大,6,2,0.3333333333333333,1.7126013884271891,1.0107296966579198,1.6944207675801743,0.8472103837900872,-0.6177160097773011,2.757171635703015,-0.10295266829621685,0.42857142857142855,0.09676933255921684,2,1,-2.3301710651995275,1.0,5,1,0,0,0,0.5000427224355742,-2.330463731209453,-4.04291878663168,-2.3301710651995275,0.5,True,CANDIDATE,CANDIDATE,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
1,趋势反抽失败空头,趋势回踩,REJECTED,False,False,False,da51c7f197a1b096,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,盈利因子不足|累计净R不足,6,1,0.16666666666666666,1.714741469113497,0.7259699668298634,2.3620005612647605,0.47240011225295214,-1.9151083650358196,3.443651733145793,-0.31918472750596993,0.35714285714285715,0.030052585871730285,2,0,-1.2870177022047267,0.0,5,1,0,0,0,1.0,-3.629849834149317,-3.443651733145793,-1.2870177022047267,0.0,False,CANDIDATE,CANDIDATE,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
2,EMA21回踩收回多头,均线回踩,REJECTED,False,False,False,57c6d8ed313f7b81,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
3,EMA21反抽受阻空头,均线回踩,REJECTED,False,False,False,4916a4f4be16d2e4,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
4,VWAP重新站回多头,VWAP回归,REJECTED,False,False,False,acb95ebbfdc22945,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足,3,1,0.3333333333333333,1.7126581552271538,0.1862924884014598,9.193382781684575,4.596691390842287,1.3400731784242343,0.3725849768029196,0.4466910594747448,0.45454545454545453,0.061490315276160515,1,1,0.0,1.0,3,1,1,1,0,1.0,-0.3725849768029196,-0.18630374702631888,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
5,VWAP反抽失败空头,VWAP回归,REJECTED,False,False,False,eac17b2dead99d38,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,3,0,0.0,0.0,0.9198874668559321,0.0,0.0,-2.7596624005677963,2.7596624005677963,-0.9198874668559321,0.36363636363636365,0.0,1,0,-2.7596624005677963,0.0,3,1,0,0,0,0.0,-2.5734753695520247,-1.2867426162505466,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
6,阻力转支撑确认多头,结构角色转换,REJECTED,False,False,False,39f3e3b0e2915467,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
7,支撑转阻力确认空头,结构角色转换,REJECTED,False,False,False,7dd21da10b8889b6,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,3,0,0.0,0.0,1.26137362228166,0.0,0.0,-3.78412086684498,3.78412086684498,-1.26137362228166,0.36363636363636365,0.0,1,0,-3.78412086684498,0.0,3,1,0,0,0,0.0,-2.57351882221661,-1.286771640723197,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
8,缩量回踩恢复多头,量价回踩,REJECTED,False,False,False,612581c35b84da3c,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
9,缩量反抽恢复空头,量价回踩,REJECTED,False,False,False,b55421f3522a3f16,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
