expert_id,expert,policy_key,frozen_tier,window_start_utc,window_end_utc,historical_diagnostic_only,automatic_activation,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R
0,趋势回踩重新站稳多头,e024946a7a7bbea6,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,6,1,0.16666666666666666,1.7123897130827075,1.066208242556321,1.6060555947092603,0.32121111894185206,-3.618651499698898,4.044936892980509,-0.6031085832831496
1,趋势反抽失败空头,da51c7f197a1b096,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,1,0,0.0,0.0,1.2870177022047267,0.0,0.0,-1.2870177022047267,1.2870177022047267,-1.2870177022047267
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,缩量回踩恢复多头,612581c35b84da3c,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,缩量反抽恢复空头,b55421f3522a3f16,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
