lane,month,signal_i,exit_i,direction,policy_key,day,net_r,win,outcome_reason,reason,model_available,history_ready,base_probability,probability,online_percentile,rank_threshold,rank_pass,router,router_threshold,micro,meta_probability,meta_decision,meta_pass,expected_utility,brier_penalty,sample_uncertainty_penalty,total_penalty,utility,minimum_utility,utility_pass,cap_pass,selected,first_reject_stage,sample_uncertainty_changes_signal_selection,monthly_cap_enabled,cross_trade_cluster_dedup,allocation_rule,expert_id,expert,family,setup_group,rating_source_lane,rating_engine
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-05,30349,30368,1,5911315f52956132,2025-05-07,-0.20370571031857831,False,2,2,True,True,0.5780238870067376,0.6387768692001666,0.896551724137931,0.88,True,0.8440293336412987,0.34,0.5476396396062926,0.45760731312966535,NEUTRAL,True,0.6517021975197818,0.04374794618753239,0.0,0.04374794618753239,0.6079542513322493,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,16,区间二次测试不破多头,二次测试,二次测试,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-05,30619,30634,1,5911315f52956132,2025-05-08,-1.3031404327934821,False,2,2,True,True,0.602798997997014,0.6529811920152552,0.9,0.88,True,0.8259274015050897,0.34,0.5808267239566267,0.45878133875999183,NEUTRAL,True,0.6804735136126535,0.04374794618753239,0.0,0.04374794618753239,0.6367255674251211,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,16,区间二次测试不破多头,二次测试,二次测试,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-05,31933,31945,1,5911315f52956132,2025-05-13,1.6953878014577437,True,1,1,True,True,0.8241115072506208,0.7787099356607157,1.0,0.88,True,0.8338925123923817,0.34,0.6598147132225327,0.4769308884911581,NEUTRAL,True,0.9402385636814506,0.04374794618753239,0.0,0.04374794618753239,0.8964906174939182,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,16,区间二次测试不破多头,二次测试,二次测试,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-05,31994,32014,1,d5f361a753574b48,2025-05-14,-1.3031140960605154,False,2,2,True,True,0.6322516255525307,0.47139455975041944,0.9935897435897436,0.8,True,0.5583862438670179,0.34,0.767637725800951,0.30048421532457137,NEUTRAL,True,0.2150576762273727,0.042067117325444645,0.0,0.042067117325444645,0.17299055890192805,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,24,向下假突破回区间多头,假突破反转,假突破回归,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,38519,38587,1,e024946a7a7bbea6,2025-06-08,-0.7575122510686786,False,4,4,True,True,0.04426435207371476,0.4418285731800433,0.9952038369304557,0.8,True,0.8691553654374757,0.34,0.5328118088073177,0.3822169803248795,NEUTRAL,True,0.17093505463275138,0.04820396868487936,0.0,0.04820396868487936,0.12273108594787202,0.08,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,39312,39378,1,e024946a7a7bbea6,2025-06-11,-0.7139105949517568,False,4,4,True,True,0.03866323038579837,0.44648749043764546,0.9896907216494846,0.8,True,0.8538499948295741,0.34,0.6889489342339976,0.37493012958238314,NEUTRAL,True,0.17543623212495085,0.04820396868487936,0.0,0.04820396868487936,0.1272322634400715,0.08,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,39701,39710,-1,da51c7f197a1b096,2025-06-12,-0.1861981010035239,False,2,2,True,True,0.131986780486596,0.4219035495638404,0.9691780821917808,0.88,True,0.9052900714623986,0.34,0.8830962467211367,0.38877691553202826,NEUTRAL,True,0.1980994910081625,0.048770105315036144,0.0,0.048770105315036144,0.14932938569312634,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,1,趋势反抽失败空头,趋势回踩,趋势反抽,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,39964,39986,-1,da51c7f197a1b096,2025-06-13,1.714741469113497,True,1,1,True,True,0.1942507850036972,0.4115983404334488,0.8947368421052632,0.88,True,0.8789140002188361,0.34,0.7140928641285791,0.39124646193103907,NEUTRAL,True,0.17970617882266482,0.048770105315036144,0.0,0.048770105315036144,0.13093607350762868,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,1,趋势反抽失败空头,趋势回踩,趋势反抽,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,40756,40773,1,e024946a7a7bbea6,2025-06-16,-1.2857487896825799,False,2,2,True,True,0.07218914819358421,0.42479331244102325,0.9112426035502958,0.8,True,0.894645340261126,0.34,0.7488130397203494,0.3700563985928704,NEUTRAL,True,0.1283674393376032,0.04820396868487936,0.0,0.04820396868487936,0.08016347065272383,0.08,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,41095,41102,-1,da51c7f197a1b096,2025-06-17,-1.2867646141433955,False,2,2,True,True,0.19155172625765343,0.41198448007956845,0.9201101928374655,0.88,True,0.8781270268851196,0.34,0.5789810911847226,0.39293227152024773,NEUTRAL,True,0.18154526460916942,0.048770105315036144,0.0,0.048770105315036144,0.13277515929413328,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,1,趋势反抽失败空头,趋势回踩,趋势反抽,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,41931,41977,-1,da51c7f197a1b096,2025-06-20,-0.1862166083413816,False,2,2,True,True,0.20131918093811424,0.4106065600036668,0.8908629441624365,0.88,True,0.8955491597735932,0.34,0.5740504423646408,0.39268744564829633,NEUTRAL,True,0.1787140591055274,0.048770105315036144,0.0,0.048770105315036144,0.12994395379049126,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,1,趋势反抽失败空头,趋势回踩,趋势反抽,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,41985,42053,-1,da51c7f197a1b096,2025-06-21,-0.683652808456289,False,4,4,True,True,0.20080615321599202,0.4106776276630308,0.8827930174563591,0.88,True,0.8556990547622806,0.34,0.6481996969138808,0.392451980291457,NEUTRAL,True,0.17869966419178152,0.048770105315036144,0.0,0.048770105315036144,0.12992955887674537,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,1,趋势反抽失败空头,趋势回踩,趋势反抽,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,43093,43143,1,e024946a7a7bbea6,2025-06-25,1.7127477214321518,True,1,1,True,True,0.07716772028844014,0.4224397377411472,0.9252971137521222,0.8,True,0.8600003653051395,0.34,0.5399968251444052,0.38103677577325773,NEUTRAL,True,0.1310047061886983,0.04820396868487936,0.0,0.04820396868487936,0.08280073750381894,0.08,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,43413,43451,1,e024946a7a7bbea6,2025-06-26,-1.2857471509286644,False,2,2,True,True,0.07246352259204902,0.4246596764561058,0.9234608985024958,0.8,True,0.9185886372533572,0.34,0.5436885414060231,0.38008611819634913,NEUTRAL,True,0.1348460090613568,0.04820396868487936,0.0,0.04820396868487936,0.08664204037647744,0.08,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,44742,44783,-1,ab1a7bf6d11e9bd8,2025-07-01,-1.3040993432837082,False,2,2,True,True,0.16106794828862778,0.4330109095096924,0.9741784037558685,0.8,True,0.47409366566308975,0.34,0.7073378267276154,0.3274252157644983,NEUTRAL,True,0.1901520175806498,0.042808366620062835,0.0,0.042808366620062835,0.147343650960587,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,27,资金费率极端回归空头,衍生品反转,资金费率极端,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,45085,45101,-1,ab1a7bf6d11e9bd8,2025-07-02,-0.20353405284779827,False,2,2,True,True,0.1800928184263938,0.40865211037827076,0.9358407079646017,0.8,True,0.5025780249286318,0.34,0.627387544686054,0.3092389844896856,NEUTRAL,True,0.1321983567385262,0.042808366620062835,0.0,0.042808366620062835,0.08938999011846337,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,27,资金费率极端回归空头,衍生品反转,资金费率极端,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,46119,46122,1,48c0a571f023845e,2025-07-06,-0.20363843820611607,False,2,2,True,True,0.3661741236180737,0.3624735921484176,0.8194444444444444,0.8,True,0.49484223476440997,0.34,0.8232776688685572,0.3322567642889585,NEUTRAL,True,0.13644973842180125,0.045382221043459764,0.0,0.045382221043459764,0.09106751737834148,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,28,合约溢价极端修复多头,基差反转,溢价极端,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,46622,46654,-1,ab1a7bf6d11e9bd8,2025-07-08,-1.3040869764812084,False,2,2,True,True,0.20203637335018249,0.3833356698786077,0.9134438305709024,0.8,True,0.709412379504442,0.34,0.7254092326088197,0.3112246675530256,NEUTRAL,True,0.08522991325776719,0.042808366620062835,0.0,0.042808366620062835,0.04242154663770435,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,27,资金费率极端回归空头,衍生品反转,资金费率极端,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,46973,46980,-1,ab1a7bf6d11e9bd8,2025-07-09,-1.3040845589941943,False,2,2,True,True,0.15995392646685172,0.4345157892898615,0.974910394265233,0.8,True,0.45351451681464006,0.34,0.7006397639680306,0.32705272542060204,NEUTRAL,True,0.19278236804948823,0.042808366620062835,0.0,0.042808366620062835,0.1499740014294254,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,27,资金费率极端回归空头,衍生品反转,资金费率极端,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,47362,47366,1,637dd7099e42148f,2025-07-11,1.4955536389470225,True,1,1,True,True,0.07465566749373537,0.4171076513262719,0.9957264957264957,0.8,True,0.7911398973920623,0.34,0.8022928356565617,0.3150616695797045,NEUTRAL,True,0.07418106991559115,0.04511737766010302,0.0,0.04511737766010302,0.029063692255488126,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,22,压缩后首次放量突破多头,波动扩张,压缩突破,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,47511,47526,-1,ab1a7bf6d11e9bd8,2025-07-14,-0.20347718485451532,False,2,2,True,True,0.16780409823176762,0.42410346767411716,0.9573378839590444,0.8,True,0.5143335766047358,0.34,0.6379348209681177,0.3160785940465954,NEUTRAL,True,0.16597744702260964,0.042808366620062835,0.0,0.042808366620062835,0.1231690804025468,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,27,资金费率极端回归空头,衍生品反转,资金费率极端,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,48367,48415,1,f9b0b97528e653e7,2025-08-03,-0.22360348152070222,False,2,2,True,True,0.49792070725927357,0.4881324126973378,0.9310344827586207,0.8,True,0.6,0.34,0.8906494711759836,0.36968814517929083,NEUTRAL,True,0.14249821866780932,0.04523675647285644,0.0,0.04523675647285644,0.09726146219495288,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,30,欧美开盘区间突破多头,开盘突破,开盘突破,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,48636,48656,1,f9b0b97528e653e7,2025-08-04,-1.3030593131302999,False,2,2,True,True,0.6226461925152368,0.5619621247685027,1.0,0.8,True,0.6,0.34,0.6769556403364421,0.36907567401536767,NEUTRAL,True,0.280476983337377,0.04523675647285644,0.0,0.04523675647285644,0.23524022686452054,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,30,欧美开盘区间突破多头,开盘突破,开盘突破,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,49432,49459,1,f9b0b97528e653e7,2025-08-07,1.4955418638684057,True,1,1,True,True,0.4645859711561159,0.46847809805214796,0.8461538461538461,0.8,True,0.6394971561818297,0.34,0.7199469806166694,0.36467284527688465,NEUTRAL,True,0.10253184626486178,0.04523675647285644,0.0,0.04523675647285644,0.057295089792005344,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,30,欧美开盘区间突破多头,开盘突破,开盘突破,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,49976,49978,1,f9b0b97528e653e7,2025-08-09,-1.3030479780624669,False,2,2,True,True,0.4732823396882723,0.47361561032304456,0.8431372549019608,0.8,True,0.6,0.34,0.8804848745884104,0.3683397372918082,NEUTRAL,True,0.11445051598782319,0.04523675647285644,0.0,0.04523675647285644,0.06921375951496675,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,30,欧美开盘区间突破多头,开盘突破,开盘突破,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,50596,50626,1,f9b0b97528e653e7,2025-08-13,1.4955640565508266,True,1,1,True,True,0.47646189861331123,0.47549186832596524,0.859375,0.8,True,0.84,0.34,0.7829888660713893,0.37126893246165404,NEUTRAL,True,0.11979656743730316,0.04523675647285644,0.0,0.04523675647285644,0.07455981096444672,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,30,欧美开盘区间突破多头,开盘突破,开盘突破,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,52709,52710,1,f9b0b97528e653e7,2025-08-22,1.5238078324037128,True,1,1,True,True,0.48724372954784945,0.4818472152666971,0.8875,0.8,True,0.5857689819565891,0.34,0.8461069360215631,0.3677260292544976,NEUTRAL,True,0.1294936685386716,0.04523675647285644,0.0,0.04523675647285644,0.08425691206581518,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,30,欧美开盘区间突破多头,开盘突破,开盘突破,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,54566,54572,1,f9b0b97528e653e7,2025-08-31,-1.303086057314329,False,2,2,True,True,0.5693077824199889,0.5301654804203185,0.9887640449438202,0.8,True,0.8024480338505037,0.34,0.8347898364061315,0.37612364790211494,NEUTRAL,True,0.22529091653241262,0.04523675647285644,0.0,0.04523675647285644,0.18005416005955618,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,30,欧美开盘区间突破多头,开盘突破,开盘突破,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
